Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4871,0,0,0,0,859,263,5993,187,6180,-0.0321011,0.104524,-0.994004,0
4863,0,0,0,0,956,328,6147,214,6361,-0.0387941,0.0417073,-0.998376,0
4734,0,0,0,0,850,222,5806,320,6126,-0.0387673,0.0711764,-0.99671,0
4879,0,0,0,0,870,219,5968,123,6091,-0.0429043,0.0415781,-0.998214,0
4821,0,0,0,0,851,250,5922,358,6280,-0.0326596,0.0755929,-0.996604,0
4767,0,0,0,0,837,218,5822,127,5949,-0.0323083,0.0393008,-0.998705,0
4742,0,0,0,0,855,218,5815,310,6125,-0.032507,0.0734733,-0.996767,0
4683,0,0,0,0,951,222,5856,123,5979,-0.0337283,0.0278381,-0.999043,0
5263,0,0,0,0,1162,316,6741,384,7125,-0.0337666,0.0738127,-0.9967,0
4685,0,0,0,0,852,225,5762,168,5930,-0.044125,0.0308176,-0.998551,0
4723,0,0,0,0,836,217,5776,315,6091,-0.0393345,0.071706,-0.99665,0
5072,0,0,0,0,844,215,6131,145,6276,-0.0398838,0.0539079,-0.997749,0
5437,0,0,0,0,951,249,6637,119,6756,-0.0178104,0.0563497,-0.998252,0
6409,0,0,0,0,1014,244,7667,127,7794,-0.044296,0.0202048,-0.998814,0
5605,0,0,0,0,849,221,6675,326,7001,-0.0396961,0.0682035,-0.996881,0
4916,0,0,0,0,864,226,6006,112,6118,-0.0631013,0.0250245,-0.997693,0
4825,0,0,0,0,876,225,5926,322,6248,-0.0316054,0.0716162,-0.996931,0
5431,0,0,0,0,966,251,6648,144,6792,-0.0411741,0.0431501,-0.99822,0
5001,0,0,0,0,872,227,6100,326,6426,-0.0370361,0.0709013,-0.996796,0
4673,0,0,0,0,870,217,5760,131,5891,-0.0560371,0.0204018,-0.99822,0
5888,0,0,0,0,1163,251,7302,405,7707,-0.0261364,0.0759932,-0.996766,0
3509,0,0,0,0,651,162,4322,101,4423,-0.0158066,0.0552875,-0.998345,0
