Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6138,0,0,0,0,664,167,6969,381,7350,0.00751994,-0.0482659,-0.998806,0
5901,0,0,0,0,662,152,6715,391,7106,-0.00420708,-0.00419462,-0.999982,0
6311,0,0,0,0,706,167,7184,396,7580,-0.0117007,0.0171925,-0.999784,0
5969,0,0,0,0,655,155,6779,365,7144,-0.0121966,0.0242662,-0.999631,0
5886,0,0,0,0,452,122,6460,299,6759,-0.0134899,0.0241768,-0.999617,0
4165,0,0,0,0,449,107,4721,271,4992,-0.0116282,0.0224672,-0.99968,0
8082,0,0,0,0,977,227,9286,509,9795,-0.0113132,0.0254029,-0.999613,0
5981,0,0,0,0,668,155,6804,366,7170,-0.0119436,0.0227132,-0.999671,0
5992,0,0,0,0,690,157,6839,398,7237,-0.0112836,0.0239978,-0.999648,0
5800,0,0,0,0,656,152,6608,372,6980,-0.0114458,0.023588,-0.999656,0
6121,0,0,0,0,653,155,6929,404,7333,-0.0106459,0.0217628,-0.999706,0
5917,0,0,0,0,652,153,6722,401,7123,-0.0133709,0.0250631,-0.999596,0
5838,0,0,0,0,662,151,6651,371,7022,-0.0133629,0.0239392,-0.999624,0
5399,0,0,0,0,457,104,5960,251,6211,-0.0133387,0.0263848,-0.999563,0
2911,0,0,0,0,280,63,3254,157,3411,-0.0133191,0.0253218,-0.999591,0
3104,0,0,0,0,312,73,3489,174,3663,-0.0125341,0.026553,-0.999569,0
5820,0,0,0,0,665,211,6696,423,7119,-0.0118353,0.0265351,-0.999578,0
6196,0,0,0,0,686,167,7049,395,7444,-0.0131553,0.025275,-0.999594,0
5911,0,0,0,0,698,158,6767,373,7140,-0.0133822,0.0224605,-0.999658,0
6178,0,0,0,0,659,156,6993,374,7367,-0.0118684,0.0230185,-0.999665,0
6651,0,0,0,0,656,153,7460,409,7869,-0.0107238,0.0244238,-0.999644,0
5898,0,0,0,0,660,152,6710,400,7110,-0.0119237,0.0235519,-0.999651,0
5950,0,0,0,0,653,155,6758,365,7123,-0.0121415,0.0243841,-0.999629,0
6143,0,0,0,0,653,150,6946,366,7312,-0.0135143,0.0255538,-0.999582,0
5949,0,0,0,0,698,156,6803,360,7163,-0.0104363,0.026043,-0.999606,0
6631,0,0,0,0,651,151,7433,365,7798,-0.00991395,0.0250654,-0.999637,0
6493,0,0,0,0,703,195,7391,408,7799,-0.0108048,0.0256312,-0.999613,0
6548,0,0,0,0,732,170,7450,412,7862,-0.0118245,0.0261531,-0.999588,0
6881,0,0,0,0,736,192,7809,380,8189,-0.0115705,0.0247328,-0.999627,0
5847,0,0,0,0,651,151,6649,371,7020,-0.0130514,0.0266402,-0.99956,0
6513,0,0,0,0,657,155,7325,373,7698,-0.0127441,0.0256659,-0.999589,0
5903,0,0,0,0,653,152,6708,360,7068,-0.0121531,0.0250494,-0.999612,0
6437,0,0,0,0,684,177,7298,428,7726,-0.012013,0.0254039,-0.999605,0
6681,0,0,0,0,739,171,7591,444,8035,-0.013146,0.026083,-0.999573,0
6673,0,0,0,0,738,198,7609,436,8045,-0.013854,0.0271948,-0.999534,0
6729,0,0,0,0,734,174,7637,403,8040,-0.0123581,0.0238467,-0.999639,0
7157,0,0,0,0,1042,267,8466,494,8960,-0.0129101,0.0256725,-0.999587,0
5891,0,0,0,0,680,154,6725,378,7103,-0.012664,0.0291819,-0.999494,0
6233,0,0,0,0,670,172,7075,368,7443,-0.0103727,0.0268966,-0.999584,0
5883,0,0,0,0,678,155,6716,374,7090,-0.0106236,0.0252469,-0.999625,0
5931,0,0,0,0,697,166,6794,372,7166,-0.0118523,0.0253003,-0.99961,0
6052,0,0,0,0,664,152,6868,379,7247,-0.0116031,0.024371,-0.999636,0
6183,0,0,0,0,659,156,6998,374,7372,-0.0109974,0.0223209,-0.99969,0
5877,0,0,0,0,674,152,6703,379,7082,-0.0121451,0.0236228,-0.999647,0
6846,0,0,0,0,788,177,7811,447,8258,-0.012563,0.0254697,-0.999597,0
6614,0,0,0,0,491,115,7220,276,7496,-0.00957062,0.0229825,-0.99969,0
4693,0,0,0,0,550,138,5381,302,5683,-0.0110243,0.0240587,-0.99965,0
4603,0,0,0,0,492,132,5227,290,5517,-0.0108296,0.023708,-0.99966,0
6918,0,0,0,0,737,172,7827,409,8236,-0.0120993,0.0245175,-0.999626,0
6593,0,0,0,0,731,169,7493,403,7896,-0.0130772,0.0237362,-0.999633,0
6727,0,0,0,0,737,172,7636,418,8054,-0.0121281,0.0228604,-0.999665,0
7170,0,0,0,0,724,172,8066,426,8492,-0.0121874,0.0230679,-0.99966,0
6790,0,0,0,0,739,174,7703,419,8122,-0.0107564,0.0231067,-0.999675,0
6604,0,0,0,0,750,171,7525,422,7947,-0.0126214,0.0263825,-0.999572,0
6582,0,0,0,0,732,171,7485,402,7887,-0.0119282,0.0249609,-0.999617,0
6678,0,0,0,0,739,172,7589,431,8020,-0.00892327,0.0197609,-0.999765,0
