Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2642,0,0,0,0,430,109,3181,233,3414,-0.00518438,0.0217288,-0.99975,0
2593,0,0,0,0,437,112,3142,257,3399,-0.00518787,0.02133,-0.999759,0
2610,0,0,0,0,446,104,3160,244,3404,-0.00555445,0.0212868,-0.999758,0
2528,0,0,0,0,429,102,3059,247,3306,-0.00394412,0.0219798,-0.999751,0
2560,0,0,0,0,426,116,3102,251,3353,-0.0055917,0.0211996,-0.99976,0
2682,0,0,0,0,437,107,3226,237,3463,-0.00501646,0.0223381,-0.999738,0
2559,0,0,0,0,433,106,3098,249,3347,-0.00517065,0.0212857,-0.99976,0
2805,0,0,0,0,438,108,3351,273,3624,-0.00438284,0.0216323,-0.999756,0
3840,0,0,0,0,695,153,4688,296,4984,-0.00516281,0.0216936,-0.999751,0
2669,0,0,0,0,481,114,3264,238,3502,-0.00545518,0.0212282,-0.99976,0
2557,0,0,0,0,428,103,3088,256,3344,-0.00455985,0.0218686,-0.999751,0
2664,0,0,0,0,492,107,3263,246,3509,-0.00523441,0.0211928,-0.999762,0
2610,0,0,0,0,429,106,3145,242,3387,-0.00549886,0.0209737,-0.999765,0
2670,0,0,0,0,495,111,3276,246,3522,-0.00535925,0.0213774,-0.999757,0
2636,0,0,0,0,444,110,3190,238,3428,-0.00381011,0.0218416,-0.999754,0
2636,0,0,0,0,467,105,3208,256,3464,-0.00589524,0.020809,-0.999766,0
2574,0,0,0,0,435,109,3118,241,3359,-0.00498647,0.0214473,-0.999758,0
2516,0,0,0,0,423,109,3048,246,3294,-0.00510466,0.0208914,-0.999769,0
2699,0,0,0,0,462,109,3270,240,3510,-0.00559023,0.0211105,-0.999762,0
2588,0,0,0,0,427,108,3123,245,3368,-0.0045533,0.0213064,-0.999763,0
2523,0,0,0,0,432,107,3062,245,3307,-0.00554604,0.0208547,-0.999767,0
2596,0,0,0,0,484,103,3183,255,3438,-0.00451905,0.0214161,-0.99976,0
2748,0,0,0,0,434,107,3289,245,3534,-0.00526245,0.0219797,-0.999745,0
2630,0,0,0,0,437,116,3183,242,3425,-0.00523672,0.0213642,-0.999758,0
2650,0,0,0,0,427,102,3179,248,3427,-0.0060851,0.0209821,-0.999761,0
2573,0,0,0,0,468,116,3157,247,3404,-0.00555658,0.0216881,-0.999749,0
2639,0,0,0,0,451,105,3195,238,3433,-0.00452233,0.0216456,-0.999756,0
2544,0,0,0,0,426,107,3077,241,3318,-0.00533513,0.021015,-0.999765,0
2548,0,0,0,0,527,132,3207,244,3451,-0.00483725,0.0209405,-0.999769,0
2654,0,0,0,0,471,138,3263,249,3512,-0.00530985,0.020707,-0.999771,0
2687,0,0,0,0,444,104,3235,252,3487,-0.00476649,0.0209328,-0.99977,0
2747,0,0,0,0,451,117,3315,250,3565,-0.00518008,0.020272,-0.999781,0
2761,0,0,0,0,461,119,3341,259,3600,-0.00562041,0.0204353,-0.999775,0
2595,0,0,0,0,476,109,3180,242,3422,-0.00645577,0.0200035,-0.999779,0
2627,0,0,0,0,423,103,3153,244,3397,-0.00528328,0.0208639,-0.999768,0
2576,0,0,0,0,429,104,3109,241,3350,-0.00535793,0.0207387,-0.999771,0
2631,0,0,0,0,434,123,3188,248,3436,-0.00360751,0.0212416,-0.999768,0
2575,0,0,0,0,438,104,3117,240,3357,-0.00570823,0.0207024,-0.999769,0
2785,0,0,0,0,438,108,3331,234,3565,-0.00501564,0.0204523,-0.999778,0
2609,0,0,0,0,424,102,3135,256,3391,-0.00466134,0.0211609,-0.999765,0
2651,0,0,0,0,487,112,3250,248,3498,-0.00463325,0.0209945,-0.999769,0
2765,0,0,0,0,541,115,3421,255,3676,-0.00542521,0.0210309,-0.999764,0
2727,0,0,0,0,435,109,3271,264,3535,-0.00619399,0.0204446,-0.999772,0
2820,0,0,0,0,430,104,3354,261,3615,-0.00490929,0.0208084,-0.999771,0
2792,0,0,0,0,427,102,3321,249,3570,-0.00554584,0.0209199,-0.999766,0
2550,0,0,0,0,443,111,3104,248,3352,-0.0053791,0.0205796,-0.999774,0
2726,0,0,0,0,478,104,3308,251,3559,-0.00630108,0.0201852,-0.999776,0
3671,0,0,0,0,680,147,4498,284,4782,-0.00492529,0.0208639,-0.99977,0
2785,0,0,0,0,442,108,3335,265,3600,-0.00474337,0.0212533,-0.999763,0
2839,0,0,0,0,440,107,3386,251,3637,-0.0050366,0.0207378,-0.999772,0
2591,0,0,0,0,497,104,3192,253,3445,-0.0058104,0.0206859,-0.999769,0
2789,0,0,0,0,435,107,3331,246,3577,-0.00516117,0.020936,-0.999768,0
2544,0,0,0,0,434,116,3094,250,3344,-0.00546815,0.0204529,-0.999776,0
2660,0,0,0,0,424,103,3187,239,3426,-0.00543136,0.0209257,-0.999766,0
2863,0,0,0,0,506,105,3474,244,3718,-0.00455644,0.0215916,-0.999757,0
2639,0,0,0,0,455,108,3202,262,3464,-0.00504703,0.0206478,-0.999774,0
2637,0,0,0,0,428,103,3168,240,3408,-0.00564931,0.0208386,-0.999767,0
2662,0,0,0,0,541,122,3325,253,3578,-0.00545301,0.0209388,-0.999766,0
2713,0,0,0,0,424,106,3243,242,3485,-0.00592159,0.0204587,-0.999773,0
2561,0,0,0,0,435,114,3110,254,3364,-0.00579726,0.0209254,-0.999764,0
2608,0,0,0,0,478,103,3189,247,3436,-0.00538169,0.0208944,-0.999767,0
3677,0,0,0,0,691,151,4519,302,4821,-0.00541641,0.0201499,-0.999782,0
2621,0,0,0,0,512,105,3238,240,3478,-0.00613945,0.0204707,-0.999772,0
2618,0,0,0,0,424,106,3148,241,3389,-0.00535023,0.0209853,-0.999765,0
2627,0,0,0,0,423,106,3156,242,3398,-0.00560581,0.0206514,-0.999771,0
2583,0,0,0,0,509,111,3203,272,3475,-0.0064212,0.0203395,-0.999772,0
2611,0,0,0,0,439,107,3157,248,3405,-0.00482698,0.0209369,-0.999769,0
2558,0,0,0,0,458,121,3137,237,3374,-0.00563823,0.0208669,-0.999766,0
2744,0,0,0,0,507,117,3368,241,3609,-0.0050946,0.0208739,-0.999769,0
2631,0,0,0,0,504,120,3255,240,3495,-0.00501587,0.0207431,-0.999772,0
2666,0,0,0,0,433,106,3205,260,3465,-0.00600281,0.0205623,-0.99977,0
2721,0,0,0,0,426,104,3251,247,3498,-0.0049257,0.0210653,-0.999766,0
2655,0,0,0,0,449,127,3231,253,3484,-0.00524808,0.0208204,-0.999769,0
2667,0,0,0,0,437,107,3211,241,3452,-0.00628271,0.0203361,-0.999773,0
2731,0,0,0,0,422,105,3258,274,3532,-0.00415237,0.0211454,-0.999768,0
2591,0,0,0,0,443,106,3140,259,3399,-0.00507484,0.0205382,-0.999776,0
2577,0,0,0,0,438,108,3123,272,3395,-0.0056263,0.0201782,-0.999781,0
2762,0,0,0,0,490,128,3380,258,3638,-0.004537,0.0209152,-0.999771,0
2871,0,0,0,0,436,121,3428,237,3665,-0.00514072,0.0204763,-0.999777,0
2616,0,0,0,0,433,103,3152,244,3396,-0.00536067,0.0206664,-0.999772,0
2607,0,0,0,0,447,104,3158,237,3395,-0.00492951,0.0203819,-0.99978,0
2595,0,0,0,0,465,115,3175,247,3422,-0.00496936,0.0208766,-0.99977,0
2616,0,0,0,0,482,106,3204,242,3446,-0.00565347,0.0205253,-0.999773,0
2670,0,0,0,0,447,103,3220,257,3477,-0.00517629,0.0203052,-0.99978,0
2648,0,0,0,0,429,109,3186,231,3417,-0.00498298,0.0203629,-0.99978,0
2602,0,0,0,0,430,105,3137,249,3386,-0.00596612,0.020478,-0.999772,0
2686,0,0,0,0,423,107,3216,231,3447,-0.00523005,0.0203569,-0.999779,0
2709,0,0,0,0,423,106,3238,275,3513,-0.00557802,0.0207426,-0.999769,0
2677,0,0,0,0,493,108,3278,240,3518,-0.00446154,0.0206332,-0.999777,0
3707,0,0,0,0,501,124,4332,290,4622,-0.00544276,0.0209031,-0.999767,0
2660,0,0,0,0,484,130,3274,237,3511,-0.00520372,0.0207282,-0.999772,0
2697,0,0,0,0,492,106,3295,237,3532,-0.00516652,0.020247,-0.999782,0
2543,0,0,0,0,524,110,3177,239,3416,-0.00513262,0.0207173,-0.999772,0
2776,0,0,0,0,456,115,3347,239,3586,-0.0054463,0.0205373,-0.999774,0
2775,0,0,0,0,503,103,3381,257,3638,-0.00460184,0.0206371,-0.999776,0
2749,0,0,0,0,657,125,3531,264,3795,-0.00426458,0.0205167,-0.99978,0
2573,0,0,0,0,499,115,3187,257,3444,-0.00538546,0.0206136,-0.999773,0
3747,0,0,0,0,741,165,4653,297,4950,-0.00536517,0.0201494,-0.999783,0
2792,0,0,0,0,437,108,3337,229,3566,-0.00446842,0.0205646,-0.999779,0
2563,0,0,0,0,428,107,3098,231,3329,-0.00506079,0.020695,-0.999773,0
2679,0,0,0,0,431,107,3217,272,3489,-0.00441545,0.0206239,-0.999778,0
2600,0,0,0,0,434,109,3143,241,3384,-0.0056012,0.0197326,-0.99979,0
2664,0,0,0,0,441,103,3208,256,3464,-0.00380207,0.0208584,-0.999775,0
2700,0,0,0,0,444,114,3258,265,3523,-0.0044661,0.0201135,-0.999788,0
2623,0,0,0,0,464,109,3196,251,3447,-0.00460522,0.0204944,-0.999779,0
2764,0,0,0,0,424,104,3292,238,3530,-0.00440532,0.0209642,-0.999771,0
2554,0,0,0,0,515,115,3184,260,3444,-0.00509915,0.0201044,-0.999785,0
2752,0,0,0,0,424,118,3294,282,3576,-0.00526955,0.020359,-0.999779,0
2539,0,0,0,0,430,106,3075,247,3322,-0.00659346,0.0193009,-0.999792,0
2553,0,0,0,0,489,113,3155,239,3394,-0.00568768,0.0194571,-0.999794,0
2538,0,0,0,0,454,108,3100,248,3348,-0.00452341,0.0206661,-0.999776,0
2631,0,0,0,0,443,120,3194,255,3449,-0.00476323,0.0201735,-0.999785,0
2810,0,0,0,0,507,109,3426,249,3675,-0.00536712,0.0198257,-0.999789,0
2621,0,0,0,0,438,104,3163,298,3461,-0.00651312,0.0196866,-0.999785,0
2561,0,0,0,0,435,103,3099,246,3345,-0.00531228,0.0203795,-0.999778,0
2565,0,0,0,0,431,109,3105,236,3341,-0.00603312,0.019595,-0.99979,0
2985,0,0,0,0,516,112,3613,239,3852,-0.00650071,0.0201135,-0.999777,0
2779,0,0,0,0,486,111,3376,256,3632,-0.00620659,0.0197989,-0.999785,0
2646,0,0,0,0,431,107,3184,238,3422,-0.00449315,0.0203883,-0.999782,0
2573,0,0,0,0,448,107,3128,261,3389,-0.00519679,0.0191958,-0.999802,0
2561,0,0,0,0,427,104,3092,237,3329,-0.00373878,0.0206034,-0.999781,0
2600,0,0,0,0,441,109,3150,233,3383,-0.00586537,0.0192161,-0.999798,0
2636,0,0,0,0,453,119,3208,271,3479,-0.00559048,0.0194351,-0.999796,0
2542,0,0,0,0,430,107,3079,240,3319,-0.00482946,0.0198089,-0.999792,0
2643,0,0,0,0,435,102,3180,239,3419,-0.00481439,0.0202671,-0.999783,0
2618,0,0,0,0,421,104,3143,238,3381,-0.00465092,0.0201156,-0.999787,0
2660,0,0,0,0,430,104,3194,260,3454,-0.00573411,0.0191098,-0.999801,0
2498,0,0,0,0,425,107,3030,247,3277,-0.00560024,0.0200226,-0.999784,0
2565,0,0,0,0,440,103,3108,250,3358,-0.00460042,0.020414,-0.999781,0
3988,0,0,0,0,449,105,4542,236,4778,-0.00429503,0.0199264,-0.999792,0
2678,0,0,0,0,460,109,3247,240,3487,-0.00506554,0.020473,-0.999778,0
2800,0,0,0,0,440,107,3347,252,3599,-0.00470305,0.0198766,-0.999791,0
2662,0,0,0,0,439,120,3221,236,3457,-0.00534217,0.019837,-0.999789,0
2583,0,0,0,0,458,113,3154,258,3412,-0.00516625,0.0192933,-0.9998,0
2639,0,0,0,0,443,103,3185,253,3438,-0.00556675,0.0195763,-0.999793,0
2619,0,0,0,0,431,106,3156,248,3404,-0.00407527,0.0201832,-0.999788,0
2593,0,0,0,0,436,104,3133,242,3375,-0.00544964,0.0197485,-0.99979,0
2540,0,0,0,0,462,135,3137,243,3380,-0.00422819,0.0205956,-0.999779,0
2675,0,0,0,0,448,109,3232,239,3471,-0.00491049,0.0202341,-0.999783,0
2592,0,0,0,0,428,108,3128,249,3377,-0.00407967,0.0198093,-0.999795,0
2551,0,0,0,0,451,108,3110,239,3349,-0.00545413,0.0194938,-0.999795,0
2568,0,0,0,0,423,102,3093,251,3344,-0.00393468,0.020633,-0.999779,0
2657,0,0,0,0,423,107,3187,238,3425,-0.00507081,0.0198077,-0.999791,0
2689,0,0,0,0,481,103,3273,243,3516,-0.00448999,0.0202631,-0.999785,0
2582,0,0,0,0,431,104,3117,232,3349,-0.00396407,0.0201886,-0.999788,0
2618,0,0,0,0,424,113,3155,244,3399,-0.00473546,0.0198571,-0.999792,0
2722,0,0,0,0,425,113,3260,273,3533,-0.00476193,0.0203581,-0.999781,0
2681,0,0,0,0,464,104,3249,328,3577,-0.00443727,0.0197316,-0.999795,0
2697,0,0,0,0,453,105,3255,234,3489,-0.00514942,0.0196783,-0.999793,0
3666,0,0,0,0,735,152,4553,284,4837,-0.00413437,0.0201633,-0.999788,0
2541,0,0,0,0,433,122,3096,241,3337,-0.00472739,0.0195102,-0.999798,0
2559,0,0,0,0,452,110,3121,238,3359,-0.00507357,0.019748,-0.999792,0
2561,0,0,0,0,545,109,3215,240,3455,-0.00483616,0.0198031,-0.999792,0
2555,0,0,0,0,499,106,3160,242,3402,-0.00478579,0.020468,-0.999779,0
2569,0,0,0,0,455,111,3135,248,3383,-0.00391099,0.0203966,-0.999784,0
2554,0,0,0,0,456,105,3115,263,3378,-0.00459427,0.019077,-0.999808,0
2550,0,0,0,0,438,109,3097,254,3351,-0.00478988,0.0195492,-0.999797,0
2502,0,0,0,0,429,103,3034,258,3292,-0.00472955,0.0202457,-0.999784,0
3022,0,0,0,0,664,111,3797,259,4056,-0.0039592,0.020054,-0.999791,0
2575,0,0,0,0,469,104,3148,241,3389,-0.00513098,0.0195401,-0.999796,0
2538,0,0,0,0,427,120,3085,250,3335,-0.00392083,0.0196435,-0.999799,0
2558,0,0,0,0,469,124,3151,261,3412,-0.00551736,0.018878,-0.999807,0
2728,0,0,0,0,432,106,3266,241,3507,-0.00446094,0.0195254,-0.999799,0
2700,0,0,0,0,442,106,3248,260,3508,-0.00523796,0.0195994,-0.999794,0
2606,0,0,0,0,429,106,3141,313,3454,-0.00518332,0.0192028,-0.999802,0
2768,0,0,0,0,464,108,3340,245,3585,-0.004338,0.0194589,-0.999801,0
2604,0,0,0,0,501,109,3214,263,3477,-0.00421786,0.0202331,-0.999786,0
2672,0,0,0,0,504,112,3288,265,3553,-0.00573958,0.0191905,-0.999799,0
2587,0,0,0,0,432,103,3122,274,3396,-0.00466963,0.0197047,-0.999795,0
2596,0,0,0,0,465,109,3170,280,3450,-0.00549681,0.0188927,-0.999806,0
2600,0,0,0,0,431,103,3134,237,3371,-0.00508231,0.0193037,-0.999801,0
2591,0,0,0,0,438,106,3135,254,3389,-0.00460608,0.019511,-0.999799,0
2562,0,0,0,0,471,133,3166,242,3408,-0.00351685,0.0199074,-0.999796,0
2568,0,0,0,0,441,102,3111,246,3357,-0.0050929,0.0193468,-0.9998,0
2589,0,0,0,0,426,107,3122,241,3363,-0.0053652,0.0194246,-0.999797,0
2555,0,0,0,0,449,104,3108,244,3352,-0.00470005,0.0193417,-0.999802,0
3035,0,0,0,0,450,122,3607,264,3871,-0.00507651,0.0190989,-0.999805,0
2634,0,0,0,0,422,106,3162,251,3413,-0.00614522,0.0183054,-0.999814,0
2869,0,0,0,0,423,115,3407,263,3670,-0.00502897,0.0189596,-0.999808,0
2663,0,0,0,0,516,122,3301,235,3536,-0.00603152,0.0188616,-0.999804,0
2599,0,0,0,0,480,159,3238,236,3474,-0.00493467,0.0193242,-0.999801,0
2594,0,0,0,0,505,105,3204,260,3464,-0.00527333,0.0193572,-0.999799,0
2620,0,0,0,0,473,113,3206,248,3454,-0.00546944,0.0189563,-0.999805,0
2615,0,0,0,0,436,103,3154,259,3413,-0.00428508,0.0192922,-0.999805,0
2652,0,0,0,0,464,103,3219,235,3454,-0.00574149,0.0184358,-0.999814,0
2802,0,0,0,0,452,114,3368,270,3638,-0.00532869,0.018851,-0.999808,0
2591,0,0,0,0,446,104,3141,247,3388,-0.00555961,0.0189284,-0.999805,0
2633,0,0,0,0,444,110,3187,238,3425,-0.00460103,0.0189327,-0.99981,0
2736,0,0,0,0,484,107,3327,252,3579,-0.00387898,0.019196,-0.999808,0
2637,0,0,0,0,444,104,3185,284,3469,-0.00523322,0.0190403,-0.999805,0
2584,0,0,0,0,428,102,3114,250,3364,-0.00481776,0.0191461,-0.999805,0
2594,0,0,0,0,449,105,3148,245,3393,-0.00466495,0.0192656,-0.999804,0
2605,0,0,0,0,437,104,3146,266,3412,-0.00570062,0.0184541,-0.999813,0
2598,0,0,0,0,475,113,3186,239,3425,-0.00535396,0.0189129,-0.999807,0
2546,0,0,0,0,445,107,3098,252,3350,-0.00464341,0.019601,-0.999797,0
2573,0,0,0,0,449,113,3135,257,3392,-0.00479112,0.0190949,-0.999806,0
2591,0,0,0,0,433,106,3130,251,3381,-0.00538075,0.0187873,-0.999809,0
2600,0,0,0,0,432,108,3140,255,3395,-0.0041826,0.0189165,-0.999812,0
2524,0,0,0,0,480,116,3120,237,3357,-0.00412318,0.0191983,-0.999807,0
2583,0,0,0,0,442,103,3128,248,3376,-0.00435416,0.0190174,-0.99981,0
2577,0,0,0,0,432,103,3112,246,3358,-0.0051418,0.0183059,-0.999819,0
2556,0,0,0,0,422,115,3093,235,3328,-0.00406222,0.0191062,-0.999809,0
2698,0,0,0,0,435,114,3247,243,3490,-0.00469612,0.0191188,-0.999806,0
2697,0,0,0,0,444,103,3244,236,3480,-0.00395506,0.0185915,-0.999819,0
2669,0,0,0,0,451,134,3254,275,3529,-0.00519093,0.0178081,-0.999828,0
2527,0,0,0,0,426,102,3055,235,3290,-0.00520283,0.0182627,-0.99982,0
2678,0,0,0,0,433,114,3225,251,3476,-0.00475428,0.0185384,-0.999817,0
2715,0,0,0,0,429,108,3252,247,3499,-0.00447985,0.018216,-0.999824,0
2666,0,0,0,0,430,115,3211,234,3445,-0.00556849,0.0178533,-0.999825,0
2580,0,0,0,0,442,103,3125,253,3378,-0.00457994,0.0187269,-0.999814,0
2578,0,0,0,0,478,106,3162,247,3409,-0.00370986,0.0187622,-0.999817,0
