Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
15688,0,0,0,0,1144,271,17103,298,17401,0.022135,0.168233,-0.985499,0
5294,0,0,0,0,1013,237,6544,507,7051,0.00818843,0.0427809,-0.999051,0
5286,0,0,0,0,1014,238,6538,517,7055,0.00366442,0.0272454,-0.999622,0
5312,0,0,0,0,1017,245,6574,474,7048,0.00152842,0.0247056,-0.999694,0
5305,0,0,0,0,1029,245,6579,484,7063,-0.000340289,0.0232597,-0.999729,0
5373,0,0,0,0,1036,245,6654,457,7111,-0.00161739,0.0222121,-0.999752,0
5178,0,0,0,0,1048,259,6485,450,6935,-0.002926,0.0214144,-0.999766,0
6114,0,0,0,0,1157,246,7517,450,7967,-0.00419182,0.0209139,-0.999772,0
5560,0,0,0,0,1094,246,6900,477,7377,-0.00527745,0.0206062,-0.999774,0
5266,0,0,0,0,1043,248,6557,440,6997,-0.00595599,0.0209387,-0.999763,0
5955,0,0,0,0,1133,276,7364,484,7848,-0.00587103,0.021346,-0.999755,0
5418,0,0,0,0,1018,258,6694,449,7143,-0.0062821,0.021504,-0.999749,0
5915,0,0,0,0,1183,275,7373,499,7872,-0.00502066,0.0221268,-0.999743,0
5811,0,0,0,0,1131,271,7213,521,7734,-0.00342504,0.0228045,-0.999734,0
5854,0,0,0,0,1180,278,7312,497,7809,-0.00317355,0.024164,-0.999703,0
5822,0,0,0,0,1132,296,7250,543,7793,-0.00264546,0.0249197,-0.999686,0
5799,0,0,0,0,1133,272,7204,506,7710,-0.00227687,0.0249233,-0.999687,0
5825,0,0,0,0,1128,269,7222,537,7759,-0.00175144,0.024519,-0.999698,0
5807,0,0,0,0,1176,272,7255,510,7765,-0.00091084,0.0228525,-0.999738,0
5841,0,0,0,0,1137,269,7247,501,7748,-0.00148778,0.0169818,-0.999855,0
