Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
15648,0,0,0,0,1094,290,17032,158,17190,-0.00115433,0.0436276,-0.999047,0
6822,0,0,0,0,1358,284,8464,235,8699,0.00718056,0.0349386,-0.999364,0
6108,0,0,0,0,1137,327,7572,373,7945,0.00866336,0.0338131,-0.999391,0
6809,0,0,0,0,1165,281,8255,418,8673,0.00789165,0.0331372,-0.99942,0
6303,0,0,0,0,1119,278,7700,411,8111,0.00619581,0.0332455,-0.999428,0
5961,0,0,0,0,1090,271,7322,389,7711,0.00452382,0.0344803,-0.999395,0
6121,0,0,0,0,1148,273,7542,371,7913,0.00497698,0.0359017,-0.999343,0
6506,0,0,0,0,1118,274,7898,393,8291,0.00569356,0.0366839,-0.999311,0
5931,0,0,0,0,1462,303,7696,387,8083,0.00597035,0.0381933,-0.999253,0
5922,0,0,0,0,1093,270,7285,385,7670,0.00600979,0.0406241,-0.999156,0
6211,0,0,0,0,1114,274,7599,329,7928,0.00631818,0.0440473,-0.99901,0
5975,0,0,0,0,1087,269,7331,299,7630,0.00578671,0.0477438,-0.998843,0
6092,0,0,0,0,1154,276,7522,294,7816,0.00815627,0.0535197,-0.998534,0
6139,0,0,0,0,1110,277,7526,302,7828,0.0135149,0.0591643,-0.998157,0
3483,0,0,0,0,601,146,4230,190,4420,0.0116423,0.0556743,-0.998381,0
6525,0,0,0,0,1093,275,7893,309,8202,0.0118149,0.063651,-0.997902,0
5979,0,0,0,0,1102,271,7352,344,7696,0.00934218,0.0624637,-0.998004,0
6009,0,0,0,0,1128,302,7439,330,7769,0.0114043,0.0643278,-0.997864,0
6031,0,0,0,0,1168,278,7477,366,7843,0.0136934,0.0667254,-0.997677,0
6509,0,0,0,0,1337,281,8127,399,8526,0.0150711,0.0690021,-0.997503,0
7857,0,0,0,0,1159,271,9287,442,9729,0.0148147,0.0697387,-0.997455,0
6059,0,0,0,0,1101,265,7425,454,7879,0.0127193,0.0762197,-0.99701,0
6197,0,0,0,0,1088,285,7570,476,8046,0.0100184,0.0834203,-0.996464,0
6232,0,0,0,0,1201,272,7705,473,8178,0.01165,0.0831313,-0.996471,0
