Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6307,0,0,0,0,1090,279,7676,331,8007,0.0147177,-0.117923,-0.992914,0
5813,0,0,0,0,1036,249,7098,695,7793,-0.00187003,0.00836325,-0.999963,0
5425,0,0,0,0,988,234,6647,685,7332,-0.000233913,0.0210985,-0.999777,0
5508,0,0,0,0,955,226,6689,761,7450,-0.000872325,0.0249524,-0.999688,0
5610,0,0,0,0,969,229,6808,773,7581,-0.00250759,0.0260752,-0.999657,0
6002,0,0,0,0,1046,245,7293,849,8142,-0.00279096,0.0251299,-0.99968,0
5977,0,0,0,0,1120,254,7351,839,8190,-0.00204566,0.0243756,-0.999701,0
6069,0,0,0,0,1079,249,7397,825,8222,-0.00287308,0.0238446,-0.999712,0
5946,0,0,0,0,1075,248,7269,815,8084,-0.00292496,0.0252004,-0.999678,0
6821,0,0,0,0,1099,251,8171,808,8979,-0.00378024,0.0287943,-0.999578,0
6767,0,0,0,0,1180,255,8202,831,9033,-0.00129193,0.030185,-0.999543,0
5974,0,0,0,0,1046,247,7267,799,8066,0.000592907,0.0302006,-0.999544,0
6198,0,0,0,0,1057,252,7507,815,8322,0.000214045,0.0280376,-0.999607,0
6111,0,0,0,0,1078,251,7440,770,8210,-0.000948061,0.0256011,-0.999672,0
6220,0,0,0,0,1057,280,7557,824,8381,-0.000970791,0.0242147,-0.999706,0
6033,0,0,0,0,1069,256,7358,880,8238,-0.00148764,0.0231519,-0.999731,0
5959,0,0,0,0,1074,271,7304,839,8143,-0.00156294,0.0237367,-0.999717,0
6143,0,0,0,0,1120,255,7518,822,8340,-0.00154606,0.0235003,-0.999723,0
5989,0,0,0,0,1063,251,7303,837,8140,-0.00172945,0.0229287,-0.999736,0
5998,0,0,0,0,1118,252,7368,884,8252,-0.00106554,0.0229537,-0.999736,0
6012,0,0,0,0,1073,252,7337,848,8185,0.000307384,0.0229875,-0.999736,0
6069,0,0,0,0,1110,254,7433,839,8272,0.000459452,0.022367,-0.99975,0
6364,0,0,0,0,1075,254,7693,919,8612,4.82209e-05,0.0238654,-0.999715,0
6167,0,0,0,0,1063,251,7481,863,8344,-0.00172988,0.0255318,-0.999673,0
6748,0,0,0,0,1074,251,8073,947,9020,-0.00221199,0.0248118,-0.99969,0
6809,0,0,0,0,1069,280,8158,862,9020,-0.00141203,0.0253753,-0.999677,0
6160,0,0,0,0,1062,251,7473,855,8328,-0.00204939,0.0264898,-0.999647,0
6134,0,0,0,0,1068,252,7454,947,8401,-0.00455679,0.0267107,-0.999633,0
6526,0,0,0,0,1072,252,7850,892,8742,-0.00313771,0.0263285,-0.999648,0
6012,0,0,0,0,1123,252,7387,862,8249,-0.00477723,0.027589,-0.999608,0
6714,0,0,0,0,1072,255,8041,912,8953,-0.003131,0.0271113,-0.999628,0
6620,0,0,0,0,1179,259,8058,881,8939,-0.00274937,0.0270719,-0.99963,0
6366,0,0,0,0,1076,257,7699,862,8561,-0.00326068,0.027973,-0.999603,0
6071,0,0,0,0,1122,254,7447,887,8334,-0.00273575,0.0290981,-0.999573,0
5965,0,0,0,0,1071,250,7286,880,8166,-0.0015583,0.0291021,-0.999575,0
6187,0,0,0,0,1078,258,7523,932,8455,-0.000811026,0.0282399,-0.999601,0
5997,0,0,0,0,1077,253,7327,843,8170,-0.00143104,0.0275251,-0.99962,0
6456,0,0,0,0,1081,253,7790,892,8682,0.00019988,0.0258418,-0.999666,0
6093,0,0,0,0,1085,270,7448,938,8386,-0.00246866,0.0260907,-0.999657,0
6000,0,0,0,0,1121,253,7374,904,8278,-0.00363443,0.0272357,-0.999622,0
7526,0,0,0,0,1128,302,8956,951,9907,-0.00583177,0.0303658,-0.999522,0
6071,0,0,0,0,1083,254,7408,908,8316,-0.0047617,0.0306861,-0.999518,0
6166,0,0,0,0,1095,254,7515,932,8447,-0.00334455,0.0303558,-0.999534,0
4546,0,0,0,0,757,196,5499,632,6131,-0.00272024,0.0282833,-0.999596,0
2186,0,0,0,0,394,91,2671,307,2978,-0.00292497,0.0261466,-0.999654,0
6242,0,0,0,0,1082,253,7577,905,8482,-0.0038684,0.0251435,-0.999676,0
6064,0,0,0,0,1101,256,7421,911,8332,0.000628534,0.0248059,-0.999692,0
6133,0,0,0,0,1088,257,7478,920,8398,0.00502024,0.0256954,-0.999657,0
6058,0,0,0,0,1109,259,7426,879,8305,0.0065045,0.0258754,-0.999644,0
6042,0,0,0,0,1137,258,7437,846,8283,0.00101687,0.0263009,-0.999653,0
6113,0,0,0,0,1111,283,7507,935,8442,-0.00338912,0.0275263,-0.999615,0
6003,0,0,0,0,1114,261,7378,939,8317,-0.00465157,0.0280254,-0.999596,0
6053,0,0,0,0,1116,290,7459,934,8393,-0.00381507,0.0302304,-0.999536,0
6116,0,0,0,0,1120,265,7501,968,8469,-0.00249568,0.0313864,-0.999504,0
6041,0,0,0,0,1134,265,7440,895,8335,-0.00328957,0.032331,-0.999472,0
6183,0,0,0,0,1152,262,7597,965,8562,-0.00455785,0.0341605,-0.999406,0
6016,0,0,0,0,1109,263,7388,907,8295,-0.0048188,0.0362376,-0.999332,0
6007,0,0,0,0,1209,268,7484,897,8381,-0.00480486,0.0387157,-0.999239,0
6228,0,0,0,0,1149,292,7669,935,8604,-0.00443697,0.0395163,-0.999209,0
6173,0,0,0,0,1178,310,7661,918,8579,-0.00496522,0.0456447,-0.998945,0
6039,0,0,0,0,1091,255,7385,832,8217,-0.00510778,0.0442449,-0.999008,0
6081,0,0,0,0,1119,255,7455,791,8246,-0.00377944,0.0446996,-0.998993,0
6044,0,0,0,0,1168,261,7473,776,8249,-0.00396583,0.0434262,-0.999049,0
6033,0,0,0,0,1092,263,7388,779,8167,-0.0045833,0.0400323,-0.999188,0
5939,0,0,0,0,1086,253,7278,828,8106,-0.00421893,0.0355803,-0.999358,0
5935,0,0,0,0,1084,253,7272,887,8159,-0.00291868,0.0329882,-0.999451,0
5979,0,0,0,0,1105,255,7339,897,8236,-0.00397501,0.0326339,-0.999459,0
6029,0,0,0,0,1111,256,7396,871,8267,-0.00269314,0.0314043,-0.999503,0
6755,0,0,0,0,1086,258,8099,895,8994,-0.00277606,0.0311278,-0.999512,0
5994,0,0,0,0,1144,260,7398,858,8256,-0.00321336,0.0321827,-0.999477,0
6681,0,0,0,0,1079,253,8013,908,8921,-0.00448866,0.0320898,-0.999475,0
6190,0,0,0,0,1527,272,7989,915,8904,-0.00473349,0.0319517,-0.999478,0
6016,0,0,0,0,1085,255,7356,854,8210,-0.00382304,0.0331525,-0.999443,0
6223,0,0,0,0,1087,256,7566,870,8436,-0.000508156,0.032014,-0.999487,0
6042,0,0,0,0,1098,257,7397,882,8279,-0.000924696,0.0328626,-0.999459,0
