Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5252,0,0,0,0,148,69,5469,393,5862,-0.0643623,-0.0761791,-0.995015,0
5178,0,0,0,0,89,32,5299,527,5826,-0.0435747,-0.169611,-0.984547,0
3476,0,0,0,0,63,20,3559,70,3629,-0.362866,-0.114693,-0.924756,0
1203,0,0,0,0,35,7,1245,75,1320,-0.316576,-0.143004,-0.937726,0
1857,0,0,0,0,33,11,1901,74,1975,-0.30447,-0.208617,-0.929396,0
2050,0,0,0,0,32,11,2093,87,2180,-0.276649,-0.187667,-0.942468,0
1724,0,0,0,0,32,10,1766,71,1837,-0.26411,-0.255433,-0.930054,0
1835,0,0,0,0,30,11,1876,86,1962,-0.212884,-0.249969,-0.944561,0
1780,0,0,0,0,31,10,1821,83,1904,-0.198226,-0.228524,-0.953144,0
1841,0,0,0,0,32,11,1884,82,1966,-0.224019,-0.245314,-0.943205,0
2041,0,0,0,0,34,12,2087,93,2180,-0.196854,-0.239482,-0.950735,0
1508,0,0,0,0,25,8,1541,81,1622,-0.229372,-0.213932,-0.949538,0
3283,0,0,0,0,66,16,3365,115,3480,-0.246658,-0.271944,-0.930165,0
1143,0,0,0,0,20,6,1169,89,1258,-0.229498,-0.252587,-0.939963,0
1259,0,0,0,0,20,7,1286,56,1342,-0.182484,-0.239582,-0.953572,0
1103,0,0,0,0,20,8,1131,52,1183,-0.210629,-0.253681,-0.944077,0
1150,0,0,0,0,19,7,1176,55,1231,-0.216688,-0.226272,-0.949657,0
1899,0,0,0,0,45,13,1957,76,2033,-0.24415,-0.280107,-0.928402,0
1985,0,0,0,0,34,11,2030,90,2120,-0.215688,-0.251549,-0.943505,0
1734,0,0,0,0,39,10,1783,92,1875,-0.229951,-0.217563,-0.948572,0
1680,0,0,0,0,28,9,1717,67,1784,-0.249219,-0.306886,-0.918537,0
1583,0,0,0,0,28,10,1621,82,1703,-0.266782,-0.217324,-0.938934,0
1655,0,0,0,0,28,9,1692,75,1767,-0.259523,-0.212548,-0.942057,0
2003,0,0,0,0,33,13,2049,82,2131,-0.243864,-0.21312,-0.946103,0
1238,0,0,0,0,21,7,1266,52,1318,-0.265882,-0.288009,-0.919977,0
1373,0,0,0,0,23,7,1403,66,1469,-0.224028,-0.247059,-0.942748,0
1472,0,0,0,0,24,8,1504,65,1569,-0.207786,-0.232511,-0.950139,0
1179,0,0,0,0,20,17,1216,51,1267,-0.205959,-0.247806,-0.946664,0
1127,0,0,0,0,18,6,1151,51,1202,-0.216515,-0.212188,-0.952942,0
1148,0,0,0,0,21,6,1175,47,1222,-0.238509,-0.245132,-0.939694,0
1189,0,0,0,0,21,6,1216,57,1273,-0.224024,-0.221993,-0.948964,0
1129,0,0,0,0,20,6,1155,49,1204,-0.246361,-0.233512,-0.940627,0
1131,0,0,0,0,19,6,1156,52,1208,-0.213829,-0.203871,-0.95536,0
1768,0,0,0,0,41,11,1820,62,1882,-0.230242,-0.256918,-0.938606,0
1830,0,0,0,0,33,10,1873,90,1963,-0.193889,-0.244894,-0.949965,0
2058,0,0,0,0,33,11,2102,80,2182,-0.252393,-0.191399,-0.948506,0
2011,0,0,0,0,32,11,2054,77,2131,-0.246119,-0.241436,-0.938688,0
1831,0,0,0,0,50,12,1893,91,1984,-0.25519,-0.19562,-0.946895,0
1849,0,0,0,0,31,10,1890,74,1964,-0.267086,-0.243066,-0.932515,0
1846,0,0,0,0,32,10,1888,106,1994,-0.222806,-0.231913,-0.946876,0
1850,0,0,0,0,31,17,1898,77,1975,-0.229189,-0.218959,-0.948435,0
1265,0,0,0,0,23,7,1295,54,1349,-0.235655,-0.298301,-0.924923,0
1152,0,0,0,0,22,8,1182,92,1274,-0.202888,-0.258582,-0.944443,0
1927,0,0,0,0,31,10,1968,96,2064,-0.203168,-0.218095,-0.954546,0
2134,0,0,0,0,36,13,2183,78,2261,-0.236953,-0.253805,-0.937783,0
2469,0,0,0,0,40,15,2524,135,2659,-0.229181,-0.229533,-0.945934,0
1994,0,0,0,0,33,11,2038,85,2123,-0.256081,-0.186656,-0.948463,0
1855,0,0,0,0,30,10,1895,66,1961,-0.245934,-0.272827,-0.930098,0
1776,0,0,0,0,31,10,1817,96,1913,-0.208309,-0.247173,-0.946315,0
1780,0,0,0,0,30,9,1819,75,1894,-0.215635,-0.21762,-0.951915,0
1683,0,0,0,0,27,9,1719,64,1783,-0.239497,-0.274712,-0.931222,0
2076,0,0,0,0,32,12,2120,97,2217,-0.22098,-0.223112,-0.949415,0
1839,0,0,0,0,30,9,1878,70,1948,-0.238055,-0.259917,-0.935828,0
1838,0,0,0,0,32,10,1880,96,1976,-0.21523,-0.250139,-0.943985,0
1982,0,0,0,0,48,15,2045,116,2161,-0.198077,-0.24556,-0.948929,0
1840,0,0,0,0,31,10,1881,75,1956,-0.230093,-0.230673,-0.945435,0
1808,0,0,0,0,31,9,1848,88,1936,-0.219276,-0.236637,-0.946531,0
1839,0,0,0,0,32,10,1881,77,1958,-0.235376,-0.211664,-0.948576,0
1859,0,0,0,0,33,10,1902,75,1977,-0.239222,-0.286182,-0.927832,0
1780,0,0,0,0,31,10,1821,100,1921,-0.233645,-0.230022,-0.944722,0
1847,0,0,0,0,32,10,1889,78,1967,-0.217255,-0.228404,-0.949016,0
1581,0,0,0,0,27,8,1616,78,1694,-0.225799,-0.262154,-0.938238,0
1224,0,0,0,0,22,7,1253,64,1317,-0.210645,-0.249627,-0.945153,0
1206,0,0,0,0,21,7,1234,63,1297,-0.226665,-0.214588,-0.950039,0
