Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7117,0,0,0,0,990,200,8307,375,8682,-0.0564106,-0.0756065,-0.995541,0
6383,0,0,0,0,728,174,7285,300,7585,-0.0358017,-0.0301218,-0.998905,0
6474,0,0,0,0,712,173,7359,323,7682,-0.0129607,0.00784839,-0.999885,0
6599,0,0,0,0,709,198,7506,319,7825,-0.00436487,0.0224882,-0.999738,0
6479,0,0,0,0,730,178,7387,391,7778,-0.00407602,0.0244952,-0.999692,0
6591,0,0,0,0,962,268,7821,432,8253,-0.00402979,0.0242155,-0.999699,0
6582,0,0,0,0,699,176,7457,347,7804,-0.00463057,0.0248197,-0.999681,0
6012,0,0,0,0,612,152,6776,287,7063,-0.00436128,0.0229126,-0.999728,0
7099,0,0,0,0,611,178,7888,332,8220,-0.00509094,0.0247279,-0.999681,0
6564,0,0,0,0,735,173,7472,334,7806,-0.00384392,0.0252497,-0.999674,0
6768,0,0,0,0,689,173,7630,354,7984,-0.00347774,0.0262216,-0.99965,0
6497,0,0,0,0,707,172,7376,330,7706,-0.00322737,0.0273557,-0.99962,0
6713,0,0,0,0,623,154,7490,373,7863,-0.00308541,0.0249236,-0.999685,0
6607,0,0,0,0,696,174,7477,332,7809,-0.00317667,0.0203365,-0.999788,0
7086,0,0,0,0,775,174,8035,319,8354,-0.00247862,0.0231939,-0.999728,0
6530,0,0,0,0,695,181,7406,318,7724,-0.00389947,0.0236671,-0.999712,0
7346,0,0,0,0,675,170,8191,314,8505,-0.00486632,0.028277,-0.999588,0
6543,0,0,0,0,439,110,7092,247,7339,-0.00853872,0.0314266,-0.99947,0
3159,0,0,0,0,298,65,3522,127,3649,-0.0104675,0.0324977,-0.999417,0
5696,0,0,0,0,664,168,6528,316,6844,-0.00983332,0.0329237,-0.99941,0
6923,0,0,0,0,937,172,8032,360,8392,-0.0107053,0.0333836,-0.999385,0
6423,0,0,0,0,653,194,7270,299,7569,-0.0123357,0.0321726,-0.999406,0
6679,0,0,0,0,979,195,7853,350,8203,-0.0114368,0.0316686,-0.999433,0
6484,0,0,0,0,648,163,7295,291,7586,-0.0109653,0.0318367,-0.999433,0
6541,0,0,0,0,698,167,7406,312,7718,-0.0123727,0.0324749,-0.999396,0
6572,0,0,0,0,640,162,7374,299,7673,-0.00975952,0.0382437,-0.999221,0
6541,0,0,0,0,641,158,7340,282,7622,-0.00948672,0.0412868,-0.999102,0
