Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4883,0,356,411,3384,87,220,9341,380,9721,-0.0302894,0.06904,-0.997154,0
4808,0,301,378,3890,40,220,9637,357,9994,-0.0114691,0.0549749,-0.998422,0
4785,0,336,381,3311,41,251,9105,361,9466,-0.0153964,0.0584974,-0.998169,0
5430,0,457,460,3277,45,246,9915,407,10322,-0.0172609,0.0640867,-0.997795,0
4276,0,270,339,2946,34,196,8061,325,8386,-0.023535,0.0694288,-0.997309,0
4883,0,300,381,3286,38,218,9106,389,9495,-0.0250832,0.0697583,-0.997249,0
4750,0,341,380,3264,53,342,9130,487,9617,-0.0228923,0.0723463,-0.997117,0
4792,0,324,423,3183,42,246,9010,413,9423,-0.0265265,0.0726034,-0.997008,0
6237,0,301,382,3415,39,254,10628,364,10992,-0.0160171,0.0573079,-0.998228,0
5049,0,350,405,3185,37,216,9242,361,9603,-0.0291213,0.0704258,-0.997092,0
6031,0,300,404,3294,39,219,10287,383,10670,-0.0202317,0.0566889,-0.998187,0
4752,0,298,440,3284,39,217,9030,359,9389,-0.0288739,0.0636116,-0.997557,0
4731,0,300,376,3245,37,213,8902,380,9282,-0.0198365,0.0682977,-0.997468,0
4764,0,299,375,3668,50,246,9402,363,9765,-0.0290053,0.0618465,-0.997664,0
4686,0,315,481,3736,40,220,9478,369,9847,-0.0222551,0.0802733,-0.996524,0
4766,0,300,375,3171,26,150,8788,269,9057,-0.014788,0.0554275,-0.998353,0
4714,0,301,378,3329,38,219,8979,362,9341,-0.0274353,0.0709644,-0.997101,0
4762,0,302,381,3236,39,220,8940,363,9303,-0.0179424,0.0596533,-0.998058,0
4723,0,297,373,3241,39,219,8892,360,9252,-0.0275247,0.0691483,-0.997227,0
5853,0,340,381,3293,38,257,10162,363,10525,-0.0247942,0.0581098,-0.998002,0
4793,0,297,375,3300,38,216,9019,361,9380,-0.0219816,0.0689356,-0.997379,0
3070,0,157,197,1692,19,126,5261,187,5448,-0.0132772,0.0591816,-0.998159,0
2373,0,150,188,1615,19,108,4453,194,4647,-0.0128213,0.050658,-0.998634,0
4759,0,297,376,3280,37,218,8967,362,9329,-0.0254489,0.0698346,-0.997234,0
4801,0,299,378,3325,39,243,9085,365,9450,-0.0250523,0.0730003,-0.997017,0
4784,0,300,387,3269,44,219,9003,411,9414,-0.00595407,0.0590902,-0.998235,0
4717,0,299,376,3328,37,218,8975,361,9336,-0.0238698,0.0682075,-0.997386,0
4842,0,320,416,3250,37,259,9124,398,9522,-0.0160231,0.0603333,-0.99805,0
4602,0,299,430,3584,40,220,9175,393,9568,-0.0190974,0.0637411,-0.997784,0
4865,0,300,381,3333,37,218,9134,362,9496,-0.0193405,0.0571249,-0.99818,0
4965,0,298,412,3249,38,219,9181,362,9543,-0.0239655,0.0753307,-0.996871,0
4622,0,298,387,3168,38,214,8727,362,9089,-0.0252158,0.0722418,-0.997068,0
4741,0,299,378,3201,38,214,8871,399,9270,-0.0248871,0.0638415,-0.99765,0
4837,0,322,401,3301,37,217,9115,360,9475,-0.00829335,0.041464,-0.999106,0
4875,0,301,382,2509,26,152,8245,249,8494,-0.0173455,0.0496813,-0.998615,0
3225,0,158,200,1791,20,109,5503,167,5670,-0.0279353,0.0643445,-0.997537,0
3325,0,223,280,2357,27,160,6372,311,6683,-0.0175545,0.050737,-0.998558,0
4736,0,296,452,3249,39,224,8996,360,9356,-0.0304736,0.0627998,-0.997561,0
4788,0,299,395,3182,36,214,8914,360,9274,-0.0283924,0.0707592,-0.997089,0
4807,0,302,421,3309,39,220,9098,421,9519,-0.0182993,0.0554947,-0.998291,0
4874,0,316,454,3250,36,218,9148,406,9554,-0.0239884,0.0628448,-0.997735,0
4656,0,301,375,3258,38,218,8846,370,9216,-0.0265516,0.071912,-0.997058,0
4724,0,323,389,3243,40,234,8953,360,9313,-0.0187244,0.0585328,-0.99811,0
4834,0,299,377,3324,49,218,9101,390,9491,-0.0275158,0.0676918,-0.997327,0
3113,0,168,213,1712,21,147,5374,218,5592,-0.0198683,0.0595482,-0.998028,0
1683,0,107,134,1133,14,77,3148,131,3279,-0.0250807,0.0715148,-0.997124,0
4840,0,301,382,3272,37,220,9052,360,9412,-0.0273666,0.0714473,-0.997069,0
4775,0,351,401,3322,40,219,9108,380,9488,-0.0172472,0.0545496,-0.998362,0
4942,0,338,411,3220,37,224,9172,371,9543,-0.0207952,0.0778229,-0.99675,0
2825,0,158,200,1746,20,114,5063,193,5256,-0.025777,0.0619374,-0.997747,0
4968,0,341,523,3346,39,217,9434,389,9823,-0.024238,0.0631539,-0.997709,0
4786,0,340,445,3870,27,154,9622,269,9891,-0.0282966,0.0698471,-0.997156,0
4312,0,270,369,2982,34,223,8190,325,8515,-0.0238835,0.0652922,-0.99758,0
4326,0,269,340,3038,34,196,8203,326,8529,-0.0272419,0.0679898,-0.997314,0
