Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6727,0,355,458,2386,94,175,10195,435,10630,0.0738234,0.0720223,-0.994667,0
6731,0,228,294,2361,53,154,9821,323,10144,0.0451591,0.0636944,-0.996947,0
4026,0,159,214,1703,38,106,6246,297,6543,0.0471654,0.0642064,-0.996821,0
5969,0,202,255,1999,55,148,8628,363,8991,0.0481937,0.0771895,-0.995851,0
6048,0,202,257,1998,49,148,8702,362,9064,0.0422451,0.0799613,-0.995902,0
6754,0,227,291,2326,75,170,9843,407,10250,0.0456158,0.0734135,-0.996258,0
6182,0,203,257,1994,47,147,8830,363,9193,0.0625268,0.0545489,-0.996551,0
6753,0,231,298,2291,57,152,9782,348,10130,0.0535395,0.0658481,-0.996392,0
4013,0,140,176,1419,46,102,5896,251,6147,0.0405627,0.0809666,-0.995891,0
6621,0,228,381,2324,103,174,9831,409,10240,0.0575466,0.0587322,-0.996614,0
6662,0,226,288,2247,35,110,9568,274,9842,0.0557685,0.0644739,-0.99636,0
6834,0,230,297,2295,59,167,9882,439,10321,0.0352757,0.0827301,-0.995947,0
5403,0,152,194,1514,38,111,7412,272,7684,0.0543952,0.0645872,-0.996428,0
2619,0,90,127,745,19,54,3654,137,3791,0.0515881,0.0629764,-0.996681,0
2361,0,83,105,824,20,60,3453,149,3602,0.0553973,0.0582203,-0.996765,0
6716,0,229,293,2316,76,148,9778,365,10143,0.0539507,0.0650068,-0.996425,0
5892,0,204,260,2075,51,152,8634,363,8997,0.0504598,0.0697514,-0.996287,0
6317,0,245,266,2135,53,155,9171,362,9533,0.0543279,0.0650465,-0.996402,0
6090,0,204,260,2109,51,153,8867,363,9230,0.036513,0.081457,-0.996008,0
5687,0,183,238,1896,47,137,8188,328,8516,0.0461482,0.068747,-0.996566,0
6948,0,201,286,2130,59,152,9776,363,10139,0.0576842,0.0465824,-0.997248,0
6014,0,202,258,2007,48,150,8679,399,9078,0.0405387,0.0841693,-0.995627,0
5987,0,201,258,2015,50,148,8659,362,9021,0.0487645,0.0685449,-0.996456,0
6845,0,272,323,2339,54,170,10003,436,10439,0.0552448,0.0684324,-0.996125,0
6319,0,152,193,1545,38,114,8361,272,8633,0.0477853,0.076093,-0.995955,0
5891,0,191,241,1802,46,132,8303,327,8630,0.0481158,0.0712083,-0.9963,0
6611,0,203,257,2165,53,147,9436,361,9797,0.0501629,0.0612771,-0.996859,0
6723,0,228,391,2270,57,171,9840,406,10246,0.0469235,0.0726773,-0.996251,0
6385,0,202,258,2352,37,136,9370,272,9642,0.0547366,0.0624303,-0.996547,0
4573,0,152,196,1520,36,112,6589,274,6863,0.0470421,0.0804076,-0.995651,0
6763,0,203,268,2275,52,175,9736,363,10099,0.0466821,0.066813,-0.996673,0
6594,0,206,276,2172,55,153,9456,365,9821,0.0392969,0.0835608,-0.995728,0
6030,0,203,260,2038,55,149,8735,369,9104,0.057417,0.054246,-0.996876,0
6013,0,202,258,2030,50,163,8716,388,9104,0.0464911,0.0696171,-0.99649,0
5870,0,201,256,2004,54,145,8530,363,8893,0.0611583,0.0648635,-0.996018,0
6205,0,205,264,2128,49,154,9005,363,9368,0.0640537,0.0534563,-0.996514,0
5839,0,204,272,2032,53,148,8548,361,8909,0.0511039,0.0698085,-0.996251,0
6119,0,204,256,2122,75,154,8930,361,9291,0.057604,0.0647854,-0.996235,0
5834,0,204,260,2052,52,168,8570,399,8969,0.0523688,0.0576378,-0.996963,0
6572,0,227,289,2122,51,148,9409,384,9793,0.0453089,0.077372,-0.995972,0
6822,0,205,265,2052,49,150,9543,363,9906,0.0404342,0.0735319,-0.996473,0
5248,0,184,233,1800,49,132,7646,327,7973,0.0541193,0.0657292,-0.996369,0
6163,0,203,258,2102,55,154,8935,377,9312,0.050087,0.0695486,-0.99632,0
6803,0,228,292,2278,56,165,9822,405,10227,0.0452919,0.0662882,-0.996772,0
4996,0,152,195,1491,35,109,6978,271,7249,0.0493264,0.0741809,-0.996024,0
6715,0,227,288,2340,47,152,9769,378,10147,0.0593696,0.0649599,-0.99612,0
5842,0,203,259,1998,47,146,8495,361,8856,0.0552962,0.0703417,-0.995989,0
6805,0,228,324,2350,61,173,9941,407,10348,0.0536377,0.0711879,-0.99602,0
6150,0,222,262,1960,70,158,8822,363,9185,0.0584478,0.0484591,-0.997114,0
5917,0,202,258,2043,49,153,8622,400,9022,0.0339759,0.0976618,-0.99464,0
6665,0,202,259,1959,47,144,9276,362,9638,0.0601813,0.0603604,-0.996361,0
6678,0,230,296,2639,80,258,10181,504,10685,0.0528306,0.0607158,-0.996756,0
6602,0,228,290,2247,52,211,9630,455,10085,0.0606777,0.0501921,-0.996895,0
6594,0,201,259,1964,46,145,9209,395,9604,0.0600584,0.0646067,-0.996102,0
4211,0,140,181,1400,35,118,6085,251,6336,0.0633815,0.0597914,-0.996197,0
6563,0,227,292,2274,72,191,9619,429,10048,0.0490711,0.0776358,-0.995773,0
5904,0,204,260,2053,51,151,8623,363,8986,0.0463461,0.0655244,-0.996774,0
6796,0,242,293,2258,56,152,9797,363,10160,0.0273433,0.100534,-0.994558,0
4165,0,217,259,1505,38,106,6290,252,6542,0.0499785,0.0637801,-0.996712,0
6264,0,241,261,2122,52,153,9093,391,9484,0.0679684,0.0593859,-0.995919,0
5928,0,202,258,1986,49,147,8570,389,8959,0.0563962,0.0704626,-0.995919,0
5781,0,288,368,1961,43,162,8603,327,8930,0.059451,0.0549758,-0.996716,0
6595,0,230,288,2234,67,169,9583,408,9991,0.0480566,0.0695208,-0.996422,0
6886,0,227,339,2244,52,166,9914,429,10343,0.0450744,0.06384,-0.996942,0
5869,0,205,262,2065,50,151,8602,361,8963,0.0356921,0.0863279,-0.995627,0
6859,0,231,295,2337,51,154,9927,360,10287,0.0455078,0.0759076,-0.996076,0
6739,0,325,297,1934,40,110,9445,273,9718,0.0510832,0.068657,-0.996332,0
3761,0,114,161,1123,27,83,5269,204,5473,0.0327848,0.0891166,-0.995481,0
6801,0,283,297,2285,50,149,9865,363,10228,0.0421554,0.0765431,-0.996175,0
4377,0,151,192,1487,35,111,6353,271,6624,0.0507201,0.0703579,-0.996231,0
6121,0,202,257,2079,51,154,8864,364,9228,0.0479555,0.080535,-0.995598,0
5889,0,204,268,2186,56,153,8756,408,9164,0.0413274,0.0812688,-0.995835,0
6017,0,204,261,1988,53,147,8670,368,9038,0.0551962,0.0648775,-0.996366,0
6011,0,204,305,2034,53,181,8788,384,9172,0.0424175,0.0754351,-0.996248,0
5918,0,204,261,2038,49,152,8622,362,8984,0.0541857,0.0578351,-0.996854,0
6166,0,203,259,2029,51,168,8876,360,9236,0.0426415,0.0699159,-0.996641,0
5906,0,201,258,2004,63,187,8619,386,9005,0.0650761,0.0658837,-0.995703,0
6243,0,203,261,2024,47,148,8926,369,9295,0.0572846,0.0508595,-0.997062,0
5949,0,201,255,2025,48,152,8630,363,8993,0.051283,0.0714844,-0.996123,0
6243,0,271,262,1995,46,145,8962,361,9323,0.0658079,0.0481349,-0.996671,0
6653,0,202,259,1965,48,146,9273,393,9666,0.053982,0.0669825,-0.996293,0
