Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6135,0,371,631,15922,1016,303,24378,403,24781,-0.0102369,-0.00718517,-0.999922,0
5217,0,258,366,2286,36,144,8307,198,8505,-0.00887924,-0.00804306,-0.999928,0
2509,0,158,200,1964,31,115,4977,170,5147,-0.00986843,-0.00550427,-0.999936,0
5833,0,373,499,3995,78,273,11051,369,11420,-0.00905466,-0.00461627,-0.999948,0
6254,0,410,475,4059,80,268,11546,367,11913,-0.00858822,-0.00234858,-0.99996,0
5802,0,387,481,3997,87,268,11022,369,11391,-0.00652646,-0.00121137,-0.999978,0
5880,0,373,464,4036,106,270,11129,368,11497,-0.00883886,-0.00312391,-0.999956,0
4017,0,268,340,3016,88,208,7937,299,8236,-0.00896682,-0.00203055,-0.999958,0
6179,0,337,480,2754,46,171,9967,236,10203,-0.00871977,-0.0030964,-0.999957,0
2964,0,186,232,1961,34,131,5508,185,5693,-0.00979315,-0.00465789,-0.999941,0
5802,0,372,465,3995,71,281,10986,370,11356,-0.0105592,-0.00538449,-0.99993,0
5836,0,385,475,3949,83,265,10993,378,11371,-0.00925288,-0.00496719,-0.999945,0
5861,0,372,493,4000,68,269,11063,367,11430,-0.0105333,-0.00547606,-0.999929,0
5921,0,374,473,4116,74,272,11230,367,11597,-0.00892992,-0.00519823,-0.999947,0
5799,0,373,490,4113,68,272,11115,368,11483,-0.00971558,-0.00790672,-0.999922,0
5869,0,375,471,4023,69,268,11075,368,11443,-0.00834424,-0.00177624,-0.999964,0
5818,0,374,467,3985,90,279,11013,383,11396,-0.00833775,-0.00321933,-0.99996,0
5886,0,374,469,4087,70,271,11157,371,11528,-0.00812888,0.00176032,-0.999965,0
5802,0,373,458,4076,83,275,11067,392,11459,-0.00888665,-0.00240069,-0.999958,0
5823,0,375,475,4070,84,271,11098,370,11468,-0.00877034,-0.00104631,-0.999961,0
5775,0,372,470,3955,69,269,10910,370,11280,-0.00806574,0.000739501,-0.999967,0
5793,0,372,483,3954,73,265,10940,369,11309,-0.0071676,-0.00368274,-0.999968,0
5872,0,367,459,3907,73,264,10942,408,11350,-0.00707913,-0.00667691,-0.999953,0
5922,0,412,473,3925,73,265,11070,368,11438,-0.0111075,-0.0240209,-0.99965,0
5999,0,367,469,3575,58,186,10654,256,10910,-0.011827,-0.0397663,-0.999139,0
5890,0,369,506,3969,51,271,11056,439,11495,-0.0141356,-0.0556581,-0.99835,0
5948,0,387,482,3853,66,267,11003,374,11377,-0.0242168,-0.0994122,-0.994752,0
5350,0,253,316,2665,51,166,8801,197,8998,-0.0188911,-0.088023,-0.995939,0
2540,0,155,196,1472,25,94,4482,134,4616,-0.0119412,-0.0788254,-0.996817,0
4223,0,257,330,2710,46,186,7752,312,8064,-0.0242886,-0.0623056,-0.997761,0
6178,0,398,518,3975,64,278,11411,369,11780,-0.0309266,-0.0498861,-0.998276,0
6074,0,390,489,4139,55,295,11442,368,11810,-0.0442885,-0.039493,-0.998238,0
6044,0,399,510,4241,49,287,11530,367,11897,-0.041962,-0.0186218,-0.998946,0
6276,0,455,513,4247,59,306,11856,384,12240,-0.0520648,-0.00710102,-0.998618,0
4231,0,292,379,3065,54,210,8231,256,8487,-0.0573248,-0.022643,-0.998099,0
6232,0,468,549,4638,77,333,12297,379,12676,-0.0491044,-0.0533673,-0.997367,0
6619,0,467,569,4758,61,290,12764,269,13033,-0.0395764,-0.0799133,-0.996016,0
4344,0,338,395,3327,52,224,8680,260,8940,-0.0413326,-0.117418,-0.992222,0
6342,0,498,588,5032,63,331,12854,367,13221,-0.0237877,-0.137306,-0.990243,0
6314,0,457,617,4040,56,231,11715,259,11974,-0.0308171,-0.206986,-0.977858,0
4321,0,361,385,3299,54,219,8639,255,8894,-0.00165708,-0.19843,-0.980114,0
5346,0,357,445,4297,69,291,10805,331,11136,0.0344926,-0.27871,-0.959756,0
5751,0,354,444,3740,67,258,10614,367,10981,0.0210466,-0.422584,-0.906079,0
5666,0,317,414,3129,78,220,9824,368,10192,-0.00379674,-0.526286,-0.850299,0
3621,0,177,226,1765,38,127,5954,255,6209,-0.0341719,-0.647676,-0.761149,0
6294,0,284,414,3124,67,219,10402,431,10833,-0.069231,-0.683211,-0.726932,0
5245,0,318,359,2920,78,204,9124,-1000,-1000,-1,-1,-1,0
5244,0,278,353,2898,52,204,9029,-1000,-1000,-1,-1,-1,0
5324,0,282,356,2997,54,206,9219,-1000,-1000,-1,-1,-1,0
5348,0,339,408,3008,61,211,9375,-1000,-1000,-1,-1,-1,0
5586,0,327,361,3132,73,208,9687,-1000,-1000,-1,-1,-1,0
5788,0,295,336,2697,46,134,9296,-1000,-1000,-1,-1,-1,0
3921,0,171,219,1962,67,157,6497,-1000,-1000,-1,-1,-1,0
5613,0,227,269,2198,74,155,8536,-1000,-1000,-1,-1,-1,0
3929,0,128,164,1197,36,71,5525,-1000,-1000,-1,-1,-1,0
2898,0,77,101,815,27,58,3976,170,4146,-0.122561,0.655116,-0.745521,0
2983,0,118,161,1205,29,87,4583,197,4780,-0.084659,0.200357,-0.976058,0
6404,0,343,465,3633,64,250,11159,367,11526,-0.00885783,-0.207345,-0.978228,0
6103,0,355,435,3408,44,176,10521,271,10792,0.00768501,-0.226896,-0.973889,0
