Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6213,0,379,508,15863,1021,283,24267,409,24676,-0.0174071,0.0759563,-0.996959,0
6125,0,376,471,4023,49,272,11316,367,11683,-0.0161345,0.0741095,-0.99712,0
6597,0,410,485,4053,47,269,11861,372,12233,-0.0207764,0.0753286,-0.996942,0
6194,0,377,473,4069,47,274,11434,369,11803,-0.019459,0.0770848,-0.996835,0
6141,0,377,498,4024,45,270,11355,368,11723,-0.0166345,0.0709871,-0.997339,0
4637,0,300,541,2820,26,146,8470,198,8668,-0.0168681,0.0634242,-0.997844,0
2934,0,197,233,1986,23,130,5503,186,5689,-0.0156755,0.0656486,-0.99772,0
6162,0,419,514,4137,64,270,11566,369,11935,-0.0161925,0.0587978,-0.998139,0
5996,0,427,491,4095,53,292,11354,387,11741,-0.0138352,0.0625723,-0.997945,0
6100,0,373,481,4005,62,264,11285,431,11716,-0.0124255,0.0635966,-0.997898,0
5968,0,374,466,4090,72,305,11275,403,11678,-0.012674,0.0648155,-0.997817,0
5983,0,374,485,4048,84,270,11244,366,11610,-0.0164499,0.0674199,-0.997589,0
4157,0,262,327,2806,44,189,7785,255,8040,-0.0139795,0.0630765,-0.997911,0
6108,0,376,474,3958,85,272,11273,368,11641,-0.0150777,0.0813686,-0.99657,0
6086,0,375,539,4037,65,272,11374,386,11760,-0.0166589,0.0846341,-0.996273,0
6086,0,418,495,3755,47,219,11020,265,11285,-0.0167436,0.0865784,-0.996104,0
4185,0,262,323,2881,49,187,7887,254,8141,-0.0183537,0.0916858,-0.995619,0
6153,0,420,483,4021,63,273,11413,372,11785,-0.025207,0.103596,-0.9943,0
6045,0,379,477,4135,64,268,11368,368,11736,-0.0284916,0.102102,-0.994366,0
4200,0,276,332,2897,38,189,7932,255,8187,-0.0324961,0.111273,-0.993259,0
6340,0,436,499,4541,67,281,12164,369,12533,-0.0288331,0.112617,-0.99322,0
6104,0,280,373,2850,46,187,9840,255,10095,-0.0346528,0.120374,-0.992124,0
6831,0,369,496,3634,63,188,11581,267,11848,-0.0431134,0.135889,-0.989786,0
4256,0,252,361,2833,43,183,7928,257,8185,-0.0483002,0.143097,-0.988529,0
6114,0,330,408,3610,65,238,10765,352,11117,-0.0504952,0.15409,-0.986766,0
5457,0,329,408,4011,49,239,10493,330,10823,-0.0542929,0.172978,-0.983428,0
6052,0,373,467,3996,59,259,11206,368,11574,-0.0590403,0.179943,-0.981904,0
6120,0,445,483,4133,52,266,11499,397,11896,-0.0503952,0.194951,-0.979518,0
6734,0,387,474,2898,51,182,10726,255,10981,-0.0574921,0.198718,-0.978369,0
3883,0,265,302,2633,34,170,7287,239,7526,-0.0578835,0.210081,-0.975969,0
6766,0,362,473,3927,53,255,11836,368,12204,-0.0522323,0.243868,-0.968401,0
5968,0,374,437,3735,75,248,10837,313,11150,-0.0500491,0.244827,-0.968274,0
5220,0,309,383,3315,60,230,9517,350,9867,-0.0463722,0.28108,-0.958564,0
6542,0,337,441,3651,73,239,11283,380,11663,-0.0520337,0.308714,-0.949731,0
6246,0,324,405,3637,66,265,10943,381,11324,-0.0485888,0.343028,-0.938068,0
5977,0,349,433,3353,65,229,10406,434,10840,-0.0499647,0.386039,-0.921128,0
5711,0,301,376,3310,62,217,9977,367,10344,-0.0623458,0.422452,-0.904238,0
5697,0,287,363,3359,63,210,9979,254,10233,-0.0784714,0.444752,-0.89221,0
3717,0,342,257,2070,45,140,6571,260,6831,-0.0789653,0.45601,-0.886464,0
5251,0,261,348,2932,88,194,9074,367,9441,-0.0949624,0.531801,-0.841528,0
5330,0,256,353,2728,82,249,8998,446,9444,-0.131196,0.660689,-0.739106,0
5482,0,248,319,2584,90,181,8904,-1000,-1000,-1,-1,-1,0
3687,0,165,210,1858,55,134,6109,-1000,-1000,-1,-1,-1,0
5428,0,237,321,2419,57,173,8635,-1000,-1000,-1,-1,-1,0
5568,0,247,315,2677,43,183,9033,-1000,-1000,-1,-1,-1,0
5396,0,284,404,2680,61,189,9014,-1000,-1000,-1,-1,-1,0
3717,0,174,222,1705,46,152,6016,-1000,-1000,-1,-1,-1,0
5553,0,246,366,2419,65,181,8830,-1000,-1000,-1,-1,-1,0
5347,0,242,306,2455,61,179,8590,-1000,-1000,-1,-1,-1,0
5241,0,232,300,2494,56,176,8499,-1000,-1000,-1,-1,-1,0
5505,0,222,289,2179,57,159,8411,-1000,-1000,-1,-1,-1,0
5453,0,205,284,1970,56,150,8118,-1000,-1000,-1,-1,-1,0
5376,0,185,239,1811,47,138,7796,-1000,-1000,-1,-1,-1,0
5227,0,186,229,1826,43,137,7648,-1000,-1000,-1,-1,-1,0
5295,0,162,212,1553,43,120,7385,-1000,-1000,-1,-1,-1,0
5240,0,178,203,1521,38,113,7293,-1000,-1000,-1,-1,-1,0
5271,0,152,202,1499,38,118,7280,-1000,-1000,-1,-1,-1,0
5287,0,157,204,1528,39,122,7337,-1000,-1000,-1,-1,-1,0
5826,0,172,256,1820,40,133,8247,-1000,-1000,-1,-1,-1,0
5489,0,196,277,1937,45,165,8109,-1000,-1000,-1,-1,-1,0
5503,0,223,288,2301,48,185,8548,-1000,-1000,-1,-1,-1,0
5507,0,246,316,2430,42,180,8721,387,9108,0.00335998,-0.650157,-0.759793,0
5661,0,274,342,2837,43,202,9359,390,9749,-0.000478731,-0.581279,-0.813704,0
5634,0,292,369,3009,57,215,9576,392,9968,0.124728,-0.651925,-0.747956,0
5757,0,299,377,3150,42,217,9842,-1000,-1000,-1,-1,-1,0
6007,0,312,422,3320,67,227,10355,-1000,-1000,-1,-1,-1,0
6117,0,317,399,3421,56,233,10543,-1000,-1000,-1,-1,-1,0
4138,0,223,282,2335,27,159,7164,-1000,-1000,-1,-1,-1,0
5495,0,292,363,2947,37,205,9339,-1000,-1000,-1,-1,-1,0
5376,0,298,388,3105,39,212,9418,-1000,-1000,-1,-1,-1,0
