Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6141,0,349,449,3762,94,243,11038,403,11441,-0.0147547,0.0496671,-0.998657,0
6174,0,346,429,3532,83,246,10810,364,11174,-0.0122263,0.0466536,-0.998836,0
5981,0,365,450,3579,56,244,10675,278,10953,-0.0131298,0.0462039,-0.998846,0
6029,0,335,460,3517,72,261,10674,361,11035,-0.012706,0.0446157,-0.998923,0
6101,0,333,442,3519,55,250,10700,364,11064,-0.014538,0.0473866,-0.998771,0
6131,0,381,444,3617,64,243,10880,361,11241,-0.0141264,0.044998,-0.998887,0
6235,0,338,454,3569,57,273,10926,382,11308,-0.014477,0.044987,-0.998883,0
5870,0,357,441,3730,62,222,10682,288,10970,-0.0151804,0.0469601,-0.998781,0
4170,0,234,295,2512,35,167,7413,252,7665,-0.0167975,0.0510748,-0.998553,0
6310,0,360,515,3947,58,274,11464,390,11854,-0.0134611,0.0516631,-0.998574,0
5963,0,342,419,3545,57,240,10566,364,10930,-0.0112429,0.0495812,-0.998707,0
6288,0,336,422,3053,37,169,10305,262,10567,-0.01252,0.0458281,-0.998871,0
4258,0,231,289,3508,56,255,8597,321,8918,-0.0118371,0.0407845,-0.999098,0
6052,0,336,425,3828,63,245,10949,372,11321,-0.0131479,0.0450541,-0.998898,0
6239,0,342,428,3755,55,252,11071,368,11439,-0.0141104,0.0423544,-0.999003,0
5946,0,339,424,3671,67,245,10692,395,11087,-0.0153216,0.0446686,-0.998884,0
4178,0,234,320,2569,46,170,7517,256,7773,-0.0137719,0.0442262,-0.998927,0
6040,0,338,423,3689,67,263,10820,392,11212,-0.0148491,0.0425134,-0.998986,0
5998,0,337,434,3518,60,241,10588,367,10955,-0.0127774,0.0430545,-0.998991,0
6612,0,420,495,3679,62,249,11517,466,11983,-0.0122045,0.0436391,-0.998973,0
4231,0,258,323,2546,47,171,7576,252,7828,-0.0144091,0.0474352,-0.99877,0
6141,0,341,427,3646,55,247,10857,364,11221,-0.0130763,0.0436579,-0.998961,0
6129,0,340,424,3874,86,252,11105,363,11468,-0.0160302,0.0486395,-0.998688,0
