Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5109,0,26,98,300,73,27,5633,377,6010,-0.00422324,-0.101985,-0.994777,0
5165,0,24,51,235,67,30,5572,403,5975,-0.0211846,-0.120338,-0.992507,0
5987,0,25,51,197,54,23,6337,363,6700,-0.043878,-0.0982178,-0.994197,0
5150,0,24,54,195,56,23,5502,362,5864,-0.0536654,-0.0637552,-0.996522,0
5039,0,24,47,200,49,23,5382,387,5769,-0.0463972,-0.116848,-0.992065,0
4922,0,23,44,180,50,22,5241,360,5601,-0.0308808,-0.117091,-0.992641,0
4987,0,23,45,183,52,22,5312,389,5701,-0.0322749,-0.120971,-0.992131,0
4952,0,25,48,200,56,23,5304,364,5668,-0.0353923,-0.0862515,-0.995644,0
4943,0,23,46,214,45,25,5296,363,5659,-0.0430553,-0.115915,-0.992326,0
4898,0,23,44,180,53,22,5220,363,5583,-0.0576532,-0.114757,-0.991719,0
4935,0,24,46,190,57,23,5275,364,5639,-0.0341027,-0.117755,-0.992457,0
5160,0,23,45,180,52,22,5482,385,5867,-0.070894,-0.118543,-0.990415,0
5117,0,23,55,188,54,22,5459,387,5846,-0.0570605,-0.103209,-0.993022,0
5180,0,23,48,190,47,23,5511,363,5874,-0.0332641,-0.130661,-0.990869,0
5768,0,24,48,193,56,23,6112,376,6488,-0.0596623,-0.123135,-0.990595,0
5182,0,24,47,199,46,23,5521,362,5883,-0.0549609,-0.113015,-0.992072,0
5356,0,24,50,216,64,29,5739,379,6118,-0.0265581,-0.124508,-0.991863,0
4981,0,24,48,206,80,38,5377,493,5870,-0.0503727,-0.133408,-0.98978,0
5048,0,24,48,228,47,46,5441,365,5806,-0.0382801,-0.131293,-0.990604,0
5965,0,23,61,208,47,27,6331,362,6693,-0.0351048,-0.150284,-0.988019,0
5196,0,24,46,211,52,23,5552,363,5915,-0.0532088,-0.130167,-0.990063,0
5229,0,23,49,182,50,22,5555,364,5919,-0.0353021,-0.159389,-0.986584,0
4995,0,23,45,216,55,28,5362,372,5734,-0.042913,-0.130925,-0.990463,0
5115,0,23,61,183,51,21,5454,388,5842,-0.0290237,-0.149751,-0.988298,0
5658,0,26,51,212,58,25,6030,409,6439,-0.055353,-0.146235,-0.9877,0
5099,0,24,46,191,49,23,5432,363,5795,-0.0461694,-0.148868,-0.987779,0
