Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5902,0,207,313,2170,77,159,8828,378,9206,-0.118757,-0.059285,-0.991152,0
5676,0,209,271,2041,42,153,8392,359,8751,-0.114711,-0.0262528,-0.993052,0
5776,0,207,265,2037,46,164,8495,361,8856,-0.106418,-0.0229157,-0.994057,0
5836,0,223,264,2047,59,179,8608,365,8973,-0.110289,-0.0217258,-0.993662,0
5807,0,212,273,2078,49,153,8572,361,8933,-0.114222,-0.0140861,-0.993355,0
6126,0,275,367,2204,47,159,9178,377,9555,-0.112479,-0.0316619,-0.993149,0
5670,0,205,287,2018,48,156,8384,387,8771,-0.116413,-0.0235844,-0.992921,0
5732,0,200,256,1951,57,147,8343,363,8706,-0.111505,-0.00217196,-0.993761,0
6146,0,239,256,1922,59,145,8767,373,9140,-0.100537,0.031901,-0.994422,0
5813,0,204,265,1975,58,149,8464,361,8825,-0.0978502,0.0315007,-0.994702,0
7146,0,201,257,2016,62,149,9831,360,10191,-0.0993107,0.0296989,-0.994613,0
5795,0,203,260,1992,59,150,8459,386,8845,-0.100125,0.0240737,-0.994684,0
6327,0,205,261,2014,55,148,9010,379,9389,-0.104101,0.0232214,-0.994296,0
5963,0,202,261,1976,45,170,8617,384,9001,-0.0988521,0.0255027,-0.994775,0
5748,0,199,258,1965,48,150,8368,361,8729,-0.104742,0.0320416,-0.993983,0
5748,0,198,255,1939,53,147,8340,361,8701,-0.107307,0.0432571,-0.993284,0
6479,0,223,296,1922,66,145,9131,360,9491,-0.103323,0.0424787,-0.99374,0
5370,0,135,173,1316,38,101,7133,254,7387,-0.0992952,0.0354481,-0.994426,0
2821,0,83,106,796,22,60,3888,154,4042,-0.107537,0.0381688,-0.993468,0
3179,0,108,137,1055,29,80,4588,203,4791,-0.110426,0.0319404,-0.993371,0
6651,0,241,342,2134,57,163,9588,407,9995,-0.118865,0.0454999,-0.991867,0
6456,0,218,280,2161,57,163,9335,424,9759,-0.117051,0.0549748,-0.991603,0
7065,0,278,296,2129,75,164,10007,414,10421,-0.100268,0.0492123,-0.993743,0
5871,0,191,247,1864,62,143,8378,377,8755,-0.100814,0.0498425,-0.993656,0
6414,0,234,281,2073,53,143,9198,360,9558,-0.0960054,0.0323901,-0.994854,0
