Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5189,3877,74,464,0,911,258,10773,437,11210,-0.0229969,0.0363344,-0.999075,0
5336,3724,36,478,0,876,261,10711,724,11435,0.0181987,0.00404329,-0.999826,0
5413,4063,36,488,0,905,278,11183,748,11931,0.019529,0.00106448,-0.999809,0
5142,3714,34,532,0,905,278,10605,909,11514,0.0212721,0.000981583,-0.999773,0
5069,3647,32,439,0,814,232,10233,742,10975,0.0219537,0.000919525,-0.999758,0
5080,3593,36,439,0,784,224,10156,726,10882,0.0223894,-0.000258232,-0.999749,0
4612,3318,35,437,0,785,222,9409,688,10097,0.0217553,-0.000254519,-0.999763,0
5098,3168,37,474,0,762,210,9749,719,10468,0.0227144,0.00236743,-0.999739,0
4230,2860,28,382,0,683,248,8431,659,9090,0.0216469,0.000713399,-0.999765,0
5120,3543,42,471,0,811,243,10230,734,10964,0.0221454,0.00879796,-0.999716,0
5422,3517,43,431,0,842,247,10502,729,11231,0.0201309,0.0104385,-0.999743,0
5370,3633,40,444,0,819,265,10571,713,11284,0.0200329,0.00771998,-0.99977,0
5184,3747,48,421,0,981,253,10634,788,11422,0.0209404,0.00893765,-0.999741,0
5263,3722,36,456,0,825,263,10565,731,11296,0.017764,0.0112562,-0.999779,0
3841,2509,22,320,0,617,205,7514,512,8026,0.020506,0.0112681,-0.999726,0
5212,3584,36,455,0,809,229,10325,769,11094,0.0189602,0.0117863,-0.999751,0
5245,3478,48,452,0,983,251,10457,773,11230,0.0156765,0.00934044,-0.999834,0
5492,3685,43,455,0,982,235,10892,876,11768,0.0209909,0.0121348,-0.999706,0
2269,1356,16,173,0,310,82,4206,250,4456,0.0198285,0.0109362,-0.999744,0
4298,2985,29,334,0,694,274,8614,587,9201,0.0209895,0.0113428,-0.999715,0
5013,2893,27,369,0,754,189,9245,595,9840,0.0202677,0.0103927,-0.999741,0
2994,1657,17,194,0,395,108,5365,332,5697,0.021657,0.00848805,-0.999729,0
2425,1585,15,215,0,380,106,4726,327,5053,0.0202811,0.00885128,-0.999755,0
5638,3539,36,420,0,899,282,10814,754,11568,0.019254,0.00941674,-0.99977,0
5405,3565,35,466,0,865,265,10601,749,11350,0.021096,0.00909804,-0.999736,0
