Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4966,3393,8170,425,0,760,214,17928,165,18093,-0.0321093,0.109998,-0.993413,0
4680,3292,41,487,0,758,221,9479,163,9642,-0.0386614,0.0465765,-0.998166,0
4648,3274,34,382,0,752,213,9303,328,9631,-0.0374828,0.0703156,-0.99682,0
4711,3370,35,396,0,752,209,9473,124,9597,-0.0435118,0.0306883,-0.998581,0
4756,3272,36,380,0,751,210,9405,322,9727,-0.0344232,0.0667814,-0.997174,0
4766,3502,34,402,0,781,220,9705,112,9817,-0.0633801,0.0281985,-0.997591,0
4697,3239,42,382,0,803,222,9385,315,9700,-0.0306546,0.0696212,-0.997102,0
4731,3238,34,402,0,771,213,9389,135,9524,-0.0337531,0.0284215,-0.999026,0
4751,3300,36,385,0,759,213,9444,345,9789,-0.0328902,0.0732537,-0.996771,0
4829,3338,34,429,0,789,214,9633,122,9755,-0.0443323,0.0185882,-0.998844,0
4707,3219,34,389,0,753,211,9313,317,9630,-0.0414606,0.0721478,-0.996532,0
4770,3454,44,595,0,983,239,10085,133,10218,-0.0429718,0.038628,-0.998329,0
4748,3212,33,380,0,743,208,9324,313,9637,-0.0368851,0.0735618,-0.996608,0
4733,4029,43,503,0,757,214,10279,201,10480,-0.0153328,0.0511208,-0.998575,0
4770,3291,34,386,0,750,208,9439,122,9561,-0.0469763,0.00796721,-0.998864,0
4669,3280,40,410,0,780,215,9394,326,9720,-0.0397418,0.0681344,-0.996884,0
4158,2253,24,266,0,537,146,7384,77,7461,-0.0631013,0.0250245,-0.997693,0
4768,3331,36,386,0,755,212,9488,343,9831,-0.0316054,0.0716162,-0.996931,0
5740,3326,35,457,0,759,217,10534,125,10659,-0.0411741,0.0431501,-0.99822,0
4627,3223,34,426,0,788,217,9315,316,9631,-0.0370656,0.0708876,-0.996795,0
4844,3228,33,382,0,752,210,9449,117,9566,-0.0560499,0.0203902,-0.99822,0
4624,3208,36,401,0,830,247,9346,306,9652,-0.0261364,0.0759932,-0.996766,0
3904,2364,23,261,0,509,109,7170,73,7243,-0.0158066,0.0552875,-0.998345,0
2480,1708,18,199,0,399,110,4914,63,4977,-0.0164512,0.0528141,-0.998469,0
4883,3341,34,377,0,749,207,9591,114,9705,-0.0443245,0.0195683,-0.998826,0
4913,3331,33,383,0,788,220,9668,325,9993,-0.0331158,0.0735948,-0.996738,0
