Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
16572,2535,2065,304,0,595,148,22219,383,22602,0.00453114,-0.0491827,-0.99878,0
5839,2081,29,264,0,593,147,8953,380,9333,-0.00639459,-0.00658386,-0.999958,0
6325,2085,32,330,0,586,150,9508,376,9884,-0.013012,0.0170412,-0.99977,0
5886,2109,27,262,0,582,144,9010,359,9369,-0.0143047,0.0212767,-0.999671,0
6051,2043,30,271,0,582,146,9123,365,9488,-0.0123428,0.0212476,-0.999698,0
6045,2067,30,312,0,636,149,9239,373,9612,-0.0114458,0.0246056,-0.999632,0
4153,1410,21,193,0,418,103,6298,265,6563,-0.0114131,0.0215881,-0.999702,0
6238,2076,28,318,0,619,153,9432,372,9804,-0.0112836,0.0239978,-0.999648,0
5825,2021,28,260,0,586,145,8865,395,9260,-0.0114458,0.023588,-0.999656,0
5954,2153,29,264,0,590,146,9136,378,9514,-0.0106459,0.0217628,-0.999706,0
5883,2452,31,277,0,581,150,9374,397,9771,-0.0133709,0.0250631,-0.999596,0
6141,2165,29,264,0,591,149,9339,371,9710,-0.0133629,0.0239392,-0.999624,0
5963,2091,29,265,0,588,147,9083,359,9442,-0.0133387,0.0263848,-0.999563,0
2903,865,12,111,0,249,84,4224,156,4380,-0.0133191,0.0253218,-0.999591,0
2751,970,13,124,0,278,69,4205,175,4380,-0.0125341,0.026553,-0.999569,0
5966,2059,28,264,0,589,148,9054,387,9441,-0.0118353,0.0265351,-0.999578,0
5878,2057,28,265,0,589,147,8964,369,9333,-0.0131553,0.025275,-0.999594,0
6325,2152,45,270,0,593,148,9533,373,9906,-0.0133822,0.0224605,-0.999658,0
5966,2046,29,263,0,613,150,9067,376,9443,-0.0118684,0.0230185,-0.999665,0
6371,2061,28,265,0,586,147,9458,385,9843,-0.0107238,0.0244238,-0.999644,0
6440,2050,29,277,0,580,146,9522,363,9885,-0.0119237,0.0235519,-0.999651,0
5916,2006,27,261,0,588,146,8944,364,9308,-0.0121415,0.0243841,-0.999629,0
6099,2041,36,261,0,622,150,9209,369,9578,-0.0135143,0.0255538,-0.999582,0
5935,2321,31,280,0,609,147,9323,358,9681,-0.0104363,0.026043,-0.999606,0
6240,2072,29,273,0,585,146,9345,363,9708,-0.00991395,0.0250654,-0.999637,0
6688,2054,27,267,0,589,147,9772,364,10136,-0.0108048,0.0256312,-0.999613,0
5828,2008,28,259,0,582,146,8851,391,9242,-0.0118245,0.0261531,-0.999588,0
6752,2185,29,272,0,597,148,9983,393,10376,-0.0115705,0.0247328,-0.999627,0
5846,2049,28,262,0,582,146,8913,394,9307,-0.0130514,0.0266402,-0.99956,0
