Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5882,4101,115,507,0,1045,278,11928,330,12258,0.0193485,0.168565,-0.985501,0
5867,4020,33,483,0,1036,275,11714,535,12249,0.00491892,0.0407598,-0.999157,0
5995,4177,37,528,0,720,200,11657,432,12089,0.00150844,0.0279544,-0.999608,0
4107,2865,40,353,0,706,184,8255,351,8606,0.000476598,0.0268908,-0.999638,0
5280,4264,32,455,0,974,244,11249,492,11741,-0.000229113,0.0252726,-0.999681,0
5149,3629,28,437,0,922,240,10405,499,10904,-0.000667703,0.0238805,-0.999715,0
3736,2591,20,307,0,681,174,7509,322,7831,-0.00129396,0.0230665,-0.999733,0
4820,3271,27,386,0,892,221,9617,414,10031,-0.00191204,0.0221401,-0.999753,0
4862,3391,25,387,0,900,234,9799,418,10217,-0.00308317,0.021318,-0.999768,0
4874,3362,26,416,0,865,220,9763,405,10168,-0.00422177,0.0208651,-0.999773,0
5874,4060,31,479,0,1089,277,11810,491,12301,-0.0053213,0.0205578,-0.999775,0
5899,4028,32,470,0,1045,270,11744,490,12234,-0.00598858,0.0209108,-0.999763,0
4177,2909,27,358,0,774,187,8432,336,8768,-0.00591482,0.021327,-0.999755,0
5243,3691,30,429,0,1009,260,10662,449,11111,-0.00624536,0.0215167,-0.999749,0
5487,3805,29,434,0,975,261,10991,473,11464,-0.00502066,0.0221268,-0.999743,0
5392,3744,30,461,0,922,242,10791,472,11263,-0.00342504,0.0228045,-0.999734,0
5413,3776,28,435,0,955,245,10852,474,11326,-0.00317355,0.024164,-0.999703,0
5767,3639,28,422,0,1116,259,11231,509,11740,-0.00245181,0.0250729,-0.999683,0
5812,4135,34,495,0,958,185,11619,349,11968,-0.00227687,0.0249233,-0.999687,0
5235,3653,28,422,0,919,240,10497,452,10949,-0.00175144,0.024519,-0.999698,0
5779,4075,32,478,0,1073,269,11706,520,12226,-0.000362914,0.0220303,-0.999757,0
5797,3921,31,470,0,1081,259,11559,504,12063,-0.00148778,0.0169818,-0.999855,0
5913,3959,38,489,0,1135,272,11806,442,12248,-0.00514889,0.00219454,-0.999984,0
5910,3911,32,461,0,1005,262,11581,375,11956,-0.0109423,-0.018219,-0.999774,0
5900,3894,32,502,0,1122,263,11713,403,12116,-0.0144769,-0.0255421,-0.999569,0
5951,3937,30,479,0,991,286,11674,367,12041,-0.0167584,-0.0546216,-0.998367,0
4429,2377,17,245,0,541,139,7748,191,7939,-0.0116766,-0.0405075,-0.999111,0
2550,1709,14,198,0,420,111,5002,153,5155,-0.0104093,-0.0153586,-0.999828,0
5339,3540,30,422,0,901,238,10470,360,10830,-0.0180159,-0.00422924,-0.999829,0
6090,4019,31,478,0,1036,268,11922,366,12288,-0.0193926,0.0117104,-0.999743,0
6073,4155,31,515,0,1056,280,12110,425,12535,-0.0319727,0.0303597,-0.999027,0
6091,4331,31,543,0,1144,291,12431,421,12852,-0.0425583,0.0461476,-0.998028,0
6239,4504,37,461,0,784,204,12229,364,12593,-0.0462728,0.0499423,-0.99768,0
5501,4060,31,489,0,1045,279,11405,471,11876,-0.0374611,0.0308767,-0.998821,0
5486,4218,30,510,0,1052,276,11572,425,11997,-0.0272276,0.00124798,-0.999628,0
5458,4007,31,480,0,980,256,11212,366,11578,-0.0212858,-0.0322092,-0.999254,0
6426,4891,33,620,0,1253,326,13549,472,14021,0.00348951,-0.0517378,-0.998655,0
6381,5440,37,613,0,1254,351,14076,518,14594,0.0198074,-0.0523281,-0.998433,0
6417,4429,24,407,0,887,228,12392,385,12777,0.0273166,-0.0610501,-0.997761,0
3289,2616,21,310,0,639,169,7044,302,7346,0.0330486,-0.0481137,-0.998295,0
6217,4451,36,507,0,1176,285,12672,479,13151,0.043181,-0.0844212,-0.995494,0
5715,3779,30,448,0,958,255,11185,373,11558,0.0470019,-0.0917519,-0.994672,0
3836,2240,26,290,0,591,150,7133,239,7372,0.0256173,-0.0953042,-0.995119,0
5197,2582,43,334,0,689,182,9027,293,9320,-0.000348484,-0.130318,-0.991472,0
5400,3032,31,418,0,806,210,9897,332,10229,0.00312151,-0.134036,-0.990972,0
5313,2979,30,364,0,775,204,9665,363,10028,-0.00824853,-0.133794,-0.990975,0
5226,2848,28,368,0,760,201,9431,489,9920,-0.00825506,-0.112182,-0.993653,0
5352,3048,27,360,0,827,196,9810,523,10333,-0.00708475,-0.151414,-0.988445,0
5235,3049,29,365,0,778,206,9662,550,10212,-0.00900742,-0.130433,-0.991416,0
