Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
14572,327,2600,93,0,79,23,17694,326,18020,-0.064322,-0.0762246,-0.995014,0
5025,236,31,53,0,75,23,5443,498,5941,-0.0435747,-0.169611,-0.984547,0
5085,220,30,49,0,75,38,5497,102,5599,-0.362866,-0.114693,-0.924756,0
4938,220,31,48,0,78,23,5338,175,5513,-0.316567,-0.143057,-0.937721,0
5127,231,28,49,0,73,21,5529,210,5739,-0.304458,-0.208635,-0.929396,0
5053,209,28,50,0,74,22,5436,228,5664,-0.27662,-0.1877,-0.94247,0
4956,229,29,50,0,80,22,5366,196,5562,-0.264099,-0.255439,-0.930055,0
5119,216,28,51,0,77,21,5512,244,5756,-0.212836,-0.249931,-0.944582,0
5006,212,35,50,0,74,20,5397,224,5621,-0.198203,-0.228535,-0.953146,0
5057,221,27,63,0,75,21,5464,186,5650,-0.223978,-0.245308,-0.943217,0
5033,204,28,48,0,75,22,5410,245,5655,-0.196858,-0.239446,-0.950743,0
5013,242,29,50,0,73,21,5428,202,5630,-0.229314,-0.213848,-0.94957,0
5109,216,29,50,0,74,21,5499,216,5715,-0.246642,-0.271951,-0.930167,0
5079,223,31,49,0,78,21,5481,245,5726,-0.229523,-0.252516,-0.939976,0
5030,227,29,64,0,78,23,5451,223,5674,-0.182445,-0.239572,-0.953582,0
5041,229,29,52,0,86,29,5466,214,5680,-0.21056,-0.253667,-0.944096,0
5087,215,28,49,0,77,21,5477,254,5731,-0.21662,-0.226247,-0.949678,0
5186,226,29,50,0,75,21,5587,198,5785,-0.244109,-0.280139,-0.928404,0
4953,215,36,50,0,96,35,5385,235,5620,-0.215725,-0.251579,-0.943489,0
5837,217,29,49,0,77,21,6230,242,6472,-0.229977,-0.217567,-0.948565,0
5053,208,27,51,0,72,21,5432,179,5611,-0.249219,-0.306893,-0.918535,0
5044,246,35,64,0,77,23,5489,259,5748,-0.26676,-0.21733,-0.938939,0
5072,225,28,49,0,73,21,5468,231,5699,-0.259463,-0.212563,-0.94207,0
5092,212,28,51,0,74,20,5477,201,5678,-0.243862,-0.213211,-0.946083,0
5323,219,29,51,0,75,20,5717,210,5927,-0.265871,-0.287984,-0.919988,0
5116,214,29,50,0,73,21,5503,222,5725,-0.224001,-0.247074,-0.94275,0
5462,222,28,52,0,76,22,5862,245,6107,-0.207761,-0.232516,-0.950143,0
5937,212,29,50,0,74,20,6322,201,6523,-0.205952,-0.24775,-0.94668,0
5007,209,30,70,0,74,23,5413,215,5628,-0.216488,-0.212157,-0.952955,0
5251,211,29,53,0,75,21,5640,184,5824,-0.238464,-0.245131,-0.939705,0
5101,244,29,48,0,77,22,5521,232,5753,-0.224005,-0.222056,-0.948954,0
5887,247,33,56,0,85,23,6331,230,6561,-0.246324,-0.233538,-0.94063,0
6964,234,34,54,0,85,22,7393,279,7672,-0.213833,-0.203828,-0.955369,0
5051,210,29,50,0,73,21,5434,168,5602,-0.230245,-0.256948,-0.938597,0
5026,218,29,47,0,75,21,5416,237,5653,-0.193851,-0.244935,-0.949962,0
4959,216,29,47,0,73,20,5344,197,5541,-0.252415,-0.191432,-0.948494,0
5531,236,32,51,0,81,23,5954,210,6164,-0.24614,-0.241374,-0.938698,0
5364,211,29,48,0,78,21,5751,240,5991,-0.255226,-0.195666,-0.946876,0
3356,142,21,31,0,48,16,3614,132,3746,-0.267097,-0.243059,-0.932514,0
2635,111,16,24,0,39,11,2836,132,2968,-0.222806,-0.231913,-0.946876,0
5090,209,29,44,0,71,20,5463,199,5662,-0.22912,-0.218971,-0.948449,0
5856,218,29,64,0,76,20,6263,201,6464,-0.235692,-0.298285,-0.924919,0
5078,206,29,47,0,73,20,5453,242,5695,-0.202852,-0.258652,-0.944431,0
6581,237,33,55,0,81,23,7010,259,7269,-0.20324,-0.218164,-0.954514,0
6399,305,42,75,0,126,42,6989,257,7246,-0.236913,-0.253794,-0.937796,0
5488,276,33,54,0,80,23,5954,262,6216,-0.229203,-0.22956,-0.945922,0
5628,238,33,53,0,82,23,6057,246,6303,-0.256076,-0.186666,-0.948462,0
