Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6648,2428,65,292,0,578,152,10163,287,10450,-0.0602752,-0.0766508,-0.995234,0
6752,2141,33,291,0,601,153,9971,310,10281,-0.0392443,-0.0316039,-0.99873,0
5834,2145,25,274,0,572,152,9002,271,9273,-0.0140661,0.00965612,-0.999854,0
5947,2050,27,270,0,606,155,9055,380,9435,-0.00307588,0.0218657,-0.999756,0
5768,2030,26,265,0,596,168,8853,355,9208,-0.00369124,0.0247317,-0.999687,0
5364,1924,24,249,0,515,138,8214,257,8471,-0.00407602,0.0244952,-0.999692,0
5820,1869,24,289,0,509,139,8650,264,8914,-0.00402979,0.0242155,-0.999699,0
6384,2240,30,288,0,562,149,9653,298,9951,-0.0045986,0.0247811,-0.999682,0
5793,1961,28,257,0,551,148,8738,291,9029,-0.00436128,0.0229126,-0.999728,0
7083,2373,42,334,0,916,228,10976,329,11305,-0.00509094,0.0247279,-0.999681,0
5917,1957,27,261,0,586,150,8898,333,9231,-0.00384392,0.0252497,-0.999674,0
6674,2249,37,294,0,618,166,10038,425,10463,-0.00347774,0.0262216,-0.99965,0
6407,2267,26,261,0,553,148,9662,295,9957,-0.00322737,0.0273557,-0.99962,0
5907,2099,27,265,0,566,149,9013,308,9321,-0.00308541,0.0249236,-0.999685,0
6441,2255,29,293,0,619,166,9803,344,10147,-0.00317667,0.0203365,-0.999788,0
6143,1971,27,269,0,558,147,9115,278,9393,-0.00247862,0.0231939,-0.999728,0
6649,2224,29,295,0,608,163,9968,321,10289,-0.00389947,0.0236671,-0.999712,0
6590,2156,31,289,0,619,163,9848,318,10166,-0.00486632,0.028277,-0.999588,0
4166,1100,19,177,0,368,83,5913,171,6084,-0.00853872,0.0314266,-0.99947,0
2758,844,12,114,0,236,63,4027,136,4163,-0.0104675,0.0324977,-0.999417,0
2823,981,20,125,0,260,69,4278,143,4421,-0.00995144,0.0329278,-0.999408,0
6859,2182,28,291,0,589,159,10108,313,10421,-0.0107053,0.0333836,-0.999385,0
6337,2118,30,283,0,583,157,9508,300,9808,-0.0123357,0.0321726,-0.999406,0
5902,2054,50,274,0,533,143,8956,299,9255,-0.0114368,0.0316686,-0.999433,0
5859,1861,30,247,0,514,138,8649,262,8911,-0.0109653,0.0318367,-0.999433,0
6614,2188,52,285,0,623,162,9924,311,10235,-0.0123727,0.0324749,-0.999396,0
6560,2189,33,279,0,600,130,9791,202,9993,-0.00975952,0.0382437,-0.999221,0
5658,1804,28,240,0,514,135,8379,260,8639,-0.00948672,0.0412868,-0.999102,0
6691,2009,32,272,0,548,149,9701,264,9965,-0.00802601,0.0448815,-0.99896,0
7149,2097,31,280,0,551,153,10261,263,10524,-0.00703373,0.0435097,-0.999028,0
6300,1995,33,270,0,552,150,9300,251,9551,-0.00690063,0.0418352,-0.999101,0
7563,2058,31,272,0,574,150,10648,261,10909,-0.00510169,0.0423784,-0.999089,0
6301,2025,55,271,0,553,151,9356,259,9615,-0.00566312,0.0431865,-0.999051,0
6416,1790,29,254,0,496,134,9119,234,9353,-0.00648382,0.0380552,-0.999255,0
6271,1883,39,248,0,492,133,9066,228,9294,-0.00561146,0.0413649,-0.999128,0
6330,2050,33,323,0,563,153,9452,263,9715,-0.00357344,0.0423224,-0.999098,0
6690,2063,31,275,0,562,155,9776,267,10043,-0.00526078,0.0403131,-0.999173,0
6337,2020,33,271,0,559,154,9374,257,9631,-0.00942784,0.0396446,-0.999169,0
5341,1372,21,182,0,374,100,7390,185,7575,-0.0100059,0.037971,-0.999229,0
2763,691,12,93,0,188,50,3797,90,3887,-0.011081,0.0362177,-0.999282,0
1820,578,10,77,0,157,42,2684,78,2762,-0.0105873,0.0362287,-0.999287,0
6713,2015,30,290,0,554,150,9752,255,10007,-0.00749433,0.0438404,-0.99901,0
6394,2021,32,268,0,553,150,9418,255,9673,-0.00843248,0.0388715,-0.999209,0
6756,2041,33,298,0,555,153,9836,257,10093,-0.0058982,0.0481824,-0.998821,0
6833,2209,36,282,0,586,154,10100,199,10299,-0.000933672,0.0553363,-0.998467,0
4300,1355,22,184,0,375,101,6337,171,6508,0.00253856,0.0601039,-0.998189,0
6649,2075,34,282,0,610,159,9809,310,10119,-0.00716379,0.0372655,-0.99928,0
6523,2141,35,311,0,602,173,9785,492,10277,-0.00976747,0.0141035,-0.999853,0
4398,1485,24,196,0,524,114,6741,314,7055,-0.006064,0.0191581,-0.999798,0
6855,2769,43,385,0,637,175,10864,610,11474,-0.00663126,0.0287332,-0.999565,0
6728,2275,33,304,0,653,174,10167,641,10808,-0.012098,0.0312488,-0.999438,0
7050,2349,33,317,0,687,192,10628,793,11421,-0.0173453,0.0194829,-0.99966,0
6705,2508,34,326,0,708,182,10463,863,11326,-0.0233435,0.00863242,-0.99969,0
7906,2454,32,319,0,726,181,11618,911,12529,-0.0304354,-0.0014287,-0.999536,0
7551,2476,33,329,0,740,189,11318,956,12274,-0.0265081,-0.00439042,-0.999639,0
4460,1640,20,216,0,482,124,6942,605,7547,-0.0192075,4.19935e-05,-0.999815,0
7682,2521,31,328,0,773,187,11522,912,12434,-0.0177544,0.0102579,-0.99979,0
6694,2636,31,329,0,724,186,10600,884,11484,-0.036966,0.0142065,-0.999216,0
4873,1831,22,218,0,477,123,7544,571,8115,-0.0362141,0.00740501,-0.999317,0
7213,2137,25,290,0,622,160,10447,731,11178,-0.0224667,0.00683606,-0.999724,0
5995,2164,28,280,0,609,157,9233,617,9850,-0.0133151,0.021977,-0.99967,0
6875,2208,29,285,0,588,154,10139,519,10658,-0.0107994,0.0256066,-0.999614,0
6038,2034,30,263,0,566,149,9080,441,9521,-0.00457778,0.033791,-0.999418,0
6091,2104,31,266,0,551,147,9190,433,9623,-0.0080233,0.0451879,-0.998946,0
6072,1965,29,257,0,543,144,9010,380,9390,-0.0183699,0.0510615,-0.998527,0
2956,873,12,106,0,222,59,4228,155,4383,-0.016252,0.0507042,-0.998581,0
6126,1869,30,247,0,517,148,8937,350,9287,-0.00996352,0.0512354,-0.998637,0
5877,1231,21,172,0,351,92,7744,285,8029,-0.00267325,0.0499352,-0.998749,0
5694,1760,28,236,0,493,130,8341,330,8671,0.00440265,0.062025,-0.998065,0
5525,1735,41,160,0,339,91,7891,216,8107,0.00718523,0.0613586,-0.99809,0
3802,1161,35,168,0,335,89,5590,231,5821,0.0137097,0.0616835,-0.998002,0
5754,1652,34,241,0,463,125,8269,288,8557,0.0159556,0.0565213,-0.998274,0
5545,1639,31,284,0,454,121,8074,283,8357,0.0182696,0.0557376,-0.998278,0
5920,1573,28,217,0,450,118,8306,317,8623,0.02266,0.0533617,-0.998318,0
5597,1611,29,219,0,450,119,8025,286,8311,0.0216159,0.0484686,-0.998591,0
5555,1566,29,215,0,446,118,7929,279,8208,0.0186441,0.045271,-0.998801,0
5705,1594,27,217,0,451,118,8112,275,8387,0.0219756,0.0491656,-0.998549,0
5586,1554,29,277,0,464,123,8033,261,8294,0.021158,0.0511576,-0.998466,0
5565,1564,28,215,0,448,118,7938,289,8227,0.0187537,0.0417769,-0.998951,0
5770,1578,30,268,0,481,127,8254,273,8527,0.0170897,0.0382098,-0.999124,0
5663,1583,29,217,0,456,121,8069,285,8354,0.0187393,0.0389315,-0.999066,0
