Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5950,4350,93,474,3697,56,253,14873,394,15267,0.0176604,0.0535982,-0.998406,0
4094,2685,24,311,2578,34,179,9905,345,10250,0.0195588,0.0481673,-0.998648,0
3512,2606,24,304,2498,46,169,9159,318,9477,0.0172659,0.0491822,-0.998641,0
5150,3721,36,456,3653,50,239,13305,471,13776,0.0209704,0.0387438,-0.999029,0
5164,3600,35,469,3396,49,240,12953,368,13321,0.0256727,0.0424101,-0.99877,0
3265,1811,18,253,1798,24,140,7309,250,7559,0.0244354,0.0380848,-0.998976,0
5446,3580,34,435,3457,50,176,13178,360,13538,0.0254753,0.0389419,-0.998917,0
3905,2485,23,321,2438,32,186,9390,318,9708,0.0266175,0.039836,-0.998852,0
4648,3268,29,412,3064,42,206,11669,351,12020,0.0266616,0.0443902,-0.998658,0
3741,2257,22,262,2162,30,145,8619,282,8901,0.0262898,0.0413392,-0.998799,0
1743,1203,13,139,1188,22,86,4394,149,4543,0.0231451,0.0540697,-0.998269,0
2930,2123,20,254,2068,28,139,7562,262,7824,0.0189207,0.0550165,-0.998306,0
3276,2204,21,315,2131,28,139,8114,289,8403,0.0179062,0.0610665,-0.997973,0
5215,3646,35,469,3756,72,251,13444,477,13921,0.018615,0.065588,-0.997673,0
5379,3526,47,420,3293,53,165,12883,300,13183,0.0167237,0.0665435,-0.997643,0
3634,2434,27,295,2359,49,167,8965,298,9263,0.01894,0.0656031,-0.997666,0
5259,3574,41,419,3436,72,239,13040,436,13476,0.0208428,0.0659756,-0.997603,0
5390,3652,43,422,2744,47,166,12464,334,12798,0.0169213,0.0672365,-0.997594,0
2737,1821,18,217,1832,25,119,6769,226,6995,0.0192613,0.072916,-0.997152,0
5260,3506,34,540,3433,47,258,13078,438,13516,0.0177945,0.0723471,-0.997221,0
5455,3508,36,472,3430,67,230,13198,449,13647,0.0223895,0.0664786,-0.997537,0
3640,2058,25,231,1791,33,127,7905,233,8138,0.0194156,0.0675012,-0.99753,0
2742,1833,22,179,1510,31,98,6415,185,6600,0.0220087,0.0647516,-0.997659,0
2917,1998,19,254,1922,24,148,7282,253,7535,0.0210038,0.0656032,-0.997625,0
5431,3564,47,426,3507,66,248,13289,444,13733,0.0206163,0.0688017,-0.997417,0
5304,3522,47,435,3539,74,241,13162,444,13606,0.021935,0.0668153,-0.997524,0
5478,3657,43,466,3565,45,260,13514,484,13998,0.0194315,0.0647532,-0.997712,0
5722,3581,33,478,3648,75,330,13867,481,14348,0.0247929,0.0627472,-0.997721,0
3844,1958,17,250,1900,24,143,8136,243,8379,0.023724,0.0659724,-0.997539,0
2316,1496,15,198,1295,17,94,5431,166,5597,0.0226159,0.0614579,-0.997853,0
2919,1934,20,226,1986,39,127,7251,249,7500,0.0253404,0.0636981,-0.997647,0
5421,3482,34,483,3623,60,258,13361,505,13866,0.0200388,0.0657547,-0.997635,0
5251,3569,34,500,2546,59,216,12175,385,12560,0.0236559,0.0649072,-0.997611,0
2837,1844,17,218,1822,37,123,6898,237,7135,0.0201389,0.0703624,-0.997318,0
5255,3507,36,409,3482,46,235,12970,425,13395,0.0181936,0.0716566,-0.997263,0
5770,3565,34,459,3531,69,230,13658,485,14143,0.0205152,0.0725948,-0.99715,0
3635,2461,24,379,2397,51,168,9115,382,9497,0.0185158,0.0704046,-0.997347,0
5385,3544,35,510,3482,47,255,13258,471,13729,0.0190994,0.067418,-0.997542,0
5284,3572,35,455,3503,70,236,13155,474,13629,0.0197991,0.0652899,-0.99767,0
4829,2471,23,278,1991,26,120,9738,229,9967,0.0183761,0.0681814,-0.997504,0
2248,1523,13,146,1244,16,81,5271,176,5447,0.0193658,0.0683539,-0.997473,0
5418,3526,39,478,3475,65,273,13274,434,13708,0.0146903,0.0730469,-0.99722,0
