Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4840,3468,79,416,3206,47,217,12273,384,12657,-0.0238148,0.0667746,-0.997484,0
4682,3265,36,388,3263,35,220,11889,437,12326,-0.0302894,0.06904,-0.997154,0
4684,3311,32,402,3211,35,238,11913,362,12275,-0.0114691,0.0549749,-0.998422,0
4719,3346,35,393,3243,38,217,11991,362,12353,-0.0153964,0.0584974,-0.998169,0
4413,2991,33,381,2907,31,193,10949,341,11290,-0.0172609,0.0640867,-0.997795,0
5176,3318,34,387,3257,37,219,12428,365,12793,-0.0235433,0.0694226,-0.997309,0
5014,3224,33,410,3135,33,215,12064,387,12451,-0.0250832,0.0697583,-0.997249,0
3858,2378,24,302,1923,28,176,8689,246,8935,-0.0228923,0.0723463,-0.997117,0
2416,1590,18,195,1597,17,108,5941,182,6123,-0.0265265,0.0726034,-0.997008,0
4783,3321,34,398,3288,35,218,12077,362,12439,-0.01602,0.0573202,-0.998227,0
4670,3217,40,380,3219,34,216,11776,369,12145,-0.0291213,0.0704258,-0.997092,0
4773,3343,34,385,3258,35,217,12045,362,12407,-0.0202317,0.0566889,-0.998187,0
4655,3210,32,381,3320,49,282,11929,448,12377,-0.0288739,0.0636116,-0.997557,0
4677,3326,35,392,3192,34,216,11872,380,12252,-0.0198365,0.0682977,-0.997468,0
5715,3913,38,452,3259,36,217,13630,382,14012,-0.0290053,0.0618465,-0.997664,0
5055,3615,35,383,2263,24,149,11524,250,11774,-0.0222065,0.0802907,-0.996524,0
2808,1459,15,166,1365,14,91,5918,156,6074,-0.014788,0.0554275,-0.998353,0
2657,1880,19,217,1820,19,123,6735,211,6946,-0.027464,0.0709413,-0.997102,0
4669,3304,35,386,3138,33,242,11807,362,12169,-0.0179424,0.0596533,-0.998058,0
4643,3275,68,393,3165,34,214,11792,406,12198,-0.0275247,0.0691483,-0.997227,0
4937,3494,34,389,3186,34,215,12289,391,12680,-0.0247942,0.0581098,-0.998002,0
5040,3333,34,440,3235,36,169,12287,251,12538,-0.0219907,0.0689166,-0.99738,0
2533,1741,17,230,1370,15,92,5998,162,6160,-0.0132772,0.0591816,-0.998159,0
1694,1226,13,138,1159,12,78,4320,131,4451,-0.0128213,0.050658,-0.998634,0
4940,3321,34,412,3214,45,222,12188,392,12580,-0.0254489,0.0698346,-0.997234,0
4858,3519,33,383,3252,36,219,12300,358,12658,-0.0250523,0.0730003,-0.997017,0
3224,2199,24,261,2233,25,150,8116,250,8366,-0.00596466,0.0590342,-0.998238,0
4829,3438,34,387,3230,45,231,12194,398,12592,-0.0238698,0.0682075,-0.997386,0
4662,3281,34,385,3162,32,213,11769,361,12130,-0.0160229,0.0603081,-0.998051,0
4902,3287,39,422,3453,36,266,12405,362,12767,-0.0190235,0.0638186,-0.99778,0
3261,2338,23,266,2250,28,151,8317,278,8595,-0.0193217,0.0571331,-0.99818,0
4840,3567,33,420,3280,34,217,12391,366,12757,-0.0239884,0.0752562,-0.996876,0
4747,3256,35,386,3179,38,225,11866,362,12228,-0.0252085,0.0722194,-0.99707,0
