Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
9869,2117,60,205,1441,44,124,13860,254,14114,0.0818436,0.0737034,-0.993916,0
3136,1082,15,139,1040,24,77,5513,192,5705,0.0548403,0.0594382,-0.996724,0
7443,2051,28,265,1987,50,148,11972,363,12335,0.0451591,0.0636943,-0.996947,0
5952,2483,31,267,2193,49,154,11129,371,11500,0.0471654,0.0642064,-0.996821,0
5970,2019,27,261,1939,36,103,10355,249,10604,0.0481937,0.0771895,-0.995851,0
4040,1458,20,182,1346,29,101,7176,251,7427,0.0422451,0.0799613,-0.995902,0
5931,2041,30,263,2029,46,150,10490,370,10860,0.0456158,0.0734135,-0.996258,0
5959,2164,32,266,1968,42,146,10577,363,10940,0.0625268,0.0545489,-0.996551,0
5711,2019,27,272,1796,45,135,10005,328,10333,0.0535221,0.0658751,-0.996391,0
5328,1851,26,236,1766,43,135,9385,358,9743,0.0405627,0.0809666,-0.995891,0
6079,2039,28,262,1951,42,146,10547,377,10924,0.0575466,0.0587322,-0.996614,0
6021,2008,28,261,1937,42,147,10444,379,10823,0.0557685,0.0644739,-0.99636,0
7505,2351,33,299,2223,52,151,12614,361,12975,0.0352757,0.0827301,-0.995947,0
5865,1566,20,185,1365,31,102,9134,253,9387,0.0543952,0.0645872,-0.996428,0
2557,1006,12,95,703,16,52,4441,131,4572,0.0515881,0.0629764,-0.996681,0
2004,709,10,91,716,15,52,3597,126,3723,0.0553973,0.0582203,-0.996765,0
5845,2245,36,368,2044,49,154,10741,361,11102,0.0539507,0.0650068,-0.996425,0
5995,2047,38,262,2027,46,151,10566,301,10867,0.0504822,0.0697132,-0.996289,0
5303,2108,32,251,1836,45,200,9775,351,10126,0.0543279,0.0650465,-0.996402,0
6571,2216,29,290,2114,46,147,11413,360,11773,0.036513,0.081457,-0.996008,0
6032,2069,28,265,1964,34,107,10499,270,10769,0.0461482,0.068747,-0.996566,0
5348,1817,26,236,1738,38,130,9333,351,9684,0.0576803,0.0466079,-0.997247,0
6342,2052,28,261,1953,43,147,10826,365,11191,0.0405387,0.0841693,-0.995627,0
6858,1996,28,264,1974,46,156,11322,379,11701,0.0487645,0.0685449,-0.996456,0
6022,2097,29,294,1955,44,151,10592,389,10981,0.0552448,0.0684324,-0.996125,0
6076,2214,29,266,2016,46,148,10795,361,11156,0.0477853,0.076093,-0.995955,0
4171,1605,20,183,1387,34,105,7505,251,7756,0.0481158,0.0712083,-0.9963,0
6035,2048,38,263,1997,48,149,10578,402,10980,0.0501629,0.0612771,-0.996859,0
5603,1809,27,241,1861,44,136,9721,324,10045,0.0469235,0.0726773,-0.996251,0
5338,1831,24,235,1749,39,131,9347,360,9707,0.0547366,0.0624303,-0.996547,0
5583,1859,26,238,1900,42,137,9785,322,10107,0.0470421,0.0804076,-0.995651,0
5955,1865,27,239,1881,40,137,10144,328,10472,0.0466821,0.066813,-0.996673,0
5444,1866,26,238,1825,45,136,9580,351,9931,0.0392969,0.0835608,-0.995728,0
5392,1956,26,243,1805,41,134,9597,350,9947,0.057417,0.054246,-0.996876,0
3788,1343,19,178,1298,28,97,6751,232,6983,0.0465326,0.0696043,-0.996489,0
6223,2029,39,306,1967,51,149,10764,362,11126,0.0611583,0.0648635,-0.996018,0
6887,2114,32,325,1504,30,109,11001,250,11251,0.0640537,0.0534563,-0.996514,0
4078,1494,20,191,1416,40,101,7340,250,7590,0.0511039,0.0698085,-0.996251,0
6234,2113,28,267,1964,46,148,10800,389,11189,0.057604,0.0647854,-0.996235,0
6095,2066,30,291,2417,48,154,11101,361,11462,0.0523688,0.0576378,-0.996963,0
6082,1537,21,194,1566,36,108,9544,302,9846,0.0453089,0.077372,-0.995972,0
6310,2312,35,283,2006,47,148,11141,403,11544,0.0404342,0.0735319,-0.996473,0
