Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6247,4230,9658,381,2869,63,188,23636,272,23908,-0.0151397,0.0737612,-0.997161,0
4518,2834,24,333,2396,23,140,10268,198,10466,-0.0207764,0.0753286,-0.996942,0
6123,4111,32,518,4006,43,271,15104,370,15474,-0.0192023,0.0768005,-0.996862,0
6002,4158,31,477,3909,28,186,14791,272,15063,-0.0166345,0.0709871,-0.997339,0
4124,2847,21,351,2844,41,193,10421,263,10684,-0.0168681,0.0634242,-0.997844,0
6684,4305,31,486,3228,29,186,14949,255,15204,-0.0163883,0.0652405,-0.997735,0
6042,4071,40,542,3960,56,270,14981,312,15293,-0.0161925,0.0587978,-0.998139,0
4166,2877,22,326,2770,34,186,10381,254,10635,-0.0137812,0.0625069,-0.997949,0
6067,4066,31,477,4021,60,205,14927,277,15204,-0.0124255,0.0635966,-0.997898,0
4137,2917,23,325,2782,48,187,10419,256,10675,-0.012674,0.0648155,-0.997817,0
6170,4118,32,512,3915,66,188,15001,267,15268,-0.0164499,0.0674199,-0.997589,0
4209,2872,22,327,2836,42,188,10496,274,10770,-0.0139795,0.0630765,-0.997911,0
4161,2818,22,326,2757,57,187,10328,272,10600,-0.0150777,0.0813686,-0.99657,0
6228,4152,31,474,3536,42,204,14667,256,14923,-0.0165224,0.086095,-0.99615,0
4185,2832,22,325,2769,35,146,10314,196,10510,-0.0167436,0.0865784,-0.996104,0
6191,4224,58,504,4151,68,271,15467,367,15834,-0.0181865,0.0937139,-0.995433,0
4201,2929,22,328,2851,50,196,10577,255,10832,-0.025207,0.103596,-0.9943,0
4365,2942,35,332,2786,42,187,10689,292,10981,-0.0283876,0.0995701,-0.994626,0
4304,2958,23,337,2954,37,211,10824,275,11099,-0.0324961,0.111273,-0.993259,0
6022,4339,34,522,4308,63,281,15569,296,15865,-0.0288331,0.112617,-0.99322,0
4112,2945,23,325,2944,38,215,10602,270,10872,-0.0346528,0.120374,-0.992124,0
6026,4022,35,469,4002,85,267,14906,369,15275,-0.0431134,0.135889,-0.989786,0
4243,2790,23,316,2659,40,188,10259,271,10530,-0.0483002,0.143097,-0.988529,0
6267,4199,33,476,3956,68,264,15263,254,15517,-0.0505778,0.15848,-0.986066,0
4250,2955,23,318,3338,36,182,11102,255,11357,-0.0542929,0.172978,-0.983428,0
5483,3806,31,423,3737,50,241,13771,354,14125,-0.0590403,0.179943,-0.981904,0
5502,3715,29,420,3698,44,241,13649,359,14008,-0.0503952,0.194951,-0.979518,0
4122,2661,23,323,2630,41,171,9971,236,10207,-0.0574921,0.198718,-0.978369,0
6135,4090,32,465,4033,49,264,15068,368,15436,-0.0578969,0.215046,-0.974886,0
4413,2835,22,317,2777,33,198,10595,278,10873,-0.0522323,0.243868,-0.968401,0
6081,3892,31,443,4098,62,175,14782,255,15037,-0.0492729,0.250692,-0.966812,0
3990,2557,21,323,2510,43,169,9613,255,9868,-0.0463722,0.28108,-0.958564,0
4057,2530,20,319,2517,49,169,9661,254,9915,-0.0522149,0.302791,-0.951626,0
5245,3101,28,364,3048,60,263,12109,339,12448,-0.0483937,0.33695,-0.940278,0
5677,3353,28,391,3260,65,221,12995,394,13389,-0.0499647,0.386039,-0.921128,0
5871,3396,33,388,2186,41,149,12064,255,12319,-0.0623458,0.422452,-0.904238,0
2863,1605,16,204,1572,30,107,6397,195,6592,-0.0750418,0.438954,-0.89537,0
5367,2904,29,347,2973,62,201,11883,386,12269,-0.0837197,0.461932,-0.882955,0
5839,2748,29,365,2775,85,247,12088,399,12487,-0.0949624,0.531801,-0.841528,0
5291,2731,29,330,2603,58,184,11226,366,11592,-0.133033,0.665142,-0.73477,0
5360,2655,29,320,2596,64,181,11205,-1000,-1000,-1,-1,-1,0
5260,2496,28,305,2505,54,179,10827,-1000,-1000,-1,-1,-1,0
4808,2302,25,275,2174,47,156,9787,-1000,-1000,-1,-1,-1,0
5208,2528,32,355,2534,41,183,10881,-1000,-1000,-1,-1,-1,0
5306,2768,28,328,2666,58,190,11344,-1000,-1000,-1,-1,-1,0
5273,2482,30,323,2510,63,183,10864,-1000,-1000,-1,-1,-1,0
5412,2525,28,325,2474,60,183,11007,-1000,-1000,-1,-1,-1,0
5359,2431,28,309,2419,58,180,10784,-1000,-1000,-1,-1,-1,0
5216,2314,28,295,2249,51,168,10321,-1000,-1000,-1,-1,-1,0
5294,2283,36,310,2138,54,162,10277,-1000,-1000,-1,-1,-1,0
5142,1992,29,264,2087,52,154,9720,-1000,-1000,-1,-1,-1,0
5200,1874,28,306,1720,44,135,9307,-1000,-1000,-1,-1,-1,0
5298,1662,27,243,1580,37,125,8972,-1000,-1000,-1,-1,-1,0
5239,1594,27,227,1538,41,119,8785,-1000,-1000,-1,-1,-1,0
5377,1494,28,241,1465,35,118,8758,-1000,-1000,-1,-1,-1,0
5241,1483,29,202,1399,33,111,8498,-1000,-1000,-1,-1,-1,0
5351,1579,28,237,1461,36,120,8812,-1000,-1000,-1,-1,-1,0
5423,1813,29,231,1877,47,177,9597,-1000,-1000,-1,-1,-1,0
