Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6264,3858,79,489,3604,65,247,14606,382,14988,-0.0158604,0.0508694,-0.998579,0
4572,2505,22,323,2492,37,171,10122,250,10372,-0.0150577,0.050477,-0.998612,0
4136,2469,22,292,2457,44,174,9594,251,9845,-0.0122263,0.0466536,-0.998836,0
6036,3599,31,445,3554,52,246,13963,361,14324,-0.0130251,0.0461959,-0.998847,0
4107,2445,21,293,2410,45,165,9486,250,9736,-0.012706,0.0446157,-0.998923,0
6037,3565,33,427,3544,51,241,13898,385,14283,-0.0144844,0.0471279,-0.998784,0
6022,3673,30,460,3570,59,266,14080,365,14445,-0.0141716,0.0448368,-0.998894,0
6003,3655,30,429,3572,53,242,13984,397,14381,-0.014477,0.044987,-0.998883,0
4067,2582,42,296,2487,42,175,9691,251,9942,-0.0151804,0.0469601,-0.998781,0
6090,3637,31,437,3580,46,245,14066,363,14429,-0.0165615,0.0515284,-0.998534,0
6009,3719,30,428,3684,52,187,14109,285,14394,-0.0126679,0.0521618,-0.998558,0
5965,3582,32,421,3500,53,240,13793,360,14153,-0.0112429,0.0495812,-0.998707,0
4153,2514,23,292,2447,34,167,9630,249,9879,-0.01252,0.0458281,-0.998871,0
6328,3583,30,426,3594,52,242,14255,379,14634,-0.0118371,0.0407845,-0.999098,0
4078,2537,22,295,2469,40,165,9606,251,9857,-0.0131479,0.0450541,-0.998898,0
6012,3741,32,434,3599,50,246,14114,383,14497,-0.0141104,0.0423544,-0.999003,0
6054,3703,31,450,3610,44,193,14085,252,14337,-0.0151763,0.0443336,-0.998902,0
4118,2585,23,315,2498,44,170,9753,250,10003,-0.0137719,0.0442262,-0.998927,0
5989,3729,32,477,3640,64,248,14179,362,14541,-0.0148491,0.0425134,-0.998986,0
6666,3607,32,430,3574,58,246,14613,361,14974,-0.0127774,0.0430545,-0.998991,0
6064,3664,53,430,2617,39,167,13034,260,13294,-0.0122045,0.0436391,-0.998973,0
3241,1912,19,291,2300,32,131,7926,192,8118,-0.0144091,0.0474352,-0.99877,0
6038,3658,33,431,3687,52,249,14148,364,14512,-0.0130763,0.0436579,-0.998961,0
6323,3698,30,434,3024,39,169,13717,251,13968,-0.0160642,0.0483324,-0.998702,0
4130,2555,22,299,2498,41,172,9717,252,9969,-0.0148293,0.0444083,-0.998903,0
6022,3699,31,428,3606,61,244,14091,366,14457,-0.0133516,0.0423837,-0.999012,0
6017,3687,33,434,3668,75,245,14159,370,14529,-0.0146427,0.0423966,-0.998994,0
5352,3578,29,399,3286,62,218,12924,323,13247,-0.0164747,0.0436986,-0.998909,0
5471,3301,28,386,3336,64,223,12809,325,13134,-0.0147214,0.040245,-0.999081,0
5714,3319,28,385,3298,56,221,13021,336,13357,-0.0152958,0.0418154,-0.999008,0
5464,3340,28,403,3308,73,222,12838,330,13168,-0.0145546,0.0418539,-0.999018,0
6155,3725,33,452,3557,48,171,14141,250,14391,-0.0143019,0.0425919,-0.99899,0
4202,2583,21,313,2593,38,171,9921,251,10172,-0.015584,0.0454438,-0.998845,0
6129,3724,30,432,3635,47,245,14242,360,14602,-0.0152755,0.0471806,-0.99877,0
