Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5157,325,79,78,195,66,29,5929,389,6318,-0.00422324,-0.101985,-0.994777,0
5086,263,37,57,176,52,23,5694,389,6083,-0.0211846,-0.120338,-0.992507,0
5136,228,28,61,182,50,25,5710,362,6072,-0.043878,-0.0982178,-0.994197,0
5096,221,30,48,196,60,29,5680,375,6055,-0.0536654,-0.0637552,-0.996522,0
5123,217,31,50,172,45,23,5661,387,6048,-0.0463972,-0.116848,-0.992065,0
5159,210,28,49,161,58,35,5700,384,6084,-0.0308808,-0.117091,-0.992641,0
5097,213,28,49,161,48,22,5618,368,5986,-0.0322749,-0.120971,-0.992131,0
5145,228,29,49,175,51,23,5700,362,6062,-0.0353923,-0.0862515,-0.995644,0
5185,237,45,50,167,40,23,5747,360,6107,-0.0430553,-0.115915,-0.992326,0
5009,210,29,47,157,49,22,5523,361,5884,-0.0576532,-0.114757,-0.991719,0
5010,224,28,50,167,48,23,5550,363,5913,-0.0341027,-0.117755,-0.992457,0
5125,221,29,47,157,47,23,5649,387,6036,-0.070894,-0.118543,-0.990415,0
5115,212,33,68,164,52,25,5669,370,6039,-0.0570605,-0.103209,-0.993022,0
5067,245,30,48,166,43,23,5622,379,6001,-0.0332641,-0.130661,-0.990869,0
5021,222,30,49,170,55,31,5578,363,5941,-0.0596623,-0.123135,-0.990595,0
4988,224,27,49,175,41,23,5527,362,5889,-0.0549609,-0.113015,-0.992072,0
4996,226,28,54,213,54,29,5600,372,5972,-0.0265581,-0.124508,-0.991863,0
5092,221,28,51,169,51,23,5635,379,6014,-0.0503727,-0.133408,-0.98978,0
4962,227,29,51,176,42,23,5510,362,5872,-0.0382801,-0.131293,-0.990604,0
4969,214,35,68,190,54,29,5559,362,5921,-0.0350691,-0.150252,-0.988025,0
5018,219,28,51,165,47,23,5551,404,5955,-0.0532088,-0.130167,-0.990063,0
5024,208,27,49,159,45,22,5534,362,5896,-0.0353021,-0.159389,-0.986584,0
5003,217,28,48,167,49,22,5534,362,5896,-0.042913,-0.130925,-0.990463,0
4956,206,29,49,159,46,25,5470,362,5832,-0.0290237,-0.149751,-0.988298,0
4967,214,28,48,166,46,23,5492,383,5875,-0.055353,-0.146235,-0.9877,0
4985,225,29,48,169,43,22,5521,382,5903,-0.0461694,-0.148868,-0.987779,0
4950,211,29,48,162,44,22,5466,383,5849,-0.0264072,-0.169736,-0.985136,0
4970,222,53,47,168,42,23,5525,359,5884,-0.0264909,-0.169893,-0.985106,0
4963,211,27,47,166,47,22,5483,359,5842,-0.0339197,-0.158403,-0.986792,0
4897,208,28,46,162,49,22,5412,359,5771,-0.0406571,-0.154505,-0.987155,0
5031,244,31,57,215,43,27,5648,362,6010,-0.0747535,-0.134472,-0.988094,0
4942,247,28,48,173,45,23,5506,361,5867,-0.0627315,-0.141867,-0.987896,0
4974,222,28,50,168,48,23,5513,361,5874,-0.0602198,-0.135996,-0.988878,0
5007,211,28,48,162,47,22,5525,364,5889,-0.0438583,-0.156698,-0.986672,0
5186,213,28,48,199,54,30,5758,320,6078,-0.033913,-0.154262,-0.987448,0
4988,219,28,48,170,44,23,5520,361,5881,-0.0312926,-0.175276,-0.984022,0
