Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5801,2250,65,300,2058,65,154,10693,380,11073,-0.129108,-0.0440369,-0.990652,0
6880,2123,26,310,2017,46,154,11556,365,11921,-0.108463,-0.0337347,-0.993528,0
5831,2054,28,277,1981,37,152,10360,309,10669,-0.114711,-0.0262528,-0.993052,0
4076,1399,18,225,1371,29,104,7222,274,7496,-0.106388,-0.0228674,-0.994062,0
5195,1831,23,239,1805,47,136,9276,328,9604,-0.110289,-0.0217258,-0.993662,0
5906,2140,26,311,2078,44,156,10661,391,11052,-0.114222,-0.0140861,-0.993355,0
6711,2056,26,291,2070,43,157,11354,365,11719,-0.112479,-0.0316619,-0.993149,0
3930,1474,17,184,1346,30,103,7084,280,7364,-0.116366,-0.0235742,-0.992927,0
5764,2026,27,273,1939,53,149,10231,405,10636,-0.111505,-0.00217196,-0.993761,0
6283,2016,27,257,2129,74,201,10987,484,11471,-0.100537,0.031901,-0.994422,0
3991,1391,17,180,1336,37,102,7054,302,7356,-0.0978502,0.0315007,-0.994702,0
6211,2019,27,262,2055,54,151,10779,365,11144,-0.0993107,0.0296989,-0.994613,0
5762,2017,26,263,1877,37,102,10084,269,10353,-0.100125,0.0240737,-0.994684,0
5080,1449,18,187,1374,35,128,8271,253,8524,-0.104058,0.0231768,-0.994301,0
6046,2010,24,265,2629,44,155,11173,384,11557,-0.0988521,0.0255027,-0.994775,0
6015,2002,34,264,1985,38,151,10489,365,10854,-0.104696,0.0320176,-0.993989,0
6386,1964,27,267,1932,56,149,10781,386,11167,-0.107307,0.0432571,-0.993284,0
6608,2300,31,289,2069,47,144,11488,391,11879,-0.103323,0.0424787,-0.99374,0
3438,1022,15,134,960,26,74,5669,196,5865,-0.0992617,0.0354854,-0.994428,0
2440,734,10,91,672,17,51,4015,135,4150,-0.107537,0.0381688,-0.993468,0
3189,1065,24,149,1025,25,78,5555,213,5768,-0.110309,0.031934,-0.993384,0
7243,1936,28,260,1855,47,142,11511,367,11878,-0.118865,0.0454999,-0.991867,0
6077,1846,28,250,1818,47,142,10208,363,10571,-0.117051,0.0549748,-0.991603,0
5196,1984,35,301,1933,59,134,9642,327,9969,-0.100268,0.0492123,-0.993743,0
6080,1938,37,337,2228,56,165,10841,420,11261,-0.100814,0.0498425,-0.993656,0
6353,2103,61,283,2038,48,141,11027,363,11390,-0.0960054,0.0323901,-0.994854,0
6324,2005,29,252,1629,32,95,10366,266,10632,-0.0986581,0.0335214,-0.994557,0
4131,1211,19,182,1182,30,93,6848,255,7103,-0.0973804,0.0142839,-0.995145,0
6267,1754,28,239,1756,47,152,10243,363,10606,-0.104906,0.00730401,-0.994455,0
6051,1879,27,264,1778,32,96,10127,254,10381,-0.106021,0.0153465,-0.994245,0
3986,1288,19,167,1232,24,97,6813,268,7081,-0.111521,0.00487918,-0.99375,0
6206,1813,29,244,1756,55,135,10238,369,10607,-0.111695,-0.00496633,-0.99373,0
5687,1823,28,242,1734,42,134,9690,363,10053,-0.114824,2.94233e-05,-0.993386,0
4202,1238,20,168,1201,23,93,6945,277,7222,-0.107886,0.0285454,-0.993753,0
5678,1811,38,261,1786,33,135,9742,367,10109,-0.103354,0.0096121,-0.994598,0
6830,2165,32,281,2179,61,161,11709,410,12119,-0.105224,0.01072,-0.994391,0
2548,1163,14,111,797,23,61,4717,166,4883,-0.0999059,0.0186811,-0.994821,0
5939,1840,28,243,1752,51,137,9990,416,10406,-0.111327,0.02743,-0.993405,0
4758,1270,20,170,1224,27,71,7540,193,7733,-0.105521,0.034498,-0.993818,0
2505,840,13,106,762,21,58,4305,133,4438,-0.11583,0.0282457,-0.992867,0
2005,693,11,87,626,17,48,3487,133,3620,-0.107385,0.0309532,-0.993736,0
5806,1839,35,247,1793,49,139,9908,364,10272,-0.106396,0.0404249,-0.993502,0
5815,1881,48,379,2209,53,141,10526,364,10890,-0.102724,0.0329478,-0.994164,0
5872,1786,31,261,1496,36,93,9575,254,9829,-0.106437,0.0413318,-0.99346,0
3918,1422,27,208,1534,36,99,7244,251,7495,-0.0950518,0.0632133,-0.993463,0
4969,1671,26,221,1605,44,124,8660,335,8995,-0.0958602,0.0480748,-0.994233,0
6418,2142,30,249,1917,50,138,10944,365,11309,-0.0932258,0.0416896,-0.994772,0
6674,1944,32,261,2442,46,159,11558,386,11944,-0.097836,0.043569,-0.994248,0
5906,1927,30,261,1876,58,145,10203,342,10545,-0.101115,0.0479587,-0.993718,0
5261,1783,28,242,2026,97,206,9643,457,10100,-0.079029,0.0708339,-0.994353,0
6421,2001,29,275,1973,56,154,10909,380,11289,-0.0681047,0.0227438,-0.997419,0
7278,2470,33,321,2184,65,211,12562,364,12926,-0.0837182,0.00320343,-0.996484,0
6013,2156,31,297,2177,62,166,10902,365,11267,-0.0976019,0.00361673,-0.995219,0
4487,1508,20,199,1618,40,112,7984,253,8237,-0.0927843,0.00732189,-0.995659,0
6044,2282,68,362,2144,56,163,11119,372,11491,-0.100676,-0.0453379,-0.993886,0
6076,2270,28,295,2164,50,195,11078,393,11471,-0.0857745,-0.0420886,-0.995425,0
4092,1546,19,200,1559,39,116,7571,253,7824,-0.0838538,-0.0244105,-0.996179,0
7663,2695,45,336,2467,36,122,13364,274,13638,-0.0956941,-0.00934191,-0.995367,0
4630,1660,21,216,1603,44,121,8295,290,8585,-0.0995427,-0.0307192,-0.994559,0
6973,2447,26,289,2373,58,161,12327,402,12729,-0.0960366,-0.0178975,-0.995217,0
4043,1509,20,242,1432,34,108,7388,251,7639,-0.0843703,0.0232649,-0.996163,0
6806,2389,33,318,2337,50,157,12090,364,12454,-0.0990601,0.0154849,-0.994961,0
6329,2038,29,266,1944,47,151,10804,366,11170,-0.0916773,-0.00725068,-0.995762,0
7010,2321,33,302,2135,41,147,11989,364,12353,-0.0894937,0.0240084,-0.995698,0
5643,1993,29,279,1961,30,104,10039,255,10294,-0.0974788,0.0462737,-0.994161,0
2976,907,12,106,761,17,58,4837,149,4986,-0.0905773,0.0474297,-0.994759,0
2622,883,18,117,835,24,64,4563,174,4737,-0.0878558,0.0502911,-0.994863,0
5978,1800,30,245,1793,61,138,10045,382,10427,-0.0758429,0.0375612,-0.996412,0
5842,1763,30,238,1672,46,131,9722,383,10105,-0.072124,0.0655056,-0.995242,0
3070,937,15,123,870,25,68,5108,192,5300,-0.0720353,0.0669447,-0.995153,0
2371,706,13,97,678,19,53,3937,156,4093,-0.073889,0.0648169,-0.995158,0
6161,1737,55,224,1565,51,159,9952,392,10344,-0.0692617,0.0518902,-0.996248,0
5588,1582,30,219,1540,53,122,9134,365,9499,-0.0705645,0.0554342,-0.995966,0
6033,1594,35,243,1282,30,86,9303,254,9557,-0.0672558,0.0370136,-0.997049,0
5174,1402,26,197,1355,38,129,8321,335,8656,-0.0739332,0.0584803,-0.995547,0
5922,1569,31,221,1667,44,131,9585,397,9982,-0.0724704,0.0492055,-0.996156,0
5654,1623,29,220,1520,41,121,9208,380,9588,-0.0708788,0.0325855,-0.996953,0
3777,1108,20,149,1235,31,86,6406,285,6691,-0.0679166,0.0241926,-0.997398,0
5815,1594,28,218,1506,42,120,9323,365,9688,-0.0691018,0.0463952,-0.99653,0
6199,1779,38,306,1605,46,126,10099,413,10512,-0.0721813,0.0358906,-0.996746,0
5493,1597,28,217,2116,60,167,9678,394,10072,-0.0652784,0.0315776,-0.997367,0
5608,1609,27,219,1545,42,132,9182,365,9547,-0.0702251,0.0413758,-0.996673,0
6373,1602,28,219,1559,43,124,9948,364,10312,-0.069273,0.0412187,-0.996746,0
6318,1839,28,218,1684,41,123,10251,382,10633,-0.0654435,0.0295505,-0.997419,0
5462,1651,31,217,1537,42,123,9063,364,9427,-0.0706898,0.0394903,-0.996716,0
5573,1634,50,222,1565,43,124,9211,364,9575,-0.0695394,0.0390653,-0.996814,0
5621,1623,30,219,1530,38,139,9200,364,9564,-0.0609979,0.0429374,-0.997214,0
5583,1583,29,217,1522,37,120,9091,366,9457,-0.0633309,0.0354743,-0.997362,0
5496,1090,20,151,1051,29,83,7920,253,8173,-0.0636389,0.0180372,-0.99781,0
2459,711,13,93,661,17,51,4005,157,4162,-0.0653594,0.0311281,-0.997376,0
3052,906,15,121,880,24,69,5067,210,5277,-0.0664709,0.0353557,-0.997162,0
5504,1662,27,222,1601,43,127,9186,372,9558,-0.0670305,0.0442472,-0.996769,0
5521,1661,28,219,1563,42,122,9156,371,9527,-0.0647368,0.0292936,-0.997472,0
5574,1648,27,220,1576,56,130,9231,365,9596,-0.0675148,0.0317307,-0.997214,0
6310,1905,28,221,1560,42,122,10188,364,10552,-0.0685484,0.0478745,-0.996498,0
