Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5977,1054,7031,3289,10320,-0.0680445,0.0671917,-0.995417,0
0,0,0,0,0,5945,978,6923,4473,11396,-0.0448847,0.0443041,-0.998009,0
0,0,0,0,0,4288,668,4956,1050,6006,-0.0389208,0.0390834,-0.998478,0
0,0,0,0,0,5799,961,6760,1085,7845,-0.0322188,0.0344959,-0.998885,0
0,0,0,0,0,6007,1017,7024,957,7981,-0.0239981,0.0292168,-0.999285,0
0,0,0,0,0,5781,983,6764,1090,7854,-0.0198372,0.0278507,-0.999415,0
0,0,0,0,0,5861,958,6819,1181,8000,-0.0172764,0.0274555,-0.999474,0
0,0,0,0,0,5901,978,6879,1159,8038,-0.0151346,0.0263334,-0.999539,0
0,0,0,0,0,5748,972,6720,1340,8060,-0.0153098,0.0276759,-0.9995,0
0,0,0,0,0,5752,965,6717,1313,8030,-0.0135611,0.0269007,-0.999546,0
0,0,0,0,0,5548,938,6486,1371,7857,-0.0138833,0.0263995,-0.999555,0
0,0,0,0,0,5336,885,6221,1157,7378,-0.0188004,0.0295478,-0.999387,0
0,0,0,0,0,5744,888,6632,1087,7719,-0.0190562,0.0312492,-0.99933,0
0,0,0,0,0,5813,1016,6829,1290,8119,-0.0154317,0.0304766,-0.999416,0
0,0,0,0,0,6039,992,7031,1321,8352,-0.0143134,0.0300057,-0.999447,0
0,0,0,0,0,6162,997,7159,1303,8462,-0.0140144,0.0306683,-0.999431,0
0,0,0,0,0,5988,1012,7000,1392,8392,-0.0134801,0.0318775,-0.999401,0
0,0,0,0,0,5844,1042,6886,1355,8241,-0.012664,0.032909,-0.999378,0
0,0,0,0,0,6430,1035,7465,1418,8883,-0.0159055,0.0339461,-0.999297,0
0,0,0,0,0,5854,1039,6893,1262,8155,-0.014179,0.0344678,-0.999305,0
0,0,0,0,0,6144,980,7124,1019,8143,-0.0147309,0.0351475,-0.999274,0
0,0,0,0,0,3151,533,3684,620,4304,-0.0111379,0.0332233,-0.999386,0
0,0,0,0,0,2902,513,3415,697,4112,-0.0109168,0.033333,-0.999385,0
0,0,0,0,0,6040,982,7022,1352,8374,-0.0141209,0.0343943,-0.999309,0
0,0,0,0,0,6088,876,6964,1180,8144,-0.0097196,0.0323815,-0.999428,0
0,0,0,0,0,3795,649,4444,966,5410,-0.0109302,0.0317055,-0.999437,0
0,0,0,0,0,5933,991,6924,1356,8280,-0.0174798,0.0333315,-0.999291,0
0,0,0,0,0,5171,711,5882,895,6777,-0.0174134,0.0343831,-0.999257,0
0,0,0,0,0,6074,946,7020,813,7833,-0.0149543,0.0358086,-0.999247,0
0,0,0,0,0,3772,635,4407,857,5264,-0.0163645,0.0363104,-0.999207,0
0,0,0,0,0,5819,1015,6834,1332,8166,-0.0176853,0.0379933,-0.999121,0
0,0,0,0,0,5394,932,6326,1096,7422,-0.0124179,0.0373789,-0.999224,0
0,0,0,0,0,5841,1024,6865,1296,8161,-0.0118787,0.0403652,-0.999114,0
0,0,0,0,0,5735,1043,6778,1401,8179,-0.0127912,0.0405842,-0.999094,0
0,0,0,0,0,5770,983,6753,1428,8181,-0.0134828,0.0401872,-0.999101,0
0,0,0,0,0,5666,909,6575,1294,7869,-0.0114502,0.0403398,-0.99912,0
0,0,0,0,0,5915,990,6905,1416,8321,-0.0125046,0.0409525,-0.999083,0
0,0,0,0,0,6066,1012,7078,1386,8464,-0.00859906,0.0415288,-0.9991,0
0,0,0,0,0,5993,811,6804,1050,7854,-0.00637907,0.0428497,-0.999061,0
0,0,0,0,0,3122,520,3642,821,4463,-0.00450534,0.0439209,-0.999025,0
0,0,0,0,0,6275,1012,7287,1752,9039,-0.00343308,0.0451158,-0.998976,0
0,0,0,0,0,5368,677,6045,1170,7215,-0.00211453,0.0463259,-0.998924,0
0,0,0,0,0,3354,546,3900,998,4898,-0.0112364,0.0453956,-0.998906,0
0,0,0,0,0,5864,1030,6894,1542,8436,-0.00531862,0.045401,-0.998955,0
0,0,0,0,0,5999,980,6979,1655,8634,-0.00732803,0.0462055,-0.998905,0
0,0,0,0,0,5894,1074,6968,1596,8564,-0.000526339,0.0466124,-0.998913,0
0,0,0,0,0,5954,990,6944,1805,8749,-0.000611585,0.047354,-0.998878,0
0,0,0,0,0,6041,1000,7041,1772,8813,0.00182582,0.0476234,-0.998864,0
0,0,0,0,0,6387,1101,7488,1966,9454,-1.1444e-06,0.0467866,-0.998905,0
0,0,0,0,0,6071,1029,7100,1308,8408,-0.00222736,0.0457625,-0.99895,0
0,0,0,0,0,3286,534,3820,907,4727,-0.0086785,0.0453815,-0.998932,0
0,0,0,0,0,6186,1021,7207,1688,8895,-0.01058,0.0451854,-0.998923,0
0,0,0,0,0,5879,1016,6895,1532,8427,-0.0103885,0.0452696,-0.998921,0
0,0,0,0,0,5931,998,6929,1597,8526,-0.00198798,0.0462287,-0.998929,0
0,0,0,0,0,6443,1064,7507,1748,9255,-0.00614699,0.0456905,-0.998937,0
0,0,0,0,0,5266,881,6147,1490,7637,-0.000335902,0.0466168,-0.998913,0
0,0,0,0,0,5580,930,6510,1633,8143,3.49844e-05,0.0462711,-0.998929,0
0,0,0,0,0,5904,1060,6964,1824,8788,-0.0029435,0.0455104,-0.99896,0
0,0,0,0,0,5984,980,6964,1780,8744,-0.00330612,0.0452063,-0.998972,0
