Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5236,944,6180,3321,9501,-0.038764,0.144899,-0.988687,0
0,0,0,0,0,5652,959,6611,10854,17465,-0.0360867,0.10231,-0.994098,0
0,0,0,0,0,3549,606,4155,6788,10943,-0.0293601,0.0867717,-0.995795,0
0,0,0,0,0,4592,777,5369,7910,13279,-0.0235887,0.0814418,-0.996399,0
0,0,0,0,0,4447,764,5211,8020,13231,-0.0197891,0.0795738,-0.996633,0
0,0,0,0,0,5328,934,6262,8947,15209,-0.0158616,0.0795828,-0.996702,0
0,0,0,0,0,3818,958,4776,7679,12455,-0.0139831,0.0793818,-0.996746,0
0,0,0,0,0,4835,849,5684,8610,14294,-0.0126409,0.0792964,-0.996771,0
0,0,0,0,0,5666,943,6609,8886,15495,-0.0115374,0.0793651,-0.996779,0
0,0,0,0,0,7009,1317,8326,9551,17877,-0.0120281,0.0791984,-0.996786,0
0,0,0,0,0,2277,402,2679,4124,6803,-0.0128261,0.0787115,-0.996815,0
0,0,0,0,0,5764,847,6611,8690,15301,-0.0128757,0.0788648,-0.996802,0
0,0,0,0,0,4934,857,5791,7692,13483,-0.0127449,0.079278,-0.996771,0
0,0,0,0,0,4071,604,4675,6186,10861,-0.0118331,0.0792311,-0.996786,0
0,0,0,0,0,5389,935,6324,9696,16020,-0.0124443,0.0784401,-0.996841,0
0,0,0,0,0,5818,898,6716,6755,13471,-0.0126902,0.0789457,-0.996798,0
0,0,0,0,0,2197,339,2536,3422,5958,-0.0121739,0.0790319,-0.996798,0
0,0,0,0,0,2704,495,3199,5109,8308,-0.0120204,0.0787376,-0.996823,0
0,0,0,0,0,5568,942,6510,9694,16204,-0.0123296,0.0788587,-0.99681,0
0,0,0,0,0,3754,641,4395,6697,11092,-0.0130907,0.0787154,-0.996811,0
0,0,0,0,0,5427,967,6394,9613,16007,-0.0126075,0.0788331,-0.996808,0
0,0,0,0,0,4010,718,4728,6632,11360,-0.0116398,0.0791024,-0.996799,0
0,0,0,0,0,2830,494,3324,4358,7682,-0.0110806,0.0786443,-0.996841,0
0,0,0,0,0,1919,340,2259,3425,5684,-0.0109136,0.0782548,-0.996874,0
0,0,0,0,0,5334,842,6176,8628,14804,-0.0123468,0.0784545,-0.996841,0
0,0,0,0,0,5841,992,6833,9024,15857,-0.0129574,0.0783322,-0.996843,0
0,0,0,0,0,3726,646,4372,6584,10956,-0.0117099,0.0792389,-0.996787,0
0,0,0,0,0,5588,1032,6620,9515,16135,-0.0115903,0.0778511,-0.996898,0
0,0,0,0,0,3735,684,4419,6639,11058,-0.011705,0.0782674,-0.996864,0
0,0,0,0,0,5091,842,5933,8098,14031,-0.0116797,0.0783556,-0.996857,0
0,0,0,0,0,4408,789,5197,7844,13041,-0.0115589,0.0785795,-0.996841,0
0,0,0,0,0,4833,869,5702,8651,14353,-0.0114486,0.0782617,-0.996867,0
0,0,0,0,0,4853,839,5692,7698,13390,-0.0114088,0.0779437,-0.996892,0
0,0,0,0,0,4459,774,5233,7840,13073,-0.0112534,0.078163,-0.996877,0
0,0,0,0,0,5533,938,6471,9822,16293,-0.0114371,0.0781733,-0.996874,0
0,0,0,0,0,3716,510,4226,4877,9103,-0.0112446,0.0780164,-0.996889,0
0,0,0,0,0,1973,335,2308,3441,5749,-0.0111894,0.0782099,-0.996874,0
0,0,0,0,0,2447,419,2866,4346,7212,-0.0115624,0.0781044,-0.996878,0
0,0,0,0,0,5988,1021,7009,9739,16748,-0.0114968,0.0779758,-0.996889,0
0,0,0,0,0,4931,903,5834,8855,14689,-0.0117064,0.0780979,-0.996877,0
0,0,0,0,0,3458,601,4059,6306,10365,-0.011337,0.0776611,-0.996915,0
0,0,0,0,0,5146,912,6058,9075,15133,-0.0116404,0.0773103,-0.996939,0
0,0,0,0,0,4981,872,5853,8620,14473,-0.0112928,0.0777546,-0.996909,0
0,0,0,0,0,4022,603,4625,6247,10872,-0.0116536,0.078065,-0.99688,0
0,0,0,0,0,5567,904,6471,9110,15581,-0.0117879,0.0784773,-0.996846,0
0,0,0,0,0,5084,856,5940,8713,14653,-0.011152,0.0782792,-0.996869,0
0,0,0,0,0,3423,611,4034,6116,10150,-0.0105119,0.0781997,-0.996882,0
0,0,0,0,0,5410,1017,6427,9591,16018,-0.0099206,0.0779229,-0.99691,0
0,0,0,0,0,5384,938,6322,9024,15346,-0.0105226,0.0776309,-0.996927,0
0,0,0,0,0,5463,1154,6617,8792,15409,-0.010961,0.0771932,-0.996956,0
0,0,0,0,0,5111,951,6062,8676,14738,-0.0102916,0.0773923,-0.996948,0
0,0,0,0,0,3598,635,4233,5312,9545,-0.0099239,0.0774771,-0.996945,0
0,0,0,0,0,2181,396,2577,3911,6488,-0.0101812,0.0775076,-0.99694,0
0,0,0,0,0,6427,999,7426,9463,16889,-0.00965611,0.0775392,-0.996943,0
0,0,0,0,0,3519,633,4152,6171,10323,-0.00992338,0.0776333,-0.996933,0
0,0,0,0,0,5552,910,6462,9386,15848,-0.0117515,0.077031,-0.996959,0
0,0,0,0,0,3449,624,4073,4820,8893,-0.0115743,0.077513,-0.996924,0
0,0,0,0,0,1869,332,2201,3272,5473,-0.0122396,0.078054,-0.996874,0
0,0,0,0,0,5589,1160,6749,10078,16827,-0.0116848,0.0781505,-0.996873,0
0,0,0,0,0,4204,744,4948,6561,11509,-0.0114263,0.0783614,-0.99686,0
0,0,0,0,0,4873,1163,6036,8760,14796,-0.0116861,0.0781696,-0.996872,0
0,0,0,0,0,4842,840,5682,8609,14291,-0.0115614,0.0786354,-0.996836,0
0,0,0,0,0,3613,811,4424,6240,10664,-0.0114811,0.0789169,-0.996815,0
0,0,0,0,0,5353,1048,6401,9737,16138,-0.0109626,0.078383,-0.996863,0
0,0,0,0,0,3570,603,4173,6101,10274,-0.0112121,0.0785167,-0.99685,0
0,0,0,0,0,6171,999,7170,8932,16102,-0.0105719,0.0785007,-0.996858,0
0,0,0,0,0,3514,601,4115,6190,10305,-0.0118722,0.0782415,-0.996864,0
0,0,0,0,0,5231,823,6054,7858,13912,-0.0119097,0.0778649,-0.996893,0
0,0,0,0,0,4567,773,5340,8352,13692,-0.0123263,0.0774524,-0.99692,0
0,0,0,0,0,4708,700,5408,7175,12583,-0.0121344,0.0785713,-0.996835,0
0,0,0,0,0,4161,722,4883,7974,12857,-0.0122306,0.078214,-0.996862,0
0,0,0,0,0,4070,698,4768,7077,11845,-0.0121523,0.0786518,-0.996828,0
0,0,0,0,0,6215,951,7166,9657,16823,-0.0119466,0.0782828,-0.99686,0
0,0,0,0,0,3811,648,4459,6543,11002,-0.0113927,0.0785618,-0.996844,0
0,0,0,0,0,5702,936,6638,9622,16260,-0.0115597,0.0785563,-0.996843,0
0,0,0,0,0,5928,944,6872,8252,15124,-0.011435,0.0783388,-0.996861,0
0,0,0,0,0,2903,500,3403,5161,8564,-0.012168,0.0782439,-0.99686,0
0,0,0,0,0,4502,805,5307,8121,13428,-0.0122013,0.0780711,-0.996873,0
0,0,0,0,0,4477,808,5285,8063,13348,-0.0118917,0.078143,-0.996871,0
0,0,0,0,0,4482,759,5241,8017,13258,-0.0115447,0.0784316,-0.996853,0
0,0,0,0,0,4333,762,5095,7806,12901,-0.0117044,0.0784191,-0.996852,0
0,0,0,0,0,4952,845,5797,8555,14352,-0.011381,0.0777836,-0.996905,0
0,0,0,0,0,5598,850,6448,8625,15073,-0.0115798,0.0778875,-0.996895,0
0,0,0,0,0,5394,1004,6398,9544,15942,-0.0120716,0.077544,-0.996916,0
0,0,0,0,0,6046,957,7003,8055,15058,-0.0127324,0.077362,-0.996922,0
0,0,0,0,0,2816,490,3306,5235,8541,-0.0136508,0.0771986,-0.996922,0
0,0,0,0,0,5339,931,6270,9490,15760,-0.013279,0.0777147,-0.996887,0
