Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6666,1210,7876,7458,15334,0.0127564,-0.0523645,-0.998547,0
0,0,0,0,0,5269,777,6046,2503,8549,-0.0087593,-0.00992731,-0.999912,0
0,0,0,0,0,4271,720,4991,1971,6962,-0.0126303,0.0133619,-0.999831,0
0,0,0,0,0,6966,1151,8117,3593,11710,-0.0153291,0.0245449,-0.999581,0
0,0,0,0,0,6593,1145,7738,3861,11599,-0.0176886,0.0310055,-0.999363,0
0,0,0,0,0,7747,945,8692,2795,11487,-0.017482,0.0328503,-0.999307,0
0,0,0,0,0,4194,725,4919,2630,7549,-0.0181737,0.0339819,-0.999257,0
0,0,0,0,0,5453,946,6399,3502,9901,-0.0172915,0.0338769,-0.999276,0
0,0,0,0,0,6709,1162,7871,4143,12014,-0.0178692,0.0341682,-0.999256,0
0,0,0,0,0,6535,1166,7701,4138,11839,-0.0181635,0.0347229,-0.999232,0
0,0,0,0,0,6737,1156,7893,4205,12098,-0.0183012,0.0334388,-0.999273,0
0,0,0,0,0,6860,1251,8111,3713,11824,-0.0176825,0.0342975,-0.999255,0
0,0,0,0,0,6686,1132,7818,4118,11936,-0.0182643,0.0344468,-0.99924,0
0,0,0,0,0,6228,782,7010,2875,9885,-0.0171328,0.034183,-0.999269,0
0,0,0,0,0,2810,483,3293,1503,4796,-0.0175054,0.0344965,-0.999251,0
0,0,0,0,0,2574,444,3018,1614,4632,-0.0176948,0.0354142,-0.999216,0
0,0,0,0,0,7263,1134,8397,4288,12685,-0.0175146,0.0339722,-0.999269,0
0,0,0,0,0,6594,1155,7749,4205,11954,-0.0179769,0.0343071,-0.99925,0
0,0,0,0,0,4895,863,5758,2855,8613,-0.0183968,0.0343292,-0.999241,0
0,0,0,0,0,6552,1137,7689,4412,12101,-0.0178364,0.0342719,-0.999253,0
0,0,0,0,0,6923,1131,8054,4117,12171,-0.0182953,0.0346388,-0.999232,0
0,0,0,0,0,7218,1133,8351,3576,11927,-0.0189469,0.0332269,-0.999268,0
0,0,0,0,0,5924,1014,6938,3655,10593,-0.0175784,0.0349971,-0.999233,0
0,0,0,0,0,6578,1129,7707,4201,11908,-0.0180679,0.035419,-0.999209,0
0,0,0,0,0,6591,1128,7719,4264,11983,-0.0177428,0.0353979,-0.999216,0
0,0,0,0,0,4575,1071,5646,3093,8739,-0.0173112,0.0348627,-0.999242,0
0,0,0,0,0,7439,1132,8571,4229,12800,-0.017529,0.0344174,-0.999254,0
0,0,0,0,0,6570,1128,7698,4214,11912,-0.0177147,0.0345915,-0.999245,0
0,0,0,0,0,5993,1021,7014,3716,10730,-0.0171185,0.0344179,-0.999261,0
0,0,0,0,0,5965,1014,6979,3877,10856,-0.0171161,0.0353316,-0.999229,0
0,0,0,0,0,6588,1126,7714,4145,11859,-0.0179043,0.0347947,-0.999234,0
0,0,0,0,0,7057,1131,8188,4104,12292,-0.0181582,0.0332773,-0.999281,0
0,0,0,0,0,6531,1145,7676,4307,11983,-0.0174744,0.03476,-0.999243,0
0,0,0,0,0,6842,1131,7973,3592,11565,-0.0178834,0.0342342,-0.999254,0
0,0,0,0,0,4686,782,5468,2926,8394,-0.0175055,0.0353204,-0.999223,0
0,0,0,0,0,6634,1156,7790,4127,11917,-0.0175651,0.0346352,-0.999246,0
0,0,0,0,0,6809,1169,7978,4184,12162,-0.0180255,0.0355274,-0.999206,0
0,0,0,0,0,6600,1144,7744,3387,11131,-0.0176314,0.0353808,-0.999218,0
0,0,0,0,0,3515,599,4114,2184,6298,-0.0174932,0.034251,-0.99926,0
0,0,0,0,0,6612,1424,8036,4146,12182,-0.0174136,0.0334944,-0.999287,0
0,0,0,0,0,6574,1140,7714,4053,11767,-0.0175436,0.0351597,-0.999228,0
0,0,0,0,0,6251,1042,7293,3728,11021,-0.0167916,0.0343914,-0.999267,0
0,0,0,0,0,6013,1019,7032,3937,10969,-0.0172735,0.034591,-0.999252,0
0,0,0,0,0,6013,1019,7032,3701,10733,-0.018334,0.034308,-0.999243,0
0,0,0,0,0,5356,936,6292,3581,9873,-0.0184607,0.0352562,-0.999208,0
0,0,0,0,0,6824,1150,7974,4164,12138,-0.0175326,0.0332297,-0.999294,0
0,0,0,0,0,6839,1154,7993,4152,12145,-0.0175583,0.0345944,-0.999247,0
0,0,0,0,0,4598,673,5271,2208,7479,-0.0185614,0.0351259,-0.99921,0
0,0,0,0,0,6615,1137,7752,4129,11881,-0.0167105,0.0344741,-0.999266,0
