Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2187,415,2602,5677,8279,-0.0350029,0.0470202,-0.99828,0
0,0,0,0,0,2223,420,2643,5437,8080,-0.0356271,0.0477141,-0.998226,0
0,0,0,0,0,2297,466,2763,5577,8340,-0.0356451,0.0487338,-0.998176,0
0,0,0,0,0,2179,418,2597,6439,9036,-0.0362191,0.0487994,-0.998152,0
0,0,0,0,0,2229,411,2640,5603,8243,-0.0347629,0.0469986,-0.99829,0
0,0,0,0,0,2273,430,2703,5433,8136,-0.035358,0.0490728,-0.998169,0
0,0,0,0,0,2217,433,2650,5593,8243,-0.0353698,0.0480095,-0.99822,0
0,0,0,0,0,2209,417,2626,5534,8160,-0.0350651,0.0481034,-0.998227,0
0,0,0,0,0,2252,420,2672,5600,8272,-0.0357546,0.0498306,-0.998117,0
0,0,0,0,0,2272,406,2678,5635,8313,-0.0358933,0.0504621,-0.998081,0
0,0,0,0,0,2339,429,2768,5664,8432,-0.0362266,0.0528398,-0.997946,0
0,0,0,0,0,2342,445,2787,5636,8423,-0.0351543,0.052231,-0.998016,0
0,0,0,0,0,2426,412,2838,6715,9553,-0.0340595,0.0537582,-0.997973,0
0,0,0,0,0,2220,440,2660,5411,8071,-0.0329762,0.0502144,-0.998194,0
0,0,0,0,0,2253,420,2673,5739,8412,-0.0311626,0.0458133,-0.998464,0
0,0,0,0,0,2189,442,2631,5333,7964,-0.0303554,0.0418146,-0.998664,0
0,0,0,0,0,2208,432,2640,5378,8018,-0.0297299,0.037745,-0.998845,0
0,0,0,0,0,2617,422,3039,5214,8253,-0.0288578,0.034735,-0.99898,0
0,0,0,0,0,2279,460,2739,5422,8161,-0.0292414,0.0316406,-0.999071,0
0,0,0,0,0,2445,425,2870,5380,8250,-0.0289034,0.0325883,-0.999051,0
0,0,0,0,0,2290,426,2716,5302,8018,-0.0289449,0.0327097,-0.999046,0
0,0,0,0,0,2707,428,3135,5243,8378,-0.0285428,0.0328974,-0.999051,0
0,0,0,0,0,2194,442,2636,5297,7933,-0.0284975,0.0337063,-0.999025,0
0,0,0,0,0,2222,441,2663,5285,7948,-0.0279992,0.0325321,-0.999078,0
0,0,0,0,0,2344,467,2811,5425,8236,-0.0286328,0.0327867,-0.999052,0
0,0,0,0,0,2323,411,2734,5137,7871,-0.0301059,0.0333473,-0.99899,0
0,0,0,0,0,2226,448,2674,5382,8056,-0.0334,0.0404956,-0.998621,0
0,0,0,0,0,2349,456,2805,5317,8122,-0.0361128,0.0532252,-0.997929,0
0,0,0,0,0,2335,461,2796,5640,8436,-0.039382,0.064199,-0.99716,0
0,0,0,0,0,2281,457,2738,5587,8325,-0.0426624,0.0742219,-0.996329,0
0,0,0,0,0,2272,417,2689,5720,8409,-0.047334,0.0898809,-0.994827,0
0,0,0,0,0,2211,448,2659,6005,8664,-0.0517383,0.0978134,-0.993859,0
0,0,0,0,0,2324,425,2749,6603,9352,-0.0537529,0.102404,-0.99329,0
0,0,0,0,0,2298,437,2735,6387,9122,-0.0560296,0.106797,-0.992701,0
0,0,0,0,0,2329,452,2781,6525,9306,-0.0525654,0.101673,-0.993428,0
0,0,0,0,0,2360,440,2800,6202,9002,-0.0467224,0.0913579,-0.994721,0
0,0,0,0,0,2269,463,2732,5977,8709,-0.042329,0.0896441,-0.995074,0
0,0,0,0,0,2491,442,2933,5851,8784,-0.0409049,0.0921049,-0.994909,0
0,0,0,0,0,2393,525,2918,5960,8878,-0.0401564,0.0920406,-0.994945,0
0,0,0,0,0,2539,504,3043,6117,9160,-0.0405211,0.0925656,-0.994882,0
