Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5634,2106,7740,2607,10347,0.0197571,0.166275,-0.985881,0
0,0,0,0,0,5744,1097,6841,6985,13826,0.00829071,0.0518221,-0.998622,0
0,0,0,0,0,3075,585,3660,3978,7638,0.00600987,0.0319951,-0.99947,0
0,0,0,0,0,4198,709,4907,5309,10216,0.00552045,0.0279373,-0.999594,0
0,0,0,0,0,5827,1163,6990,8747,15737,0.00476586,0.0258436,-0.999655,0
0,0,0,0,0,3937,755,4692,5692,10384,0.00378202,0.0246119,-0.99969,0
0,0,0,0,0,3045,579,3624,4499,8123,0.002675,0.024068,-0.999707,0
0,0,0,0,0,3003,595,3598,4467,8065,0.00184607,0.0241098,-0.999708,0
0,0,0,0,0,5667,1097,6764,8587,15351,0.000969674,0.0247066,-0.999694,0
0,0,0,0,0,8540,1352,9892,7897,17789,0.000585588,0.0253418,-0.999679,0
0,0,0,0,0,4270,697,4967,5677,10644,0.000213229,0.0257718,-0.999668,0
0,0,0,0,0,3618,702,4320,5425,9745,0.00118378,0.0263113,-0.999653,0
0,0,0,0,0,5740,1097,6837,7912,14749,0.00269528,0.0268811,-0.999635,0
0,0,0,0,0,3871,741,4612,5774,10386,0.0027026,0.0276592,-0.999614,0
0,0,0,0,0,5654,1072,6726,8507,15233,0.00321095,0.0282209,-0.999597,0
0,0,0,0,0,6737,1073,7810,7348,15158,0.00352836,0.0284928,-0.999588,0
0,0,0,0,0,2927,564,3491,4464,7955,0.00395809,0.0283002,-0.999592,0
0,0,0,0,0,4664,882,5546,6984,12530,0.00571844,0.025663,-0.999654,0
0,0,0,0,0,4694,891,5585,7026,12611,0.00538312,0.0198922,-0.999788,0
0,0,0,0,0,4295,812,5107,6408,11515,0.00275217,0.00542693,-0.999981,0
0,0,0,0,0,3188,586,3774,4638,8412,-0.00152731,-0.0066807,-0.999976,0
0,0,0,0,0,5815,1113,6928,8318,15246,-0.0107538,-0.0276877,-0.999559,0
0,0,0,0,0,5798,1119,6917,8259,15176,-0.0158868,-0.0572306,-0.998235,0
0,0,0,0,0,3021,597,3618,3220,6838,-0.0104594,-0.0378652,-0.999228,0
0,0,0,0,0,2115,399,2514,2424,4938,-0.0105528,-0.0164363,-0.999809,0
0,0,0,0,0,4147,764,4911,4968,9879,-0.0186173,-0.00760232,-0.999798,0
0,0,0,0,0,6112,1113,7225,6604,13829,-0.0204656,0.00865322,-0.999753,0
0,0,0,0,0,4177,821,4998,4947,9945,-0.029821,0.0255949,-0.999227,0
0,0,0,0,0,4090,778,4868,5183,10051,-0.0415946,0.0430165,-0.998208,0
0,0,0,0,0,5437,1030,6467,7315,13782,-0.0544381,0.0532233,-0.997098,0
0,0,0,0,0,5413,1080,6493,6901,13394,-0.0511503,0.0378385,-0.997974,0
0,0,0,0,0,2928,556,3484,4093,7577,-0.037878,0.0128577,-0.9992,0
0,0,0,0,0,5178,863,6041,6166,12207,-0.030917,-0.0231859,-0.999253,0
0,0,0,0,0,4501,836,5337,6382,11719,-0.00608162,-0.0515185,-0.998654,0
0,0,0,0,0,6060,1168,7228,9808,17036,0.0244118,-0.0846655,-0.99611,0
0,0,0,0,0,3170,628,3798,5503,9301,0.035031,-0.0867431,-0.995615,0
0,0,0,0,0,2618,485,3103,4908,8011,0.0507979,-0.0728281,-0.99605,0
0,0,0,0,0,4438,838,5276,9642,14918,0.0683208,-0.117944,-0.990667,0
0,0,0,0,0,4225,833,5058,9877,14935,0.0708575,-0.148038,-0.98644,0
0,0,0,0,0,3132,611,3743,7871,11614,0.0507807,-0.181901,-0.982005,0
0,0,0,0,0,5010,949,5959,11494,17453,0.0212164,-0.294196,-0.955509,0
0,0,0,0,0,5579,1055,6634,11830,18464,0.0199046,-0.400569,-0.91605,0
0,0,0,0,0,2920,555,3475,7254,10729,0.0150683,-0.427751,-0.903771,0
0,0,0,0,0,5591,1069,6660,14505,21165,0.0289967,-0.467914,-0.883298,0
0,0,0,0,0,2995,571,3566,8963,12529,0.0335456,-0.488176,-0.8721,0
0,0,0,0,0,5708,1095,6803,15675,22478,0.0555667,-0.518701,-0.853148,0
0,0,0,0,0,3495,604,4099,10356,14455,0.0434307,-0.428887,-0.902314,0
0,0,0,0,0,3047,591,3638,11059,14697,0.016464,-0.3244,-0.945777,0
0,0,0,0,0,6340,1256,7596,17270,24866,0.00642587,-0.297989,-0.954547,0
0,0,0,0,0,3960,580,4540,10188,14728,0.056715,-0.448485,-0.891989,0
0,0,0,0,0,1984,351,2335,6688,9023,0.0433666,-0.365053,-0.929976,0
