Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5924,1147,7071,1903,8974,-0.102329,0.17619,-0.979023,0
0,0,0,0,0,6605,1242,7847,7900,15747,-0.00915507,0.0513059,-0.998641,0
0,0,0,0,0,2541,471,3012,2662,5674,0.00362142,0.0373213,-0.999297,0
0,0,0,0,0,6031,1127,7158,6761,13919,0.00974025,0.0322177,-0.999433,0
0,0,0,0,0,4189,763,4952,5204,10156,0.0098975,0.0316858,-0.999449,0
0,0,0,0,0,6154,1117,7271,7309,14580,0.0083539,0.0317619,-0.999461,0
0,0,0,0,0,4164,761,4925,5087,10012,0.00723479,0.0329189,-0.999432,0
0,0,0,0,0,5482,1022,6504,6596,13100,0.00806391,0.0345855,-0.999369,0
0,0,0,0,0,5573,1001,6574,5825,12399,0.00944038,0.0355,-0.999325,0
0,0,0,0,0,4163,820,4983,4773,9756,0.00990235,0.0373727,-0.999252,0
0,0,0,0,0,6136,1134,7270,7014,14284,0.00942188,0.0403255,-0.999142,0
0,0,0,0,0,4203,791,4994,5213,10207,0.00940101,0.0430291,-0.99903,0
0,0,0,0,0,6097,1116,7213,7084,14297,0.00852621,0.0482131,-0.998801,0
0,0,0,0,0,4180,815,4995,4725,9720,0.0111304,0.0529558,-0.998535,0
0,0,0,0,0,6273,1323,7596,6809,14405,0.0126281,0.0568793,-0.998301,0
0,0,0,0,0,6105,1124,7229,5842,13071,0.012274,0.0587129,-0.998199,0
0,0,0,0,0,5539,1008,6547,6018,12565,0.0106419,0.0609007,-0.998087,0
0,0,0,0,0,5603,1005,6608,6051,12659,0.00929487,0.0638197,-0.997918,0
0,0,0,0,0,6326,1248,7574,6690,14264,0.0104425,0.0681307,-0.997622,0
0,0,0,0,0,6327,1171,7498,6361,13859,0.0123207,0.0683806,-0.997583,0
0,0,0,0,0,4247,841,5088,5080,10168,0.0136718,0.0698256,-0.997466,0
0,0,0,0,0,6789,1146,7935,7464,15399,0.0130684,0.0747522,-0.997117,0
0,0,0,0,0,4385,809,5194,5372,10566,0.0116242,0.0800223,-0.996725,0
0,0,0,0,0,6987,1204,8191,8082,16273,0.00890524,0.094115,-0.995522,0
0,0,0,0,0,6704,1283,7987,6531,14518,0.0105035,0.0930732,-0.995604,0
0,0,0,0,0,3421,600,4021,4739,8760,0.0126943,0.0877464,-0.996062,0
0,0,0,0,0,5368,947,6315,7764,14079,0.0180156,0.0915761,-0.995635,0
0,0,0,0,0,5347,1076,6423,8098,14521,0.0193867,0.09116,-0.995648,0
0,0,0,0,0,5139,897,6036,8535,14571,0.017932,0.0952855,-0.995288,0
0,0,0,0,0,6800,1413,8213,9330,17543,0.020038,0.107044,-0.994052,0
0,0,0,0,0,6894,1195,8089,8634,16723,0.0224867,0.116733,-0.992909,0
0,0,0,0,0,2820,500,3320,5718,9038,0.0222844,0.119437,-0.992592,0
0,0,0,0,0,6756,1185,7941,12424,20365,0.0208816,0.150641,-0.988368,0
0,0,0,0,0,3474,635,4109,7348,11457,0.0195059,0.163643,-0.986327,0
0,0,0,0,0,5470,943,6413,11213,17626,0.0133657,0.201074,-0.979485,0
0,0,0,0,0,3841,678,4519,8562,13081,0.002087,0.226348,-0.974044,0
0,0,0,0,0,6452,1129,7581,13186,20767,-0.0101591,0.241451,-0.97036,0
0,0,0,0,0,3436,585,4021,8389,12410,-0.0188605,0.249506,-0.96819,0
0,0,0,0,0,6423,1137,7560,13981,21541,-0.038317,0.287498,-0.957014,0
0,0,0,0,0,3256,590,3846,8391,12237,-0.0345103,0.281125,-0.95905,0
0,0,0,0,0,2517,462,2979,6790,9769,-0.0335867,0.304709,-0.951853,0
0,0,0,0,0,3460,621,4081,9808,13889,-0.0263289,0.316652,-0.948176,0
0,0,0,0,0,6137,1117,7254,15129,22383,-0.0264093,0.338024,-0.940767,0
0,0,0,0,0,3191,582,3773,8835,12608,-0.0238431,0.333636,-0.942401,0
0,0,0,0,0,4517,827,5344,13548,18892,-0.0139964,0.340327,-0.940203,0
0,0,0,0,0,6318,1191,7509,13790,21299,-0.00344374,0.345964,-0.938242,0
0,0,0,0,0,2606,501,3107,8204,11311,0.00132809,0.332856,-0.942977,0
0,0,0,0,0,4662,885,5547,14517,20064,-0.000451908,0.34015,-0.940371,0
0,0,0,0,0,3568,664,4232,11087,15319,-0.00230819,0.330348,-0.943856,0
0,0,0,0,0,5746,1064,6810,15643,22453,-0.0128026,0.368624,-0.92949,0
0,0,0,0,0,2653,488,3141,8346,11487,-0.014803,0.382238,-0.923945,0
0,0,0,0,0,4280,754,5034,13546,18580,-0.0242365,0.408116,-0.912608,0
0,0,0,0,0,5654,993,6647,15496,22143,-0.0254685,0.428026,-0.903407,0
0,0,0,0,0,2734,486,3220,8828,12048,-0.0263841,0.454403,-0.890406,0
0,0,0,0,0,4577,856,5433,14515,19948,-0.0290722,0.447712,-0.893705,0
0,0,0,0,0,3578,628,4206,11464,15670,-0.0410291,0.45089,-0.891636,0
0,0,0,0,0,4051,702,4753,13382,18135,-0.0405401,0.44935,-0.892435,0
