Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6151,1146,7297,4597,11894,0.00658066,-0.118761,-0.992901,0
0,0,0,0,0,6904,1114,8018,9111,17129,-0.00129278,-0.00773945,-0.999969,0
0,0,0,0,0,3234,611,3845,7655,11500,-0.00167854,0.01421,-0.999898,0
0,0,0,0,0,3085,576,3661,7382,11043,-0.00158284,0.0192925,-0.999813,0
0,0,0,0,0,6158,1141,7299,13648,20947,-0.00132263,0.0193164,-0.999812,0
0,0,0,0,0,3232,609,3841,7830,11671,-0.000457502,0.0203575,-0.999793,0
0,0,0,0,0,6208,1177,7385,13820,21205,-0.00142268,0.0203347,-0.999792,0
0,0,0,0,0,3239,600,3839,7490,11329,-0.0015668,0.0218252,-0.999761,0
0,0,0,0,0,3708,684,4392,9061,13453,-0.00155626,0.0249339,-0.999688,0
0,0,0,0,0,6160,1199,7359,12364,19723,0.00122116,0.0272828,-0.999627,0
0,0,0,0,0,3245,612,3857,7765,11622,0.00288732,0.0267783,-0.999637,0
0,0,0,0,0,3964,739,4703,9350,14053,0.00228939,0.0250397,-0.999684,0
0,0,0,0,0,6191,1204,7395,11803,19198,0.00168227,0.0221208,-0.999754,0
0,0,0,0,0,3226,601,3827,7860,11687,0.000832807,0.0214698,-0.999769,0
0,0,0,0,0,5131,964,6095,11865,17960,0.00057813,0.0198696,-0.999802,0
0,0,0,0,0,3730,703,4433,8950,13383,0.000111424,0.0201808,-0.999796,0
0,0,0,0,0,3043,559,3602,7132,10734,0.000329432,0.0195995,-0.999808,0
0,0,0,0,0,5601,1368,6969,12453,19422,0.000840021,0.018477,-0.999829,0
0,0,0,0,0,3114,587,3701,7463,11164,0.00179221,0.0182245,-0.999832,0
0,0,0,0,0,4691,883,5574,11244,16818,0.00176255,0.0201308,-0.999796,0
0,0,0,0,0,3472,652,4124,8428,12552,0.00209145,0.0194931,-0.999808,0
0,0,0,0,0,5544,1023,6567,12785,19352,0.00165542,0.0206779,-0.999785,0
0,0,0,0,0,3051,568,3619,7620,11239,0.000236229,0.0223235,-0.999751,0
0,0,0,0,0,6191,1167,7358,13551,20909,-0.000590569,0.0218503,-0.999761,0
0,0,0,0,0,3231,609,3840,8114,11954,0.000271816,0.0226632,-0.999743,0
0,0,0,0,0,5022,929,5951,11908,17859,-0.000724976,0.0233522,-0.999727,0
