Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7671,1290,8961,8219,17180,-0.0687244,-0.07848,-0.994544,0
0,0,0,0,0,7615,1124,8739,247,8986,-0.0632514,-0.0333659,-0.99744,0
0,0,0,0,0,5285,1058,6343,25619,31962,-0.0654458,-0.137936,-0.988277,0
0,0,0,0,0,1833,276,2109,503,2612,-0.0614174,-0.0984607,-0.993244,0
0,0,0,0,0,3082,458,3540,260,3800,-0.06122,-0.0691719,-0.995725,0
0,0,0,0,0,7710,1140,8850,145,8995,-0.0571511,0.0127549,-0.998284,0
0,0,0,0,0,7672,1123,8795,533,9328,-0.0630248,-0.00516276,-0.997999,0
0,0,0,0,0,7513,1147,8660,173,8833,-0.0631481,0.0030902,-0.997999,0
0,0,0,0,0,7678,1119,8797,349,9146,-0.0690284,-0.0154219,-0.997496,0
0,0,0,0,0,8153,1656,9809,27664,37473,-0.0692004,-0.135985,-0.988291,0
0,0,0,0,0,2049,317,2366,516,2882,-0.0645838,-0.0963654,-0.993248,0
0,0,0,0,0,2114,315,2429,154,2583,-0.0632887,-0.0685341,-0.995639,0
0,0,0,0,0,7509,1127,8636,124,8760,-0.0299626,0.198862,-0.979569,0
0,0,0,0,0,7856,1161,9017,7646,16663,-0.0254944,0.206617,-0.97809,0
0,0,0,0,0,5267,809,6076,5877,11953,-0.0204581,0.215322,-0.976329,0
0,0,0,0,0,6969,1055,8024,7755,15779,-0.0161167,0.224567,-0.974325,0
0,0,0,0,0,4936,762,5698,5862,11560,-0.0128114,0.230533,-0.97298,0
0,0,0,0,0,7641,1194,8835,9060,17895,-0.00917398,0.236173,-0.971668,0
0,0,0,0,0,4016,622,4638,5211,9849,-0.00519019,0.241807,-0.970311,0
0,0,0,0,0,7648,1233,8881,9566,18447,-0.00186449,0.247547,-0.968874,0
0,0,0,0,0,5473,827,6300,7158,13458,-0.000205472,0.25107,-0.967969,0
0,0,0,0,0,6912,1082,7994,8639,16633,0.00123538,0.25384,-0.967245,0
0,0,0,0,0,4928,769,5697,6864,12561,0.00230965,0.257059,-0.966393,0
0,0,0,0,0,5705,910,6615,8245,14860,0.00315691,0.256691,-0.966488,0
0,0,0,0,0,7766,1243,9009,9076,18085,0.00552526,0.258567,-0.965978,0
0,0,0,0,0,4063,630,4693,5841,10534,0.00648454,0.261872,-0.965081,0
0,0,0,0,0,7755,1238,8993,10070,19063,0.00788229,0.262609,-0.96487,0
0,0,0,0,0,4906,769,5675,7198,12873,0.00887881,0.263445,-0.964633,0
0,0,0,0,0,4582,713,5295,6811,12106,0.01048,0.264228,-0.964403,0
0,0,0,0,0,7690,1212,8902,10711,19613,0.0113831,0.265215,-0.964122,0
0,0,0,0,0,4045,635,4680,6095,10775,0.0130868,0.265215,-0.964101,0
0,0,0,0,0,6333,971,7304,9329,16633,0.0146722,0.265035,-0.964127,0
0,0,0,0,0,4620,714,5334,7034,12368,0.0161333,0.264741,-0.964185,0
0,0,0,0,0,7184,1073,8257,10429,18686,0.0174935,0.264392,-0.964257,0
0,0,0,0,0,7452,1123,8575,8285,16860,0.0185012,0.263103,-0.96459,0
0,0,0,0,0,3849,609,4458,5770,10228,0.0192332,0.262723,-0.964679,0
0,0,0,0,0,7898,1229,9127,9297,18424,0.0209105,0.263756,-0.964363,0
0,0,0,0,0,7698,1222,8920,11249,20169,0.0208717,0.262902,-0.964597,0
0,0,0,0,0,3798,510,4308,4660,8968,0.0202974,0.261353,-0.96503,0
0,0,0,0,0,2096,325,2421,2857,5278,0.020461,0.258114,-0.965898,0
0,0,0,0,0,2276,357,2633,3352,5985,0.0186473,0.252621,-0.967386,0
0,0,0,0,0,7754,1239,8993,10987,19980,0.0172442,0.250196,-0.968042,0
0,0,0,0,0,5314,854,6168,7332,13500,0.0154672,0.248419,-0.968529,0
0,0,0,0,0,4914,759,5673,6955,12628,0.0144511,0.246957,-0.968919,0
0,0,0,0,0,7916,1196,9112,9330,18442,0.0144725,0.246689,-0.968987,0
0,0,0,0,0,4142,634,4776,5644,10420,0.0140897,0.246327,-0.969084,0
0,0,0,0,0,4623,732,5355,6493,11848,0.0149076,0.248375,-0.968549,0
0,0,0,0,0,7761,1191,8952,9110,18062,0.0150133,0.247002,-0.968899,0
0,0,0,0,0,7684,1234,8918,10207,19125,0.0160396,0.249618,-0.968212,0
0,0,0,0,0,3762,512,4274,4426,8700,0.0168054,0.252297,-0.967504,0
0,0,0,0,0,4064,598,4662,4668,9330,0.0174061,0.252221,-0.967513,0
0,0,0,0,0,2757,448,3205,3950,7155,0.0176932,0.253148,-0.967266,0
0,0,0,0,0,7703,1194,8897,9969,18866,0.0184926,0.253875,-0.96706,0
0,0,0,0,0,5353,822,6175,7277,13452,0.020048,0.255295,-0.966655,0
0,0,0,0,0,6268,991,7259,9157,16416,0.0207619,0.255841,-0.966496,0
0,0,0,0,0,7726,1218,8944,8745,17689,0.021197,0.254556,-0.966826,0
0,0,0,0,0,7830,1203,9033,7014,16047,0.0203501,0.254247,-0.966925,0
0,0,0,0,0,3268,509,3777,4706,8483,0.0216238,0.255589,-0.966544,0
0,0,0,0,0,7749,1189,8938,11112,20050,0.022515,0.254543,-0.966799,0
0,0,0,0,0,7761,1186,8947,8869,17816,0.0225598,0.254467,-0.966818,0
0,0,0,0,0,4077,631,4708,5870,10578,0.0230744,0.254014,-0.966925,0
0,0,0,0,0,6361,977,7338,9042,16380,0.0223593,0.252278,-0.967396,0
0,0,0,0,0,8272,1231,9503,7285,16788,0.0220769,0.252869,-0.967249,0
0,0,0,0,0,3287,508,3795,4752,8547,0.0221822,0.253397,-0.967108,0
0,0,0,0,0,6127,922,7049,8354,15403,0.0220928,0.253547,-0.967071,0
0,0,0,0,0,5896,940,6836,8519,15355,0.0222017,0.253759,-0.967013,0
0,0,0,0,0,4467,672,5139,6323,11462,0.0213172,0.253462,-0.96711,0
0,0,0,0,0,5452,820,6272,7730,14002,0.0219108,0.253248,-0.967153,0
0,0,0,0,0,6438,976,7414,9086,16500,0.0224638,0.253306,-0.967125,0
0,0,0,0,0,6618,995,7613,8013,15626,0.0225444,0.252948,-0.967217,0
0,0,0,0,0,4685,713,5398,6686,12084,0.0220509,0.253393,-0.967112,0
0,0,0,0,0,7804,1208,9012,10628,19640,0.0221831,0.254468,-0.966827,0
0,0,0,0,0,4042,641,4683,5880,10563,0.0224085,0.255373,-0.966583,0
0,0,0,0,0,5777,923,6700,8369,15069,0.0231425,0.256232,-0.966338,0
0,0,0,0,0,5819,913,6732,8540,15272,0.023374,0.257063,-0.966112,0
0,0,0,0,0,4288,696,4984,6329,11313,0.0233928,0.257076,-0.966108,0
0,0,0,0,0,6991,1092,8083,9424,17507,0.0233995,0.258111,-0.965832,0
0,0,0,0,0,4964,786,5750,7370,13120,0.0230141,0.258313,-0.965787,0
0,0,0,0,0,6412,968,7380,9317,16697,0.0239107,0.259042,-0.96557,0
0,0,0,0,0,4671,756,5427,6967,12394,0.0246618,0.259781,-0.965353,0
0,0,0,0,0,7704,1249,8953,9365,18318,0.0247511,0.260422,-0.965178,0
0,0,0,0,0,4095,631,4726,6113,10839,0.0257894,0.260977,-0.965001,0
0,0,0,0,0,6364,1018,7382,9219,16601,0.0272412,0.260951,-0.964968,0
0,0,0,0,0,4652,732,5384,7023,12407,0.0286309,0.261508,-0.964777,0
0,0,0,0,0,5977,903,6880,8417,15297,0.0295871,0.26269,-0.964427,0
0,0,0,0,0,4332,669,5001,5759,10760,0.0309065,0.26431,-0.963942,0
0,0,0,0,0,3848,605,4453,5908,10361,0.0319253,0.263385,-0.964162,0
0,0,0,0,0,7776,1266,9042,10774,19816,0.0332362,0.263479,-0.964093,0
0,0,0,0,0,4115,643,4758,6304,11062,0.0347442,0.263099,-0.964143,0
0,0,0,0,0,5074,803,5877,7697,13574,0.0352872,0.26321,-0.964093,0
