Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7053,1188,8241,7195,15436,-0.115184,-0.0814493,-0.989999,0
0,0,0,0,0,6325,1159,7484,7379,14863,-0.0329357,-0.0314182,-0.998964,0
0,0,0,0,0,3587,607,4194,2421,6615,-0.01122,0.011594,-0.99987,0
0,0,0,0,0,6274,1124,7398,4355,11753,-0.000201198,0.0274462,-0.999623,0
0,0,0,0,0,6340,1138,7478,4236,11714,0.00627366,0.0346132,-0.999381,0
0,0,0,0,0,6270,1127,7397,4257,11654,0.00844753,0.036049,-0.999314,0
0,0,0,0,0,4380,793,5173,2920,8093,0.00898999,0.0344565,-0.999366,0
0,0,0,0,0,6290,1128,7418,4186,11604,0.00993296,0.0347519,-0.999347,0
0,0,0,0,0,6378,1148,7526,3996,11522,0.0105149,0.0354584,-0.999316,0
0,0,0,0,0,6355,1123,7478,4220,11698,0.0102738,0.0352227,-0.999327,0
0,0,0,0,0,6469,1130,7599,4236,11835,0.010329,0.036481,-0.999281,0
0,0,0,0,0,6269,1140,7409,4240,11649,0.0107363,0.0381495,-0.999214,0
0,0,0,0,0,6350,1143,7493,4183,11676,0.00950832,0.0376234,-0.999247,0
0,0,0,0,0,6359,1150,7509,4173,11682,0.00927422,0.0358373,-0.999315,0
0,0,0,0,0,6351,1145,7496,4271,11767,0.010989,0.0355905,-0.999306,0
0,0,0,0,0,5726,1031,6757,3708,10465,0.0104431,0.0347969,-0.99934,0
0,0,0,0,0,6383,1138,7521,4151,11672,0.00920543,0.0378964,-0.999239,0
0,0,0,0,0,4410,746,5156,2211,7367,0.00399576,0.0437979,-0.999032,0
0,0,0,0,0,2705,408,3113,1596,4709,0.00438234,0.0445918,-0.998996,0
0,0,0,0,0,2490,444,2934,1702,4636,0.00224574,0.0447492,-0.998996,0
0,0,0,0,0,6453,1141,7594,4347,11941,-0.00175768,0.0500791,-0.998744,0
0,0,0,0,0,6424,1127,7551,4300,11851,-0.00506438,0.0509786,-0.998687,0
0,0,0,0,0,5827,1017,6844,4132,10976,-0.00605799,0.0516285,-0.998648,0
0,0,0,0,0,6492,1141,7633,4626,12259,-0.00674647,0.0536215,-0.998539,0
0,0,0,0,0,6434,1130,7564,4722,12286,-0.00633278,0.0539748,-0.998522,0
0,0,0,0,0,6715,1126,7841,4487,12328,-0.00265584,0.0584503,-0.998287,0
0,0,0,0,0,5826,1036,6862,4071,10933,0.00285826,0.0626456,-0.998032,0
0,0,0,0,0,6521,1122,7643,4539,12182,0.00638787,0.0634781,-0.997963,0
0,0,0,0,0,5871,1049,6920,4043,10963,0.00770372,0.0627043,-0.998002,0
0,0,0,0,0,6495,1137,7632,4433,12065,0.00864579,0.0630374,-0.997974,0
0,0,0,0,0,9790,788,10578,3026,13604,0.00844782,0.0658478,-0.997794,0
0,0,0,0,0,3449,616,4065,2373,6438,0.00990975,0.0661561,-0.99776,0
0,0,0,0,0,6622,1187,7809,4498,12307,0.00916461,0.0645495,-0.997872,0
0,0,0,0,0,6866,1163,8029,3283,11312,0.011167,0.0671818,-0.997678,0
0,0,0,0,0,4587,796,5383,3101,8484,0.0108232,0.0662197,-0.997746,0
0,0,0,0,0,6014,1011,7025,3901,10926,0.00843457,0.0648467,-0.99786,0
0,0,0,0,0,7003,1129,8132,4358,12490,0.00415028,0.0652037,-0.997863,0
0,0,0,0,0,4935,776,5711,2478,8189,0.00303676,0.0648282,-0.997892,0
0,0,0,0,0,2313,406,2719,1591,4310,0.0032621,0.0618762,-0.998079,0
0,0,0,0,0,2331,386,2717,1479,4196,0.00537698,0.0613733,-0.9981,0
0,0,0,0,0,7320,1314,8634,4468,13102,0.00985332,0.0606342,-0.998111,0
0,0,0,0,0,6598,1128,7726,4151,11877,0.0073978,0.058328,-0.99827,0
0,0,0,0,0,5881,1010,6891,3615,10506,0.00909964,0.0714319,-0.997404,0
0,0,0,0,0,7373,1290,8663,3311,11974,0.0132079,0.0705908,-0.997418,0
0,0,0,0,0,4849,836,5685,2496,8181,0.0118772,0.0765719,-0.996993,0
0,0,0,0,0,6650,1147,7797,3859,11656,-0.00765081,0.0364783,-0.999305,0
0,0,0,0,0,6580,1229,7809,5313,13122,-0.0152941,0.0262157,-0.999539,0
0,0,0,0,0,4553,819,5372,9700,15072,-0.0126977,0.0264409,-0.99957,0
0,0,0,0,0,3420,642,4062,8987,13049,-0.01459,0.0313782,-0.999401,0
0,0,0,0,0,6553,1211,7764,14794,22558,-0.0189528,0.0300484,-0.999369,0
0,0,0,0,0,2725,527,3252,7296,10548,-0.0286639,0.0203003,-0.999383,0
0,0,0,0,0,4812,974,5786,12684,18470,-0.0355249,0.00850292,-0.999333,0
0,0,0,0,0,3573,675,4248,9497,13745,-0.0458925,-0.000722815,-0.998946,0
0,0,0,0,0,4575,897,5472,11641,17113,-0.0447428,-0.00446418,-0.998989,0
0,0,0,0,0,4110,777,4887,11115,16002,-0.0354079,0.000774388,-0.999373,0
0,0,0,0,0,4076,781,4857,11035,15892,-0.0384841,0.0125864,-0.99918,0
0,0,0,0,0,4775,1017,5792,13191,18983,-0.0559855,0.0170826,-0.998285,0
0,0,0,0,0,3621,685,4306,10260,14566,-0.0543002,0.0111888,-0.998462,0
0,0,0,0,0,5869,1112,6981,14923,21904,-0.0373758,0.00888172,-0.999262,0
0,0,0,0,0,3219,601,3820,8226,12046,-0.0234894,0.0193935,-0.999536,0
0,0,0,0,0,3625,680,4305,9461,13766,-0.0188654,0.026833,-0.999462,0
0,0,0,0,0,6690,1212,7902,12979,20881,-0.00921886,0.0346718,-0.999356,0
0,0,0,0,0,6562,1221,7783,13239,21022,-0.0120665,0.0458484,-0.998876,0
0,0,0,0,0,3240,511,3751,5973,9724,-0.0173458,0.0535404,-0.998415,0
0,0,0,0,0,1766,325,2091,3983,6074,-0.0144459,0.053754,-0.99845,0
0,0,0,0,0,2422,452,2874,5416,8290,-0.00932409,0.0550736,-0.998439,0
0,0,0,0,0,6509,1184,7693,12262,19955,-0.00167976,0.0547818,-0.998497,0
0,0,0,0,0,6589,1225,7814,13340,21154,0.00378352,0.0662598,-0.997795,0
0,0,0,0,0,3267,526,3793,5467,9260,0.00652989,0.0650129,-0.997863,0
0,0,0,0,0,2002,362,2364,4069,6433,0.0100343,0.0637574,-0.997915,0
0,0,0,0,0,2752,496,3248,5536,8784,0.0118557,0.0581167,-0.998239,0
0,0,0,0,0,1882,343,2225,3469,5694,0.015834,0.0575967,-0.998214,0
0,0,0,0,0,5031,865,5896,8714,14610,0.0177321,0.055282,-0.998313,0
0,0,0,0,0,6474,1225,7699,13344,21043,0.0166073,0.0488295,-0.998669,0
0,0,0,0,0,5234,957,6191,7869,14060,0.0166605,0.0470998,-0.998751,0
0,0,0,0,0,3412,609,4021,6680,10701,0.0177977,0.0520873,-0.998484,0
0,0,0,0,0,5362,951,6313,10192,16505,0.0181997,0.0532931,-0.998413,0
0,0,0,0,0,3979,693,4672,7913,12585,0.0168879,0.0489948,-0.998656,0
0,0,0,0,0,4927,902,5829,9604,15433,0.015106,0.0455069,-0.99885,0
0,0,0,0,0,3986,647,4633,7409,12042,0.0142702,0.0457562,-0.998851,0
0,0,0,0,0,6655,1044,7699,10499,18198,0.0149371,0.0505133,-0.998612,0
0,0,0,0,0,4225,739,4964,8106,13070,0.0170118,0.0524957,-0.998476,0
0,0,0,0,0,3896,704,4600,7973,12573,0.0174117,0.051964,-0.998497,0
0,0,0,0,0,4012,694,4706,7553,12259,0.0165572,0.0510349,-0.99856,0
0,0,0,0,0,6494,1151,7645,11244,18889,0.0162024,0.0507166,-0.998582,0
0,0,0,0,0,4114,752,4866,8095,12961,0.0159864,0.0512587,-0.998557,0
0,0,0,0,0,6648,1188,7836,13064,20900,0.017101,0.0503201,-0.998587,0
0,0,0,0,0,3229,522,3751,5191,8942,0.0169127,0.048812,-0.998665,0
0,0,0,0,0,2005,357,2362,3561,5923,0.0164702,0.0490115,-0.998662,0
0,0,0,0,0,2007,358,2365,4269,6634,0.0159234,0.04802,-0.998719,0
0,0,0,0,0,6484,1179,7663,12095,19758,0.0172323,0.047876,-0.998705,0
0,0,0,0,0,4518,802,5320,8644,13964,0.0178372,0.0494594,-0.998617,0
0,0,0,0,0,5282,954,6236,10196,16432,0.0188788,0.0499114,-0.998575,0
0,0,0,0,0,3850,691,4541,7788,12329,0.0177977,0.0505033,-0.998565,0
0,0,0,0,0,6307,1048,7355,10774,18129,0.0150891,0.050725,-0.998599,0
0,0,0,0,0,3196,586,3782,6603,10385,0.0143798,0.0496402,-0.998664,0
0,0,0,0,0,6406,1154,7560,12243,19803,0.0156501,0.0503831,-0.998607,0
0,0,0,0,0,4169,764,4933,8172,13105,0.0162175,0.0518521,-0.998523,0
0,0,0,0,0,6477,1480,7957,10926,18883,0.0161446,0.0518968,-0.998522,0
0,0,0,0,0,3198,574,3772,6356,10128,0.0159983,0.0499893,-0.998622,0
0,0,0,0,0,6484,1161,7645,11468,19113,0.0151075,0.048966,-0.998686,0
0,0,0,0,0,4142,779,4921,8174,13095,0.0148282,0.0498842,-0.998645,0
0,0,0,0,0,6454,1180,7634,11205,18839,0.0160541,0.0509006,-0.998575,0
0,0,0,0,0,3203,574,3777,6387,10164,0.0161085,0.0512171,-0.998558,0
0,0,0,0,0,5854,1054,6908,11064,17972,0.015504,0.0503562,-0.998611,0
0,0,0,0,0,4167,750,4917,8254,13171,0.0153527,0.0504299,-0.99861,0
0,0,0,0,0,5337,939,6276,9830,16106,0.0150371,0.0498695,-0.998643,0
0,0,0,0,0,3916,708,4624,7668,12292,0.0155209,0.0492146,-0.998668,0
0,0,0,0,0,5924,1100,7024,11302,18326,0.0157133,0.0480109,-0.998723,0
0,0,0,0,0,4162,764,4926,8083,13009,0.01596,0.049234,-0.99866,0
0,0,0,0,0,3867,705,4572,7927,12499,0.0155893,0.0489405,-0.99868,0
0,0,0,0,0,5825,1038,6863,11979,18842,0.0148378,0.0490556,-0.998686,0
0,0,0,0,0,4164,785,4949,8247,13196,0.01644,0.0509709,-0.998565,0
0,0,0,0,0,3848,695,4543,7695,12238,0.0172462,0.0511289,-0.998543,0
0,0,0,0,0,5852,1044,6896,10949,17845,0.018003,0.0547363,-0.998339,0
0,0,0,0,0,6386,1038,7424,11413,18837,0.0190224,0.0640309,-0.997767,0
0,0,0,0,0,4212,752,4964,7068,12032,0.0197032,0.0690716,-0.997417,0
0,0,0,0,0,2252,411,2663,3884,6547,0.0203529,0.0690915,-0.997403,0
0,0,0,0,0,1937,344,2281,3664,5945,0.02293,0.0707085,-0.997233,0
0,0,0,0,0,5998,1041,7039,10834,17873,0.0307661,0.0819843,-0.996159,0
0,0,0,0,0,6553,1086,7639,8241,15880,0.0373898,0.0938098,-0.994888,0
0,0,0,0,0,3249,575,3824,5577,9401,0.0406383,0.100918,-0.994064,0
0,0,0,0,0,6011,1037,7048,9585,16633,0.0491232,0.126173,-0.990791,0
0,0,0,0,0,4138,764,4902,6314,11216,0.0564709,0.13105,-0.989766,0
0,0,0,0,0,5779,1038,6817,8030,14847,0.0694767,0.135419,-0.988349,0
0,0,0,0,0,6364,1138,7502,7915,15417,0.113877,0.187931,-0.975558,0
0,0,0,0,0,4106,729,4835,5074,9909,0.120692,0.21466,-0.969203,0
0,0,0,0,0,3418,579,3997,3970,7967,0.108037,0.196385,-0.974557,0
0,0,0,0,0,2175,401,2576,2734,5310,0.119418,0.217301,-0.968772,0
0,0,0,0,0,5774,1027,6801,7699,14500,0.139262,0.259433,-0.955668,0
