Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,23414,712,1043,25169,343,25512,-0.106479,-0.0287385,-0.9939,0
0,0,0,0,12171,219,519,12909,252,13161,-0.0819911,0.120367,-0.989338,0
0,0,0,0,17541,288,688,18517,330,18847,-0.239499,0.00948328,-0.97085,0
0,0,0,0,9829,248,535,10612,253,10865,-0.036965,0.233033,-0.971766,0
0,0,0,0,12309,198,667,13174,343,13517,-0.374388,-0.118134,-0.919716,0
0,0,0,0,12053,181,667,12901,292,13193,0.0859062,0.365216,-0.926951,0
0,0,0,0,17784,185,681,18650,311,18961,-0.293053,-0.154368,-0.943552,0
0,0,0,0,9627,109,540,10276,254,10530,0.0510012,0.359071,-0.931916,0
0,0,0,0,19027,383,1006,20416,471,20887,-0.205894,-0.0994732,-0.973505,0
0,0,0,0,18356,300,719,19375,310,19685,-0.0687014,0.228459,-0.971126,0
0,0,0,0,10010,142,547,10699,261,10960,-0.21326,-0.047709,-0.97583,0
0,0,0,0,19318,337,978,20633,459,21092,-0.0702635,0.226541,-0.971464,0
0,0,0,0,13675,309,671,14655,311,14966,-0.268226,-0.077545,-0.96023,0
0,0,0,0,18113,206,747,19066,423,19489,0.00735007,0.267467,-0.963539,0
0,0,0,0,10015,156,550,10721,263,10984,-0.140128,-0.0265296,-0.989778,0
0,0,0,0,16146,132,549,16827,255,17082,-0.0774298,0.144307,-0.986499,0
0,0,0,0,8497,118,445,9060,219,9279,-0.220261,-0.00257225,-0.975438,0
0,0,0,0,13769,275,763,14807,330,15137,-0.0619335,0.194697,-0.978906,0
0,0,0,0,20361,285,1026,21672,340,22012,-0.224962,-0.0296663,-0.973916,0
0,0,0,0,9224,198,486,9908,193,10101,-0.0361499,0.467362,-0.883327,0
0,0,0,0,5538,50,285,5873,126,5999,-0.0876301,-0.0345173,-0.995555,0
0,0,0,0,20163,328,771,21262,342,21604,-0.0822399,0.0891129,-0.99262,0
0,0,0,0,13758,253,582,14593,260,14853,-0.0800787,0.0410918,-0.995941,0
0,0,0,0,16228,298,878,17404,361,17765,-0.109205,0.0754369,-0.991153,0
0,0,0,0,19130,302,714,20146,308,20454,-0.0663732,0.0416299,-0.996926,0
0,0,0,0,20873,243,671,21787,303,22090,-0.142839,0.10456,-0.984207,0
0,0,0,0,8573,105,454,9132,165,9297,-0.111096,0.067465,-0.991517,0
0,0,0,0,5012,71,249,5332,120,5452,-0.0725206,0.0437205,-0.996408,0
0,0,0,0,19344,216,697,20257,324,20581,-0.0814286,0.0501834,-0.995415,0
0,0,0,0,13247,258,684,14189,329,14518,-0.0971993,0.0638588,-0.993214,0
0,0,0,0,19956,166,693,20815,326,21141,-0.067363,0.0370214,-0.997042,0
0,0,0,0,10021,179,558,10758,250,11008,-0.101386,0.0720364,-0.992236,0
0,0,0,0,15306,357,820,16483,392,16875,-0.113744,0.0690559,-0.991107,0
0,0,0,0,15505,344,854,16703,391,17094,-0.104223,0.075826,-0.991659,0
0,0,0,0,11108,162,601,11871,289,12160,-0.0757082,0.0430447,-0.9962,0
0,0,0,0,20276,252,689,21217,330,21547,-0.194165,0.143319,-0.970443,0
