Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,16938,175,630,17743,265,18008,-0.0474726,-0.049733,-0.997634,0
0,0,0,0,8850,141,464,9455,193,9648,-0.0163138,0.0163208,-0.999734,0
0,0,0,0,16931,332,898,18161,391,18552,-0.0264828,-0.0283084,-0.999248,0
0,0,0,0,15523,219,608,16350,250,16600,0.000439255,-0.0383664,-0.999264,0
0,0,0,0,16315,160,602,17077,251,17328,-0.0440073,-0.0130941,-0.998945,0
0,0,0,0,8726,193,459,9378,205,9583,-0.0153145,-0.0271471,-0.999514,0
0,0,0,0,16143,243,998,17384,432,17816,-0.0180655,-0.0268655,-0.999476,0
0,0,0,0,11529,243,659,12431,252,12683,-0.0331856,-0.0175411,-0.999295,0
0,0,0,0,16793,181,663,17637,251,17888,-0.0358633,-0.018774,-0.99918,0
0,0,0,0,16283,206,604,17093,278,17371,-0.0339629,-0.0242946,-0.999128,0
0,0,0,0,16092,160,605,16857,259,17116,-0.00902479,-0.029198,-0.999533,0
0,0,0,0,9407,129,492,10028,193,10221,-0.0318801,-0.0228507,-0.99923,0
0,0,0,0,14095,208,745,15048,297,15345,-0.026081,-0.0250563,-0.999346,0
0,0,0,0,17961,239,605,18805,253,19058,-0.0336912,-0.0167035,-0.999293,0
0,0,0,0,8735,120,373,9228,157,9385,-0.0391157,-0.0166436,-0.999096,0
0,0,0,0,5961,86,320,6367,131,6498,-0.0310571,-0.0233808,-0.999244,0
0,0,0,0,15699,212,792,16703,335,17038,-0.0570948,-0.00908364,-0.998327,0
0,0,0,0,17571,246,896,18713,374,19087,-0.0089607,-0.0377115,-0.999248,0
0,0,0,0,15341,191,603,16135,261,16396,-0.0183394,-0.0245706,-0.99953,0
0,0,0,0,19151,266,660,20077,282,20359,0.0134929,-0.0490314,-0.998706,0
0,0,0,0,10613,150,495,11258,165,11423,-0.0487467,-0.0103001,-0.998758,0
0,0,0,0,6202,96,280,6578,117,6695,-0.0101636,-0.0369431,-0.999266,0
0,0,0,0,4635,64,245,4944,104,5048,-0.0450602,-0.0138927,-0.998888,0
0,0,0,0,16936,153,604,17693,251,17944,-0.0370072,-0.0155755,-0.999194,0
0,0,0,0,11933,175,646,12754,251,13005,-0.0181229,-0.0255391,-0.999509,0
0,0,0,0,11420,181,601,12202,250,12452,-0.0172389,-0.0300095,-0.999401,0
0,0,0,0,11509,170,607,12286,278,12564,-0.0359025,-0.0174883,-0.999202,0
0,0,0,0,16436,144,491,17071,206,17277,0.00749181,-0.0460104,-0.998913,0
0,0,0,0,9291,121,502,9914,205,10119,-0.0338183,-0.018878,-0.99925,0
0,0,0,0,18370,227,928,19525,378,19903,-0.0273839,-0.0184367,-0.999455,0
0,0,0,0,11559,143,619,12321,252,12573,-0.016393,-0.0287216,-0.999453,0
0,0,0,0,18416,228,610,19254,252,19506,-0.0550181,-0.00880318,-0.998447,0
0,0,0,0,11876,185,606,12667,251,12918,-0.0408062,-0.0165875,-0.999029,0
0,0,0,0,19580,320,989,20889,410,21299,-0.0176425,-0.0265738,-0.999491,0
0,0,0,0,8495,120,393,9008,161,9169,-0.0302775,-0.0194496,-0.999352,0
0,0,0,0,5024,70,246,5340,104,5444,-0.0355267,-0.0192813,-0.999183,0
0,0,0,0,5415,87,293,5795,123,5918,-0.0239673,-0.0250172,-0.9994,0
0,0,0,0,17096,247,878,18221,362,18583,-0.0371461,-0.0179934,-0.999148,0
0,0,0,0,16092,175,603,16870,253,17123,-0.033575,-0.0192528,-0.999251,0
0,0,0,0,8780,141,462,9383,192,9575,-0.037622,-0.0175911,-0.999137,0
0,0,0,0,16924,180,608,17712,251,17963,-0.0268963,-0.022411,-0.999387,0
0,0,0,0,8842,128,473,9443,194,9637,-0.00934856,-0.0341138,-0.999374,0
0,0,0,0,18303,214,611,19128,252,19380,-0.0146696,-0.0308082,-0.999418,0
0,0,0,0,11755,161,609,12525,258,12783,-0.0349616,-0.0175352,-0.999235,0
0,0,0,0,18006,179,659,18844,272,19116,-0.0141786,-0.031254,-0.999411,0
0,0,0,0,8998,139,497,9634,205,9839,-0.026188,-0.0260489,-0.999318,0
0,0,0,0,18907,262,980,20149,445,20594,-0.0358437,-0.0180385,-0.999195,0
0,0,0,0,12347,157,504,13008,205,13213,-0.00241972,-0.0352577,-0.999375,0
0,0,0,0,19638,315,954,20907,272,21179,-0.0449886,-0.0134365,-0.998897,0
0,0,0,0,8746,140,391,9277,163,9440,-0.0356856,-0.0208914,-0.999145,0
0,0,0,0,6106,132,334,6572,137,6709,-0.0292036,-0.0234646,-0.999298,0
0,0,0,0,7774,152,439,8365,172,8537,0.0107207,-0.0478219,-0.998798,0
0,0,0,0,19927,203,661,20791,271,21062,-0.00403123,-0.0395128,-0.999211,0
0,0,0,0,12509,141,489,13139,204,13343,-0.0399478,-0.0178549,-0.999042,0
0,0,0,0,19694,276,677,20647,275,20922,-0.00849086,-0.0390151,-0.999203,0
0,0,0,0,8120,113,392,8625,137,8762,-0.0322864,-0.0172474,-0.99933,0
0,0,0,0,5217,90,247,5554,104,5658,-0.0318596,-0.0177654,-0.999334,0
0,0,0,0,6551,99,348,6998,153,7151,-0.00818075,-0.0369765,-0.999283,0
