Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,22845,708,1535,25088,274,25362,-0.0398822,-0.0613184,-0.997321,0
0,0,0,0,8644,114,397,9155,133,9288,0.023428,-0.0156916,-0.999602,0
0,0,0,0,7444,144,462,8050,212,8262,-0.00629805,-0.0414785,-0.99912,0
0,0,0,0,19992,332,1106,21430,366,21796,0.0156786,-0.0111277,-0.999815,0
0,0,0,0,13125,164,591,13880,194,14074,-0.00276231,-0.0188,-0.999819,0
0,0,0,0,11651,164,766,12581,219,12800,0.00176774,-0.0179022,-0.999838,0
0,0,0,0,18319,168,768,19255,251,19506,0.0170718,-0.00994983,-0.999805,0
0,0,0,0,10628,188,586,11402,222,11624,-0.00550444,-0.0354211,-0.999357,0
0,0,0,0,15746,406,977,17129,309,17438,0.00871795,-0.00639516,-0.999942,0
0,0,0,0,17747,182,785,18714,270,18984,-0.00360187,-0.0247438,-0.999687,0
0,0,0,0,10037,134,583,10754,196,10950,-0.00853645,-0.0367678,-0.999287,0
0,0,0,0,19880,254,779,20913,270,21183,0.0102983,-0.00951077,-0.999902,0
0,0,0,0,9047,133,403,9583,132,9715,0.000121923,-0.0252452,-0.999681,0
0,0,0,0,5674,103,306,6083,102,6185,0.00598468,-0.00891925,-0.999942,0
0,0,0,0,5874,121,335,6330,111,6441,-0.010981,-0.0342714,-0.999352,0
0,0,0,0,19516,343,1125,20984,362,21346,0.0264489,0.00229324,-0.999648,0
0,0,0,0,16148,192,615,16955,214,17169,-0.0421327,-0.0797375,-0.995925,0
0,0,0,0,8311,135,476,8922,157,9079,0.02792,-0.00938232,-0.999566,0
0,0,0,0,19488,356,772,20616,251,20867,-0.018699,-0.0385029,-0.999084,0
0,0,0,0,18397,242,767,19406,251,19657,0.0169883,-0.0154596,-0.999736,0
0,0,0,0,9935,219,714,10868,195,11063,-0.013555,-0.0404103,-0.999091,0
0,0,0,0,18995,297,1108,20400,311,20711,0.0107024,-0.0132042,-0.999856,0
0,0,0,0,18467,174,762,19403,252,19655,0.0013502,-0.0223609,-0.999749,0
0,0,0,0,10284,123,582,10989,193,11182,0.00291523,-0.0143895,-0.999892,0
0,0,0,0,19345,269,763,20377,272,20649,0.00547528,-0.0184793,-0.999814,0
0,0,0,0,13354,251,765,14370,266,14636,-0.00924575,-0.0508875,-0.998662,0
0,0,0,0,15716,268,905,16889,297,17186,0.0130138,-0.00793375,-0.999884,0
0,0,0,0,14613,178,843,15634,272,15906,-0.000931915,-0.0252807,-0.99968,0
0,0,0,0,14139,213,745,15097,210,15307,0.00606105,-0.0131156,-0.999896,0
0,0,0,0,13231,181,771,14183,252,14435,0.0153498,-0.0113896,-0.999817,0
0,0,0,0,19435,364,1155,20954,367,21321,-0.0209439,-0.0405078,-0.99896,0
0,0,0,0,17242,266,647,18155,203,18358,0.0157139,-0.0103585,-0.999823,0
0,0,0,0,10208,191,586,10985,193,11178,-0.0214702,-0.0399312,-0.998972,0
0,0,0,0,19210,300,863,20373,254,20627,0.0247917,-0.0165769,-0.999555,0
0,0,0,0,13528,280,763,14571,252,14823,-0.000757707,-0.0125412,-0.999921,0
0,0,0,0,19019,245,710,19974,234,20208,0.00561173,-0.0227519,-0.999725,0
0,0,0,0,12390,220,723,13333,259,13592,-0.00270728,-0.0311378,-0.999511,0
0,0,0,0,18655,245,771,19671,254,19925,-0.000228439,-0.0160267,-0.999872,0
0,0,0,0,13211,249,765,14225,272,14497,0.00705317,-0.0197039,-0.999781,0
0,0,0,0,17120,230,722,18072,239,18311,-0.00708265,-0.0425176,-0.999071,0
0,0,0,0,9600,171,554,10325,184,10509,0.00779326,-0.0133874,-0.99988,0
0,0,0,0,19518,362,1116,20996,372,21368,-0.00143834,-0.0297503,-0.999556,0
0,0,0,0,13360,236,763,14359,252,14611,-0.00276611,-0.0213564,-0.999768,0
0,0,0,0,19097,239,772,20108,251,20359,0.00548517,-0.018915,-0.999806,0
0,0,0,0,13101,188,775,14064,251,14315,-0.00299616,-0.0236246,-0.999716,0
0,0,0,0,17429,203,710,18342,233,18575,-0.000276899,-0.00770842,-0.99997,0
0,0,0,0,12277,164,709,13150,233,13383,0.0097019,-0.012493,-0.999875,0
0,0,0,0,19513,247,765,20525,258,20783,-0.00415643,-0.0242356,-0.999698,0
0,0,0,0,13314,233,759,14306,251,14557,0.0100526,-0.0132262,-0.999862,0
0,0,0,0,18466,213,766,19445,253,19698,-0.00500803,-0.0257423,-0.999656,0
0,0,0,0,10093,189,586,10868,216,11084,0.0254384,-0.00305545,-0.999672,0
0,0,0,0,19459,367,1107,20933,383,21316,-0.0128043,-0.0363069,-0.999259,0
0,0,0,0,13175,265,784,14224,217,14441,0.0248573,-0.00740173,-0.999664,0
0,0,0,0,12239,186,712,13137,237,13374,-0.0175736,-0.0366246,-0.999175,0
0,0,0,0,19623,243,796,20662,252,20914,0.0151466,-0.013178,-0.999798,0
0,0,0,0,16512,138,602,17252,194,17446,-0.0233586,-0.0499233,-0.99848,0
0,0,0,0,8286,139,473,8898,158,9056,0.0143525,-0.010497,-0.999842,0
0,0,0,0,19600,246,878,20724,324,21048,-0.00275118,-0.0278596,-0.999608,0
0,0,0,0,12780,124,589,13493,192,13685,0.00687374,-0.0198074,-0.99978,0
0,0,0,0,11566,202,668,12436,217,12653,0.0026509,-0.0166561,-0.999858,0
0,0,0,0,14408,183,856,15447,286,15733,-5.56917e-05,-0.0260644,-0.99966,0
0,0,0,0,19107,230,766,20103,251,20354,-0.00127587,-0.0198507,-0.999802,0
0,0,0,0,10061,178,592,10831,192,11023,0.00373432,-0.0194544,-0.999804,0
0,0,0,0,19374,261,766,20401,253,20654,0.00685954,-0.0107611,-0.999919,0
0,0,0,0,17992,234,771,18997,251,19248,-0.00328099,-0.0211635,-0.999771,0
0,0,0,0,10313,190,599,11102,193,11295,-0.000922292,-0.00931129,-0.999956,0
0,0,0,0,18628,263,770,19661,258,19919,0.0206287,-0.0242533,-0.999493,0
0,0,0,0,10204,121,589,10914,211,11125,-0.0356624,-0.0579839,-0.99768,0
0,0,0,0,18773,204,765,19742,276,20018,0.0197313,-0.00794253,-0.999774,0
0,0,0,0,10114,166,601,10881,193,11074,-0.00640946,-0.0319785,-0.999468,0
0,0,0,0,15744,223,906,16873,296,17169,0.00693256,-0.0226489,-0.999719,0
0,0,0,0,18695,240,769,19704,253,19957,0.00608012,-0.0165554,-0.999844,0
0,0,0,0,10172,198,590,10960,194,11154,-0.00647904,-0.0200079,-0.999779,0
0,0,0,0,19767,339,1112,21218,363,21581,0.0155573,-0.013222,-0.999792,0
0,0,0,0,16829,201,603,17633,206,17839,-0.0119102,-0.0254435,-0.999605,0
0,0,0,0,8563,151,475,9189,156,9345,0.0172892,-0.0165629,-0.999713,0
