Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19508,171,771,20450,274,20724,-0.263522,-0.41003,-0.873174,0
0,0,0,0,12828,84,718,13630,257,13887,0.137463,0.499881,-0.855116,0
0,0,0,0,12647,116,812,13575,231,13806,-0.0940457,-0.309904,-0.946105,0
0,0,0,0,10995,87,665,11747,248,11995,0.0255057,0.562488,-0.826412,0
0,0,0,0,18917,109,1025,20051,370,20421,-0.0262553,-0.282783,-0.958824,0
0,0,0,0,12567,96,706,13369,269,13638,0.0269634,0.631184,-0.775164,0
0,0,0,0,16523,93,933,17549,348,17897,-0.00379401,-0.30797,-0.951389,0
0,0,0,0,11848,143,666,12657,240,12897,0.0105972,0.632293,-0.774657,0
0,0,0,0,18196,100,710,19006,258,19264,-0.0231585,-0.483337,-0.875128,0
0,0,0,0,9662,61,544,10267,199,10466,-0.00578112,0.49708,-0.867686,0
0,0,0,0,18529,157,1040,19726,373,20099,0.0198161,-0.287085,-0.9577,0
0,0,0,0,12615,131,699,13445,260,13705,0.00401868,0.601031,-0.799216,0
0,0,0,0,16750,298,850,17898,240,18138,-0.00315533,-0.442465,-0.89678,0
0,0,0,0,11840,74,652,12566,240,12806,0.0328033,0.48958,-0.871341,0
0,0,0,0,18592,87,703,19382,259,19641,-0.0167688,-0.34548,-0.938276,0
0,0,0,0,17072,93,705,17870,283,18153,0.00933594,0.636684,-0.771068,0
0,0,0,0,9566,80,545,10191,229,10420,-7.66204e-05,-0.484584,-0.874744,0
0,0,0,0,18494,159,1042,19695,386,20081,0.0236837,0.492936,-0.869743,0
0,0,0,0,17043,186,702,17931,274,18205,-0.00727078,-0.254011,-0.967174,0
0,0,0,0,9717,69,545,10331,222,10553,0.036296,0.533075,-0.845289,0
0,0,0,0,18759,101,704,19564,259,19823,-0.0142756,-0.329053,-0.944204,0
0,0,0,0,12839,130,702,13671,252,13923,0.0386042,0.520095,-0.853235,0
