Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18978,153,758,19889,-1000,-1000,-1,-1,-1,0
0,0,0,0,10231,86,582,10899,197,11096,0.477858,0.0452102,-0.877273,0
0,0,0,0,9987,95,581,10663,187,10850,-0.120304,-0.00503518,-0.992724,0
0,0,0,0,19259,191,754,20204,334,20538,0.448127,-0.0736068,-0.890934,0
0,0,0,0,10399,106,566,11071,208,11279,-0.108983,0.0289835,-0.993621,0
0,0,0,0,10264,167,548,10979,203,11182,0.366213,-0.342408,-0.865243,0
0,0,0,0,16012,133,821,16966,262,17228,-0.33707,0.269958,-0.901946,0
0,0,0,0,11616,122,629,12367,223,12590,0.383746,-0.363531,-0.848872,0
0,0,0,0,11877,171,673,12721,222,12943,-0.318346,0.294855,-0.900953,0
0,0,0,0,18857,111,870,19838,256,20094,0.277854,-0.31371,-0.907955,0
0,0,0,0,10345,75,543,10963,158,11121,-0.189157,0.266277,-0.945154,0
0,0,0,0,14411,126,792,15329,278,15607,0.149948,-0.315728,-0.936927,0
0,0,0,0,18918,104,738,19760,282,20042,-0.164177,0.373599,-0.912946,0
0,0,0,0,13299,109,559,13967,195,14162,0.0634399,-0.685782,-0.725037,0
0,0,0,0,12387,50,701,13138,239,13377,0.00929938,0.159102,-0.987218,0
0,0,0,0,18322,165,784,19271,257,19528,-0.0603399,-0.229835,-0.971357,0
0,0,0,0,10791,119,938,11848,207,12055,0.0209691,0.22672,-0.973734,0
0,0,0,0,10361,101,563,11025,215,11240,-0.0207342,-0.109346,-0.993787,0
0,0,0,0,19794,280,1038,21112,294,21406,0.0114072,0.250185,-0.968131,0
0,0,0,0,9809,131,462,10402,161,10563,-0.00698353,-0.271714,-0.962353,0
0,0,0,0,19541,172,769,20482,258,20740,-0.00289338,0.386922,-0.922108,0
0,0,0,0,10976,145,576,11697,221,11918,0.03276,-0.468327,-0.882947,0
0,0,0,0,19638,72,751,20461,257,20718,-0.0126219,0.479696,-0.877344,0
0,0,0,0,10636,67,580,11283,198,11481,0.0395135,-0.288167,-0.956764,0
0,0,0,0,20753,101,776,21630,255,21885,-0.0142521,0.567811,-0.823036,0
0,0,0,0,10918,64,575,11557,196,11753,0.0369301,-0.0971615,-0.994583,0
0,0,0,0,14273,110,716,15099,238,15337,-0.00228591,0.62997,-0.776616,0
0,0,0,0,19757,129,800,20686,230,20916,0.078522,0.110202,-0.990802,0
0,0,0,0,11397,82,581,12060,197,12257,-0.045975,0.637572,-0.769018,0
0,0,0,0,19564,222,718,20504,199,20703,0.090698,0.295419,-0.951053,0
0,0,0,0,16714,113,574,17401,-1000,-1000,-1,-1,-1,0
0,0,0,0,8667,91,475,9233,172,9405,0.091181,0.473833,-0.875882,0
0,0,0,0,19936,171,744,20851,257,21108,0.0255607,0.566947,-0.823358,0
0,0,0,0,13516,130,554,14200,196,14396,0.0869948,0.562022,-0.822534,0
0,0,0,0,12981,130,686,13797,243,14040,-0.0384458,0.635034,-0.771527,0
0,0,0,0,18407,174,729,19310,256,19566,-0.0328221,0.652597,-0.756994,0
