Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,21353,989,1981,24323,251,24574,0.0232193,-0.0771009,-0.996753,0
0,0,0,0,9454,93,460,10007,180,10187,0.0273685,-0.178894,-0.983488,0
0,0,0,0,6739,53,378,7170,134,7304,-0.0262709,0.140626,-0.989714,0
0,0,0,0,16934,291,961,18186,332,18518,0.02821,-0.188178,-0.98173,0
0,0,0,0,16686,104,667,17457,262,17719,-0.0373969,0.160239,-0.98637,0
0,0,0,0,12046,102,668,12816,233,13049,0.0288746,-0.190179,-0.981325,0
0,0,0,0,18669,177,719,19565,252,19817,-0.0106558,0.127102,-0.991832,0
0,0,0,0,12996,103,751,13850,264,14114,0.0219889,-0.140073,-0.989897,0
0,0,0,0,15291,208,846,16345,306,16651,0.0172149,-0.174932,-0.98443,0
0,0,0,0,18141,107,732,18980,255,19235,0.0152166,-0.1372,-0.990426,0
0,0,0,0,17165,215,1045,18425,329,18754,0.0367285,-0.167447,-0.985197,0
0,0,0,0,12054,122,745,12921,259,13180,0.0306609,-0.112636,-0.993163,0
0,0,0,0,15854,151,853,16858,304,17162,0.0203768,-0.174403,-0.984464,0
0,0,0,0,11168,149,629,11946,244,12190,0.00566161,0.107558,-0.994183,0
0,0,0,0,18962,276,1039,20277,316,20593,0.0191557,-0.159217,-0.987058,0
0,0,0,0,12536,134,554,13224,201,13425,0.0187692,-0.172869,-0.984766,0
0,0,0,0,8155,83,447,8685,158,8843,0.029834,-0.165577,-0.985745,0
0,0,0,0,19374,167,1045,20586,365,20951,0.0387351,-0.164553,-0.985607,0
0,0,0,0,16875,262,789,17926,240,18166,0.0255941,-0.174635,-0.984301,0
0,0,0,0,11923,203,738,12864,237,13101,0.03457,-0.173203,-0.984279,0
0,0,0,0,18810,289,941,20040,256,20296,0.00176309,-0.186601,-0.982434,0
0,0,0,0,12994,223,720,13937,257,14194,0.0156409,-0.178597,-0.983798,0
0,0,0,0,12962,121,743,13826,304,14130,0.0448883,-0.172142,-0.984049,0
0,0,0,0,18357,133,732,19222,256,19478,0.00870996,-0.178225,-0.983951,0
0,0,0,0,13605,185,717,14507,251,14758,0.00267503,-0.179933,-0.983675,0
0,0,0,0,17473,247,727,18447,238,18685,0.0295384,-0.175601,-0.984018,0
0,0,0,0,12026,141,662,12829,233,13062,-0.00909796,-0.181264,-0.983392,0
0,0,0,0,16489,209,867,17565,300,17865,-0.00890977,-0.183915,-0.982902,0
0,0,0,0,11242,126,626,11994,230,12224,0.0136539,-0.179161,-0.983725,0
0,0,0,0,18297,171,788,19256,252,19508,0.022334,-0.178669,-0.983656,0
0,0,0,0,17124,209,968,18301,298,18599,0.0636735,-0.169063,-0.983546,0
0,0,0,0,12017,105,520,12642,205,12847,0.0418934,-0.176166,-0.983469,0
0,0,0,0,14122,139,782,15043,274,15317,-0.0178349,-0.18235,-0.983072,0
0,0,0,0,18800,155,718,19673,254,19927,0.00732342,-0.182903,-0.983104,0
0,0,0,0,13175,119,718,14012,256,14268,0.0206357,-0.177483,-0.983907,0
0,0,0,0,16840,312,965,18117,341,18458,-0.0009712,-0.181521,-0.983387,0
0,0,0,0,12104,175,668,12947,243,13190,0.0304535,-0.181314,-0.982954,0
0,0,0,0,15563,137,869,16569,286,16855,0.0236502,-0.181905,-0.983032,0
0,0,0,0,11287,108,639,12034,218,12252,0.00327335,-0.18189,-0.983313,0
0,0,0,0,21491,173,729,22393,296,22689,0.0148802,-0.181008,-0.983369,0
0,0,0,0,10020,142,559,10721,195,10916,0.0373818,-0.177706,-0.983373,0
0,0,0,0,19479,195,751,20425,256,20681,0.0416304,-0.173063,-0.984031,0
0,0,0,0,10431,165,556,11152,194,11346,0.0243233,-0.181191,-0.983147,0
0,0,0,0,20040,290,1054,21384,375,21759,0.00275983,-0.188224,-0.982122,0
0,0,0,0,17669,222,721,18612,253,18865,0.00895749,-0.183148,-0.983045,0
0,0,0,0,10114,182,801,11097,225,11322,0.0349572,-0.18583,-0.98196,0
0,0,0,0,19652,110,717,20479,277,20756,0.0377376,-0.18669,-0.981694,0
0,0,0,0,12965,160,732,13857,253,14110,0.0263985,-0.188556,-0.981708,0
0,0,0,0,18803,154,738,19695,272,19967,0.064004,-0.188383,-0.980008,0
0,0,0,0,12799,116,715,13630,251,13881,0.0393865,-0.185042,-0.981941,0
0,0,0,0,17858,131,716,18705,253,18958,0.0217943,-0.190851,-0.981377,0
0,0,0,0,9812,97,569,10478,196,10674,0.0422593,-0.183358,-0.982137,0
0,0,0,0,20914,204,756,21874,253,22127,0.0592893,-0.187079,-0.980554,0
0,0,0,0,12776,122,715,13613,254,13867,0.0232495,-0.188821,-0.981736,0
0,0,0,0,12778,122,718,13618,253,13871,0.0421641,-0.186889,-0.981476,0
0,0,0,0,20873,141,726,21740,254,21994,0.0276759,-0.184755,-0.982395,0
0,0,0,0,12876,125,714,13715,270,13985,0.060612,-0.174625,-0.982768,0
0,0,0,0,19740,205,793,20738,265,21003,0.0275856,-0.179277,-0.983412,0
0,0,0,0,10609,133,641,11383,192,11575,0.0522347,-0.169547,-0.984137,0
0,0,0,0,12019,116,664,12799,235,13034,0.0344951,-0.169937,-0.984851,0
0,0,0,0,20134,139,721,20994,253,21247,0.00282155,-0.171,-0.985267,0
0,0,0,0,12649,113,715,13477,244,13721,0.0157352,-0.170128,-0.985296,0
0,0,0,0,15041,218,853,16112,322,16434,0.0582717,-0.166693,-0.984285,0
0,0,0,0,17961,184,740,18885,252,19137,0.043823,-0.162778,-0.985689,0
0,0,0,0,16294,207,775,17276,256,17532,0.0487147,-0.175819,-0.983216,0
0,0,0,0,12271,189,663,13123,239,13362,0.0215731,-0.162103,-0.986538,0
