Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,22883,643,1020,24546,223,24769,-0.0650277,-0.0727016,-0.995232,0
0,0,0,0,7915,103,347,8365,125,8490,-0.0705857,-0.0477038,-0.996364,0
0,0,0,0,6762,108,372,7242,130,7372,-0.0687155,-0.0559727,-0.996065,0
0,0,0,0,20480,291,793,21564,264,21828,-0.0702191,-0.0451886,-0.996508,0
0,0,0,0,10749,156,597,11502,196,11698,-0.0683489,-0.0522364,-0.996293,0
0,0,0,0,16808,240,670,17718,234,17952,-0.0715231,-0.0513778,-0.996115,0
0,0,0,0,20732,419,871,22022,260,22282,-0.0663076,-0.0503528,-0.996528,0
0,0,0,0,14182,168,603,14953,199,15152,-0.076932,-0.0606323,-0.995191,0
0,0,0,0,10309,185,559,11053,191,11244,-0.0668168,-0.0504896,-0.996487,0
0,0,0,0,15575,210,698,16483,227,16710,-0.0722968,-0.0479768,-0.996229,0
0,0,0,0,14208,210,807,15225,261,15486,-0.066595,-0.04994,-0.99653,0
0,0,0,0,14246,237,770,15253,257,15510,-0.0700409,-0.0484735,-0.996366,0
0,0,0,0,10887,190,591,11668,198,11866,-0.0682306,-0.0531452,-0.996253,0
0,0,0,0,17330,217,674,18221,236,18457,-0.06489,-0.0485447,-0.996711,0
0,0,0,0,12446,160,719,13325,223,13548,-0.0690395,-0.0483951,-0.996439,0
0,0,0,0,12666,193,682,13541,225,13766,-0.0639792,-0.0473882,-0.996826,0
0,0,0,0,14361,273,962,15596,258,15854,-0.0729472,-0.051976,-0.995981,0
0,0,0,0,14961,240,773,15974,256,16230,-0.0682854,-0.046944,-0.996561,0
0,0,0,0,10914,131,617,11662,196,11858,-0.0686512,-0.0477082,-0.996499,0
0,0,0,0,10840,119,589,11548,195,11743,-0.0662764,-0.0472359,-0.996683,0
0,0,0,0,17386,290,772,18448,223,18671,-0.0734399,-0.0521114,-0.995937,0
0,0,0,0,12612,157,685,13454,177,13631,-0.0673523,-0.0516059,-0.996394,0
0,0,0,0,14515,175,772,15462,258,15720,-0.0729529,-0.0520799,-0.995975,0
0,0,0,0,18195,141,591,18927,197,19124,-0.0631216,-0.0485918,-0.996822,0
0,0,0,0,10774,194,591,11559,198,11757,-0.0721032,-0.0515102,-0.996066,0
0,0,0,0,13385,198,718,14301,239,14540,-0.0669179,-0.0487855,-0.996565,0
0,0,0,0,12981,126,564,13671,190,13861,-0.0676574,-0.0469746,-0.996602,0
0,0,0,0,12575,185,671,13431,231,13662,-0.0695401,-0.0516295,-0.996242,0
0,0,0,0,15723,190,839,16752,292,17044,-0.0732625,-0.0570074,-0.995682,0
0,0,0,0,11600,166,623,12389,209,12598,-0.0673858,-0.0496995,-0.996488,0
