Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19863,158,815,20836,269,21105,0.00342162,0.131091,-0.991364,0
0,0,0,0,10049,74,481,10604,158,10762,-0.164542,-0.34319,-0.924741,0
0,0,0,0,11259,109,662,12030,218,12248,0.124011,0.218348,-0.967959,0
0,0,0,0,18988,238,1097,20323,344,20667,-0.172656,-0.295498,-0.939612,0
0,0,0,0,13188,229,764,14181,251,14432,0.1191,0.086304,-0.989124,0
0,0,0,0,12190,152,711,13053,235,13288,-0.169376,-0.203547,-0.964303,0
0,0,0,0,18924,218,759,19901,270,20171,0.084673,-0.0186446,-0.996234,0
0,0,0,0,9787,135,581,10503,202,10705,-0.186904,-0.150559,-0.970772,0
0,0,0,0,15414,141,950,16505,339,16844,0.0326945,-0.0351121,-0.998848,0
0,0,0,0,15473,125,659,16257,220,16477,-0.0978213,-0.140809,-0.985192,0
0,0,0,0,11385,180,662,12227,232,12459,0.0180647,-0.0468105,-0.99874,0
0,0,0,0,18841,168,759,19768,260,20028,-0.0924668,-0.0953905,-0.991136,0
0,0,0,0,9960,137,596,10693,193,10886,0.0158762,-0.042608,-0.998966,0
0,0,0,0,18970,252,1126,20348,366,20714,-0.10565,-0.121541,-0.986948,0
0,0,0,0,17284,219,856,18359,261,18620,0.0223148,-0.0528032,-0.998356,0
0,0,0,0,6760,98,399,7257,133,7390,-0.108372,-0.120971,-0.986723,0
0,0,0,0,17194,272,1013,18479,327,18806,0.034185,-0.0632532,-0.997412,0
0,0,0,0,17193,251,776,18220,233,18453,-0.0882949,-0.0990588,-0.991157,0
0,0,0,0,19297,195,770,20262,252,20514,0.000307621,-0.0466006,-0.998914,0
0,0,0,0,8567,108,401,9076,131,9207,-0.0809568,-0.122899,-0.989112,0
0,0,0,0,5378,88,338,5804,99,5903,0.00547085,-0.0622508,-0.998046,0
0,0,0,0,6249,72,367,6688,133,6821,-0.0765897,-0.0767308,-0.994106,0
0,0,0,0,19777,260,1102,21139,365,21504,0.00320747,-0.0461645,-0.998929,0
0,0,0,0,13145,165,760,14070,253,14323,-0.104434,-0.119727,-0.987299,0
0,0,0,0,18601,205,741,19547,233,19780,0.0156358,-0.0634046,-0.997865,0
0,0,0,0,12267,144,552,12963,203,13166,-0.142347,-0.156425,-0.977378,0
0,0,0,0,15490,205,858,16553,271,16824,0.0697967,-0.0575993,-0.995897,0
0,0,0,0,14341,167,772,15280,206,15486,-0.0965031,-0.0910693,-0.991158,0
0,0,0,0,17216,252,1026,18494,403,18897,0.0301587,-0.0738304,-0.996815,0
0,0,0,0,17604,192,726,18522,236,18758,-0.0996912,-0.0968788,-0.990291,0
0,0,0,0,12253,187,728,13168,236,13404,0.0104777,-0.0493466,-0.998727,0
0,0,0,0,15515,265,922,16702,298,17000,-0.100297,-0.123446,-0.98727,0
0,0,0,0,15689,180,673,16542,217,16759,0.0224553,-0.0653791,-0.997608,0
