Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5536,0,0,0,0,1051,275,6862,1760,8622,-0.0229969,0.0363345,-0.999075,0
5350,0,0,0,0,974,265,6589,3715,10304,0.0181987,0.0040433,-0.999826,0
5526,0,0,0,0,1128,254,6908,3593,10501,0.0195292,0.00106446,-0.999809,0
5287,0,0,0,0,925,239,6451,3568,10019,0.021272,0.000981576,-0.999773,0
5095,0,0,0,0,1006,241,6342,3605,9947,0.022001,0.000947015,-0.999757,0
5275,0,0,0,0,922,236,6433,4037,10470,0.0223698,-0.000284396,-0.99975,0
5192,0,0,0,0,1011,269,6472,3711,10183,0.0217552,-0.000254458,-0.999763,0
5169,0,0,0,0,956,241,6366,3725,10091,0.0227144,0.0023674,-0.999739,0
5440,0,0,0,0,905,248,6593,3673,10266,0.021647,0.000713339,-0.999766,0
5237,0,0,0,0,971,290,6498,3757,10255,0.0221454,0.00879804,-0.999716,0
3716,0,0,0,0,666,175,4557,2643,7200,0.02018,0.0104663,-0.999742,0
5335,0,0,0,0,1004,239,6578,3677,10255,0.0200329,0.00771998,-0.999769,0
5291,0,0,0,0,961,259,6511,3791,10302,0.0209455,0.00894528,-0.99974,0
5322,0,0,0,0,897,235,6454,3639,10093,0.0177641,0.0112562,-0.999779,0
6131,0,0,0,0,964,314,7409,3565,10974,0.0205059,0.0112682,-0.999726,0
5187,0,0,0,0,906,233,6326,3585,9911,0.0189602,0.0117863,-0.999751,0
5803,0,0,0,0,1181,277,7261,3886,11147,0.0156764,0.00934047,-0.999834,0
3666,0,0,0,0,655,190,4511,2581,7092,0.0209909,0.0121348,-0.999706,0
5425,0,0,0,0,1116,254,6795,3792,10587,0.0198413,0.0109228,-0.999743,0
5436,0,0,0,0,987,240,6663,3682,10345,0.0209895,0.0113428,-0.999715,0
4314,0,0,0,0,631,172,5117,2006,7123,0.0202677,0.0103928,-0.999741,0
1885,0,0,0,0,331,88,2304,1286,3590,0.021657,0.00848806,-0.99973,0
3429,0,0,0,0,588,176,4193,2402,6595,0.0202811,0.00885125,-0.999755,0
5225,0,0,0,0,916,257,6398,4250,10648,0.0192739,0.00939764,-0.99977,0
5433,0,0,0,0,913,249,6595,3598,10193,0.021096,0.009098,-0.999736,0
4389,0,0,0,0,638,174,5201,2479,7680,0.020031,0.00926277,-0.999757,0
5286,0,0,0,0,1011,248,6545,3566,10111,0.0218721,0.00967713,-0.999714,0
4297,0,0,0,0,659,185,5141,2353,7494,0.0208667,0.010758,-0.999725,0
2789,0,0,0,0,525,138,3452,1963,5415,0.0206989,0.00888291,-0.999746,0
3912,0,0,0,0,735,203,4850,2815,7665,0.0221529,0.00661815,-0.999733,0
5285,0,0,0,0,971,271,6527,4244,10771,0.0195,0.00862641,-0.999773,0
5360,0,0,0,0,940,235,6535,3578,10113,0.0205411,0.00965084,-0.999742,0
5507,0,0,0,0,1316,303,7126,3766,10892,0.0201466,0.0104166,-0.999743,0
5528,0,0,0,0,883,186,6597,2891,9488,0.0206295,0.0106481,-0.99973,0
2316,0,0,0,0,421,114,2851,1586,4437,0.0199011,0.0110597,-0.999741,0
4891,0,0,0,0,859,207,5957,2799,8756,0.0223105,0.00959102,-0.999705,0
5276,0,0,0,0,939,235,6450,3595,10045,0.01994,0.00966055,-0.999754,0
5315,0,0,0,0,891,232,6438,3599,10037,0.0184581,0.0129942,-0.999745,0
5857,0,0,0,0,699,185,6741,2520,9261,0.0192703,0.0112118,-0.999751,0
2521,0,0,0,0,416,113,3050,1542,4592,0.0201234,0.0102774,-0.999745,0
5719,0,0,0,0,905,267,6891,3733,10624,0.0189792,0.0111565,-0.999758,0
3867,0,0,0,0,640,160,4667,2174,6841,0.0195722,0.00939892,-0.999764,0
2249,0,0,0,0,386,110,2745,1568,4313,0.0196027,0.0112404,-0.999745,0
5261,0,0,0,0,892,234,6387,3723,10110,0.0185243,0.0105258,-0.999773,0
5263,0,0,0,0,936,268,6467,3611,10078,0.0182786,0.0106876,-0.999776,0
5277,0,0,0,0,935,271,6483,3593,10076,0.0202369,0.0109086,-0.999736,0
5442,0,0,0,0,933,270,6645,3638,10283,0.018288,0.00908722,-0.999791,0
5215,0,0,0,0,888,244,6347,3813,10160,0.0189177,0.00911862,-0.999779,0
5295,0,0,0,0,897,271,6463,3647,10110,0.0190465,0.012083,-0.999746,0
5282,0,0,0,0,896,281,6459,3731,10190,0.019883,0.0103359,-0.999749,0
5269,0,0,0,0,988,261,6518,3633,10151,0.0193474,0.0124165,-0.999736,0
5264,0,0,0,0,954,233,6451,3803,10254,0.0211626,0.00977645,-0.999728,0
5728,0,0,0,0,952,247,6927,3631,10558,0.018975,0.0129284,-0.999736,0
5422,0,0,0,0,922,287,6631,3740,10371,0.0188646,0.0110912,-0.999761,0
