Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4986,0,0,0,0,890,234,6110,464,6574,-0.0321577,0.11,-0.993411,0
4863,0,0,0,0,1079,268,6210,640,6850,-0.0387186,0.0465308,-0.998167,0
4898,0,0,0,0,919,222,6039,1457,7496,-0.0374828,0.0703156,-0.99682,0
4782,0,0,0,0,890,257,5929,312,6241,-0.0435118,0.0306883,-0.998581,0
4915,0,0,0,0,904,223,6042,1588,7630,-0.0344232,0.0667814,-0.997174,0
4825,0,0,0,0,916,270,6011,297,6308,-0.0633801,0.0281984,-0.997591,0
4930,0,0,0,0,916,222,6068,1885,7953,-0.0306545,0.0696212,-0.997102,0
4735,0,0,0,0,995,250,5980,332,6312,-0.0337244,0.0283826,-0.999028,0
5873,0,0,0,0,853,219,6945,1598,8543,-0.0328902,0.0732537,-0.996771,0
4853,0,0,0,0,855,221,5929,289,6218,-0.0443696,0.0186311,-0.998841,0
4769,0,0,0,0,851,218,5838,1558,7396,-0.0414606,0.0721478,-0.996532,0
4782,0,0,0,0,865,218,5865,309,6174,-0.0429774,0.0386142,-0.99833,0
4720,0,0,0,0,993,222,5935,1453,7388,-0.0368851,0.0735618,-0.996608,0
4711,0,0,0,0,895,280,5886,340,6226,-0.0153327,0.0511207,-0.998575,0
5257,0,0,0,0,919,243,6419,258,6677,-0.0470121,0.00796191,-0.998863,0
4641,0,0,0,0,847,217,5705,1588,7293,-0.0396961,0.0682035,-0.996882,0
4714,0,0,0,0,968,221,5903,258,6161,-0.0631014,0.0250243,-0.997693,0
5206,0,0,0,0,1017,225,6448,1637,8085,-0.0316054,0.0716163,-0.996932,0
4848,0,0,0,0,897,222,5967,285,6252,-0.0411255,0.0430457,-0.998227,0
5055,0,0,0,0,918,219,6192,1549,7741,-0.037036,0.0709013,-0.996795,0
5128,0,0,0,0,1205,243,6576,301,6877,-0.0560498,0.0203903,-0.99822,0
4657,0,0,0,0,842,218,5717,1434,7151,-0.0261364,0.0759932,-0.996766,0
4942,0,0,0,0,850,224,6016,362,6378,-0.0158066,0.0552875,-0.998345,0
4830,0,0,0,0,852,215,5897,297,6194,-0.016451,0.0528144,-0.998469,0
4775,0,0,0,0,949,219,5943,275,6218,-0.0443245,0.0195682,-0.998825,0
4785,0,0,0,0,1161,314,6260,1893,8153,-0.0331158,0.0735948,-0.996738,0
4743,0,0,0,0,850,218,5811,322,6133,-0.0316282,0.0400734,-0.998696,0
4716,0,0,0,0,847,217,5780,1501,7281,-0.0272254,0.0736212,-0.996915,0
4903,0,0,0,0,924,221,6048,349,6397,-0.022424,0.0505058,-0.998472,0
4739,0,0,0,0,868,221,5828,1395,7223,-0.0333968,0.077307,-0.996448,0
4753,0,0,0,0,849,216,5818,350,6168,-0.0329414,0.0392996,-0.998684,0
5448,0,0,0,0,954,248,6650,1699,8349,-0.0281662,0.0746035,-0.996815,0
5457,0,0,0,0,997,220,6674,315,6989,-0.0222132,0.0509748,-0.998453,0
