Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6916,0,0,0,0,785,186,7887,1995,9882,0.00752,-0.0482659,-0.998806,0
4435,0,0,0,0,501,115,5051,1508,6559,-0.00420708,-0.00419454,-0.999982,0
6734,0,0,0,0,731,178,7643,2135,9778,-0.0117007,0.0171924,-0.999784,0
6608,0,0,0,0,747,190,7545,2084,9629,-0.0121966,0.0242662,-0.999631,0
6221,0,0,0,0,647,150,7018,1557,8575,-0.0134899,0.0241769,-0.999617,0
4038,0,0,0,0,447,104,4589,1252,5841,-0.0116282,0.0224672,-0.99968,0
6628,0,0,0,0,726,169,7523,2125,9648,-0.0113132,0.0254029,-0.999614,0
6559,0,0,0,0,727,170,7456,2025,9481,-0.0119436,0.0227132,-0.999671,0
6794,0,0,0,0,797,179,7770,2086,9856,-0.0112836,0.0239978,-0.999648,0
6546,0,0,0,0,747,172,7465,1896,9361,-0.0114459,0.023588,-0.999656,0
5933,0,0,0,0,681,155,6769,1865,8634,-0.0106459,0.0217627,-0.999707,0
5928,0,0,0,0,644,152,6724,1809,8533,-0.0133709,0.025063,-0.999597,0
6996,0,0,0,0,738,174,7908,2101,10009,-0.0133629,0.0239393,-0.999624,0
5976,0,0,0,0,490,116,6582,1332,7914,-0.0133386,0.0263848,-0.999563,0
2678,0,0,0,0,291,68,3037,823,3860,-0.0133191,0.0253218,-0.999591,0
2899,0,0,0,0,326,75,3300,922,4222,-0.0125341,0.0265529,-0.999569,0
7480,0,0,0,0,733,175,8388,2226,10614,-0.0118353,0.0265351,-0.999578,0
6177,0,0,0,0,676,155,7008,1877,8885,-0.0131344,0.025239,-0.999595,0
6416,0,0,0,0,767,176,7359,1988,9347,-0.0133822,0.0224606,-0.999658,0
6058,0,0,0,0,654,154,6866,1593,8459,-0.0118684,0.0230185,-0.999665,0
5349,0,0,0,0,668,143,6160,1781,7941,-0.0107238,0.0244238,-0.999644,0
7406,0,0,0,0,773,182,8361,2199,10560,-0.0119195,0.0235254,-0.999652,0
6677,0,0,0,0,729,173,7579,2015,9594,-0.0121414,0.0243842,-0.999629,0
6655,0,0,0,0,661,155,7471,1590,9061,-0.0135143,0.0255539,-0.999582,0
4144,0,0,0,0,447,107,4698,1249,5947,-0.0104764,0.0261102,-0.999604,0
6249,0,0,0,0,649,154,7052,1752,8804,-0.00991395,0.0250654,-0.999637,0
6244,0,0,0,0,823,159,7226,1805,9031,-0.0108048,0.0256311,-0.999613,0
6519,0,0,0,0,648,159,7326,1815,9141,-0.0118245,0.026153,-0.999588,0
6166,0,0,0,0,692,157,7015,1913,8928,-0.0115705,0.0247327,-0.999627,0
5884,0,0,0,0,660,152,6696,1800,8496,-0.0130514,0.0266404,-0.99956,0
6058,0,0,0,0,687,155,6900,1860,8760,-0.0127441,0.0256658,-0.999589,0
6942,0,0,0,0,644,156,7742,1773,9515,-0.0121531,0.0250495,-0.999613,0
5946,0,0,0,0,679,155,6780,1926,8706,-0.012013,0.0254039,-0.999605,0
5963,0,0,0,0,651,154,6768,1773,8541,-0.013146,0.0260829,-0.999574,0
6059,0,0,0,0,691,186,6936,2231,9167,-0.013854,0.0271948,-0.999534,0
5925,0,0,0,0,666,153,6744,1741,8485,-0.0123581,0.0238467,-0.999639,0
6031,0,0,0,0,675,164,6870,1748,8618,-0.0129101,0.0256725,-0.999587,0
5881,0,0,0,0,656,166,6703,1866,8569,-0.012664,0.0291819,-0.999494,0
5959,0,0,0,0,651,152,6762,1815,8577,-0.0103727,0.0268965,-0.999584,0
5903,0,0,0,0,663,156,6722,1844,8566,-0.0106236,0.0252468,-0.999625,0
5930,0,0,0,0,648,152,6730,1860,8590,-0.0118523,0.0253003,-0.99961,0
5950,0,0,0,0,671,159,6780,1949,8729,-0.0116031,0.024371,-0.999635,0
6426,0,0,0,0,653,164,7243,1855,9098,-0.0109974,0.022321,-0.99969,0
9119,0,0,0,0,986,153,10258,1517,11775,-0.0121451,0.0236228,-0.999647,0
4162,0,0,0,0,449,106,4717,1327,6044,-0.0125137,0.0254924,-0.999597,0
6040,0,0,0,0,648,151,6839,1822,8661,-0.00957064,0.0229825,-0.99969,0
6112,0,0,0,0,679,155,6946,1832,8778,-0.0110243,0.0240588,-0.99965,0
6041,0,0,0,0,652,152,6845,1879,8724,-0.0108297,0.023708,-0.999661,0
6612,0,0,0,0,714,181,7507,1862,9369,-0.0120992,0.0245175,-0.999626,0
6388,0,0,0,0,783,157,7328,1797,9125,-0.0130773,0.0237364,-0.999633,0
5425,0,0,0,0,583,155,6163,1671,7834,-0.0121281,0.0228603,-0.999665,0
5952,0,0,0,0,644,153,6749,1706,8455,-0.0121874,0.0230679,-0.99966,0
5995,0,0,0,0,689,156,6840,1968,8808,-0.0107564,0.0231067,-0.999675,0
5880,0,0,0,0,660,156,6696,1796,8492,-0.0126214,0.0263825,-0.999572,0
6573,0,0,0,0,646,161,7380,1776,9156,-0.0119282,0.0249608,-0.999617,0
5984,0,0,0,0,677,156,6817,1889,8706,-0.00892327,0.0197609,-0.999765,0
6493,0,0,0,0,646,157,7296,1874,9170,-0.00983104,0.0233884,-0.999678,0
5945,0,0,0,0,656,154,6755,1853,8608,-0.0115111,0.0252311,-0.999616,0
6792,0,0,0,0,730,174,7696,2193,9889,-0.00923314,0.0212141,-0.999732,0
2506,0,0,0,0,290,67,2863,791,3654,-0.00990592,0.0224628,-0.999699,0
6026,0,0,0,0,662,156,6844,1803,8647,-0.011132,0.023295,-0.999666,0
5874,0,0,0,0,649,154,6677,1862,8539,-0.0105572,0.0259733,-0.999607,0
6603,0,0,0,0,648,156,7407,1820,9227,-0.0122537,0.0241548,-0.999633,0
5881,0,0,0,0,678,156,6715,1873,8588,-0.0125823,0.0239464,-0.999634,0
6126,0,0,0,0,649,154,6929,1978,8907,-0.0115227,0.0262435,-0.999589,0
5878,0,0,0,0,675,156,6709,1914,8623,-0.0101046,0.022655,-0.999692,0
6515,0,0,0,0,657,156,7328,1904,9232,-0.00824385,0.0231615,-0.999698,0
5973,0,0,0,0,669,155,6797,1871,8668,-0.0105153,0.0219706,-0.999703,0
6860,0,0,0,0,729,174,7763,1978,9741,-0.0120358,0.0229144,-0.999665,0
5875,0,0,0,0,661,163,6699,1899,8598,-0.0112323,0.021782,-0.9997,0
6034,0,0,0,0,647,152,6833,1800,8633,-0.012195,0.0218303,-0.999687,0
6072,0,0,0,0,644,153,6869,1912,8781,-0.0117538,0.0233102,-0.999659,0
6227,0,0,0,0,752,158,7137,1881,9018,-0.0114626,0.0229227,-0.999672,0
5849,0,0,0,0,674,154,6677,1862,8539,-0.0119179,0.0238548,-0.999644,0
6277,0,0,0,0,652,154,7083,1816,8899,-0.0132889,0.0221005,-0.999667,0
6105,0,0,0,0,655,155,6915,1828,8743,-0.00987314,0.0211564,-0.999727,0
6091,0,0,0,0,652,154,6897,1922,8819,-0.00910642,0.0237464,-0.999677,0
5847,0,0,0,0,668,152,6667,1733,8400,-0.01074,0.0224861,-0.999689,0
5877,0,0,0,0,650,152,6679,1787,8466,-0.0111022,0.0234696,-0.999663,0
5901,0,0,0,0,647,151,6699,2000,8699,-0.0107467,0.023083,-0.999676,0
6061,0,0,0,0,661,153,6875,1754,8629,-0.00873703,0.0230276,-0.999697,0
5969,0,0,0,0,701,187,6857,1762,8619,-0.0115505,0.0231278,-0.999666,0
6031,0,0,0,0,688,157,6876,1845,8721,-0.0125095,0.0256613,-0.999592,0
6018,0,0,0,0,676,158,6852,1788,8640,-0.0130424,0.0251216,-0.999599,0
6189,0,0,0,0,677,174,7040,1796,8836,-0.0135863,0.0252865,-0.999588,0
5953,0,0,0,0,647,151,6751,1823,8574,-0.0114109,0.0233056,-0.999663,0
5906,0,0,0,0,709,162,6777,1788,8565,-0.00989536,0.0250294,-0.999638,0
6088,0,0,0,0,675,155,6918,1800,8718,-0.0125734,0.0227075,-0.999663,0
5972,0,0,0,0,653,156,6781,1844,8625,-0.0124014,0.0211314,-0.9997,0
5993,0,0,0,0,649,154,6796,1896,8692,-0.0106266,0.0229427,-0.999681,0
5986,0,0,0,0,652,153,6791,1929,8720,-0.0107497,0.0233623,-0.999669,0
5910,0,0,0,0,648,154,6712,1845,8557,-0.0110526,0.0215729,-0.999706,0
6023,0,0,0,0,659,156,6838,1743,8581,-0.0109846,0.0242564,-0.999645,0
5930,0,0,0,0,650,154,6734,1842,8576,-0.0100595,0.0231035,-0.999683,0
5980,0,0,0,0,670,153,6803,1867,8670,-0.0128652,0.0247249,-0.999612,0
5966,0,0,0,0,647,152,6765,1818,8583,-0.0125717,0.0248656,-0.999612,0
6000,0,0,0,0,696,156,6852,1763,8615,-0.0111155,0.0233351,-0.999666,0
5940,0,0,0,0,660,154,6754,1836,8590,-0.0115371,0.0223506,-0.999684,0
5965,0,0,0,0,691,155,6811,1749,8560,-0.010767,0.021851,-0.999703,0
6170,0,0,0,0,651,154,6975,1806,8781,-0.0110419,0.022929,-0.999676,0
5936,0,0,0,0,663,155,6754,1842,8596,-0.011874,0.0223183,-0.99968,0
6069,0,0,0,0,646,150,6865,1817,8682,-0.0109498,0.0227052,-0.999682,0
6007,0,0,0,0,649,154,6810,1941,8751,-0.0101735,0.0223644,-0.999698,0
5945,0,0,0,0,660,156,6761,1878,8639,-0.0108055,0.0229914,-0.999677,0
6741,0,0,0,0,726,171,7638,1949,9587,-0.00991447,0.0223694,-0.999701,0
5825,0,0,0,0,642,148,6615,1695,8310,-0.0094545,0.0211277,-0.999732,0
5952,0,0,0,0,682,155,6789,1808,8597,-0.00847615,0.0239918,-0.999676,0
6714,0,0,0,0,733,175,7622,2013,9635,-0.0115213,0.023602,-0.999655,0
6376,0,0,0,0,653,155,7184,1777,8961,-0.0123513,0.0224337,-0.999672,0
6477,0,0,0,0,649,152,7278,1898,9176,-0.0115678,0.0262268,-0.999589,0
6190,0,0,0,0,647,152,6989,1745,8734,-0.0119577,0.0262082,-0.999585,0
5868,0,0,0,0,645,152,6665,1908,8573,-0.0115036,0.0224948,-0.999681,0
6304,0,0,0,0,643,150,7097,1746,8843,-0.0101806,0.0197419,-0.999753,0
5846,0,0,0,0,645,149,6640,1899,8539,-0.0111381,0.0221492,-0.999693,0
6451,0,0,0,0,640,152,7243,1731,8974,-0.0102774,0.0224023,-0.999696,0
5845,0,0,0,0,650,151,6646,1802,8448,-0.0115266,0.0217366,-0.999697,0
5941,0,0,0,0,668,153,6762,1873,8635,-0.0118377,0.0211712,-0.999706,0
6801,0,0,0,0,655,154,7610,1844,9454,-0.00984339,0.0217811,-0.999714,0
5950,0,0,0,0,653,152,6755,1844,8599,-0.0111466,0.0231713,-0.999669,0
6270,0,0,0,0,648,154,7072,1744,8816,-0.0117434,0.0240738,-0.999641,0
5980,0,0,0,0,935,226,7141,2027,9168,-0.0118238,0.0233216,-0.999658,0
5959,0,0,0,0,645,151,6755,1820,8575,-0.011799,0.023194,-0.999662,0
6732,0,0,0,0,721,170,7623,2054,9677,-0.0123023,0.0241145,-0.999634,0
6215,0,0,0,0,654,153,7022,1732,8754,-0.0103827,0.0235916,-0.999668,0
4236,0,0,0,0,473,107,4816,1281,6097,-0.0108568,0.0231713,-0.999673,0
6499,0,0,0,0,735,185,7419,1847,9266,-0.0105418,0.026158,-0.999603,0
6074,0,0,0,0,647,153,6874,1816,8690,-0.0123438,0.0250356,-0.99961,0
6530,0,0,0,0,650,155,7335,1832,9167,-0.0112643,0.0208244,-0.99972,0
6212,0,0,0,0,646,151,7009,2290,9299,-0.010157,0.0183889,-0.999779,0
5991,0,0,0,0,646,154,6791,1936,8727,-0.00992766,0.0209741,-0.999731,0
6746,0,0,0,0,656,156,7558,1856,9414,-0.00855528,0.0212367,-0.999738,0
6068,0,0,0,0,644,149,6861,1880,8741,-0.0108128,0.0209906,-0.999721,0
5766,0,0,0,0,446,106,6318,1234,7552,-0.0116277,0.0207362,-0.999717,0
2541,0,0,0,0,275,64,2880,837,3717,-0.00979141,0.0222627,-0.999704,0
2396,0,0,0,0,266,62,2724,760,3484,-0.0102675,0.021157,-0.999724,0
6450,0,0,0,0,965,189,7604,1820,9424,-0.0130985,0.0232915,-0.999643,0
6011,0,0,0,0,644,151,6806,1865,8671,-0.0129565,0.0248211,-0.999608,0
6063,0,0,0,0,669,155,6887,1872,8759,-0.0114941,0.0269702,-0.99957,0
5960,0,0,0,0,677,156,6793,1829,8622,-0.011164,0.0225072,-0.999684,0
6129,0,0,0,0,675,155,6959,1874,8833,-0.010976,0.0201235,-0.999737,0
6225,0,0,0,0,701,157,7083,1918,9001,-0.0108763,0.0201764,-0.999737,0
6087,0,0,0,0,639,149,6875,1820,8695,-0.0115586,0.0213823,-0.999704,0
6840,0,0,0,0,770,181,7791,1889,9680,-0.0106891,0.0222308,-0.999696,0
6025,0,0,0,0,646,154,6825,1836,8661,-0.0107073,0.0229225,-0.99968,0
5982,0,0,0,0,656,153,6791,1878,8669,-0.0119234,0.0224323,-0.999677,0
5767,0,0,0,0,452,106,6325,1311,7636,-0.0114319,0.0230564,-0.999669,0
3264,0,0,0,0,350,83,3697,982,4679,-0.0102856,0.0229353,-0.999684,0
6659,0,0,0,0,668,155,7482,1857,9339,-0.0120252,0.0226118,-0.999672,0
6068,0,0,0,0,648,153,6869,1742,8611,-0.0117915,0.0237004,-0.99965,0
6066,0,0,0,0,657,168,6891,1850,8741,-0.00945218,0.0213103,-0.999728,0
7683,0,0,0,0,668,156,8507,1828,10335,-0.0106352,0.0207897,-0.999727,0
5989,0,0,0,0,649,151,6789,1810,8599,-0.0116751,0.0259225,-0.999596,0
6034,0,0,0,0,714,162,6910,1805,8715,-0.0119611,0.026953,-0.999565,0
6025,0,0,0,0,649,153,6827,1727,8554,-0.0116846,0.0233527,-0.999659,0
6321,0,0,0,0,646,155,7122,1726,8848,-0.0100739,0.0228526,-0.999688,0
5864,0,0,0,0,673,153,6690,1902,8592,-0.0118528,0.0214853,-0.999699,0
5903,0,0,0,0,651,151,6705,1857,8562,-0.0120902,0.0228728,-0.999665,0
6825,0,0,0,0,648,153,7626,1816,9442,-0.0107141,0.0233719,-0.999669,0
6648,0,0,0,0,840,175,7663,1930,9593,-0.010048,0.020549,-0.999739,0
4124,0,0,0,0,366,85,4575,1054,5629,-0.0090899,0.0230829,-0.999693,0
2625,0,0,0,0,307,69,3001,778,3779,-0.0124881,0.0247548,-0.999616,0
3574,0,0,0,0,388,91,4053,1075,5128,-0.0130023,0.0217307,-0.999679,0
6896,0,0,0,0,735,171,7802,1975,9777,-0.0125566,0.0215029,-0.99969,0
6697,0,0,0,0,1111,281,8089,2462,10551,-0.0128514,0.0224157,-0.999666,0
3131,0,0,0,0,341,89,3561,855,4416,-0.0124039,0.0232908,-0.999652,0
6260,0,0,0,0,651,186,7097,1825,8922,-0.011986,0.0224186,-0.999677,0
6879,0,0,0,0,746,173,7798,1907,9705,-0.00847586,0.0226856,-0.999707,0
6998,0,0,0,0,737,193,7928,1897,9825,-0.0103727,0.0226377,-0.99969,0
6600,0,0,0,0,719,171,7490,1871,9361,-0.0114325,0.0244151,-0.999637,0
6775,0,0,0,0,704,170,7649,1964,9613,-0.0133694,0.0235054,-0.999634,0
6997,0,0,0,0,702,172,7871,1848,9719,-0.0137974,0.0208873,-0.999687,0
6641,0,0,0,0,697,169,7507,1893,9400,-0.0112025,0.0222621,-0.999689,0
6129,0,0,0,0,683,153,6965,1709,8674,-0.0112772,0.0234886,-0.999661,0
5857,0,0,0,0,630,149,6636,1804,8440,-0.0106651,0.0214747,-0.999713,0
6112,0,0,0,0,643,151,6906,1808,8714,-0.0121947,0.0216849,-0.99969,0
6608,0,0,0,0,629,151,7388,1658,9046,-0.0111007,0.0248403,-0.99963,0
5879,0,0,0,0,658,180,6717,1689,8406,-0.00938676,0.0194821,-0.999766,0
6631,0,0,0,0,737,169,7537,1872,9409,-0.00970792,0.0212889,-0.999726,0
6866,0,0,0,0,742,171,7779,1644,9423,-0.0121156,0.0227943,-0.999667,0
4413,0,0,0,0,467,111,4991,1277,6268,-0.0139071,0.0226319,-0.999647,0
6776,0,0,0,0,713,183,7672,1944,9616,-0.011544,0.0209065,-0.999715,0
6529,0,0,0,0,689,164,7382,1912,9294,-0.0106839,0.0228943,-0.999681,0
6721,0,0,0,0,710,167,7598,1990,9588,-0.0122877,0.0225276,-0.999671,0
6717,0,0,0,0,693,168,7578,2220,9798,-0.011185,0.023416,-0.999663,0
4343,0,0,0,0,350,84,4777,995,5772,-0.0104132,0.0211309,-0.999722,0
2583,0,0,0,0,295,67,2945,796,3741,-0.011836,0.0213133,-0.999703,0
