Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2522,0,0,0,0,466,108,3096,776,3872,-0.00452937,-0.191378,-0.981506,0
2501,0,0,0,0,441,115,3057,1131,4188,-0.010923,-0.109046,-0.993977,0
2597,0,0,0,0,404,100,3101,1153,4254,-0.00907008,-0.0326913,-0.999424,0
2492,0,0,0,0,405,99,2996,1302,4298,0.000789868,0.0084427,-0.999964,0
2647,0,0,0,0,428,122,3197,1364,4561,0.00588832,0.0191785,-0.999799,0
2908,0,0,0,0,486,109,3503,1411,4914,0.00703677,0.0205751,-0.999764,0
2571,0,0,0,0,422,101,3094,1307,4401,0.00701645,0.0195294,-0.999785,0
2647,0,0,0,0,469,102,3218,1304,4522,0.00748865,0.0188212,-0.999795,0
2464,0,0,0,0,424,98,2986,1364,4350,0.00758087,0.019636,-0.999778,0
2523,0,0,0,0,419,105,3047,1272,4319,0.00682982,0.0206837,-0.999763,0
2525,0,0,0,0,410,98,3033,1318,4351,0.00768231,0.0203041,-0.999764,0
2573,0,0,0,0,436,103,3112,1388,4500,0.00752393,0.0209079,-0.999753,0
2555,0,0,0,0,483,105,3143,1349,4492,0.00724875,0.0197639,-0.999778,0
2616,0,0,0,0,466,102,3184,1264,4448,0.0064144,0.0201888,-0.999776,0
2521,0,0,0,0,416,102,3039,1231,4270,0.00627958,0.0202326,-0.999776,0
2598,0,0,0,0,439,103,3140,1252,4392,0.00612738,0.0202527,-0.999776,0
2781,0,0,0,0,507,104,3392,1362,4754,0.00689609,0.019158,-0.999793,0
2663,0,0,0,0,414,104,3181,1303,4484,0.00711345,0.0206786,-0.999761,0
2554,0,0,0,0,432,123,3109,1329,4438,0.00735907,0.019447,-0.999784,0
2654,0,0,0,0,414,97,3165,1291,4456,0.00831454,0.0194172,-0.999777,0
2585,0,0,0,0,442,116,3143,1354,4497,0.00725359,0.0189217,-0.999795,0
