Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6174,0,0,0,0,1197,300,7671,1511,9182,0.0221582,0.168046,-0.98553,0
3443,0,0,0,0,641,184,4268,1568,5836,0.0079931,0.0426228,-0.999059,0
4733,0,0,0,0,928,221,5882,2482,8364,0.00380932,0.0273212,-0.99962,0
5752,0,0,0,0,1143,286,7181,2773,9954,0.00152837,0.0247056,-0.999694,0
5748,0,0,0,0,1119,274,7141,2618,9759,-0.000340257,0.0232597,-0.999729,0
6008,0,0,0,0,1174,293,7475,2672,10147,-0.00161734,0.0222122,-0.999752,0
5862,0,0,0,0,1119,295,7276,2598,9874,-0.00292602,0.0214144,-0.999766,0
5862,0,0,0,0,1157,272,7291,2664,9955,-0.00438331,0.0207553,-0.999775,0
6103,0,0,0,0,1112,275,7490,2560,10050,-0.00527745,0.0206063,-0.999774,0
4108,0,0,0,0,774,187,5069,1750,6819,-0.00580727,0.0210197,-0.999762,0
5477,0,0,0,0,1096,250,6823,2332,9155,-0.00587099,0.0213461,-0.999755,0
5797,0,0,0,0,1009,262,7068,2415,9483,-0.00628208,0.021504,-0.999749,0
5802,0,0,0,0,1144,274,7220,2585,9805,-0.00502066,0.0221269,-0.999742,0
6098,0,0,0,0,1120,271,7489,2646,10135,-0.00342503,0.0228045,-0.999734,0
5927,0,0,0,0,1209,277,7413,2636,10049,-0.00317354,0.024164,-0.999703,0
6088,0,0,0,0,1256,275,7619,2734,10353,-0.00245181,0.0250729,-0.999683,0
5838,0,0,0,0,1271,342,7451,3110,10561,-0.00227691,0.0249233,-0.999687,0
5283,0,0,0,0,1057,243,6583,2364,8947,-0.00175146,0.0245189,-0.999698,0
6208,0,0,0,0,1175,300,7683,2841,10524,-0.000362905,0.0220303,-0.999757,0
5853,0,0,0,0,1103,268,7224,2629,9853,-0.00148777,0.0169818,-0.999855,0
5915,0,0,0,0,1177,275,7367,2286,9653,-0.00514889,0.00219445,-0.999984,0
5905,0,0,0,0,1118,269,7292,1867,9159,-0.00927836,-0.010305,-0.999904,0
6050,0,0,0,0,1091,267,7408,2048,9456,-0.013364,-0.0211626,-0.999687,0
6138,0,0,0,0,1093,270,7501,1805,9306,-0.0167584,-0.0546216,-0.998367,0
5951,0,0,0,0,1269,280,7500,1390,8890,-0.0116766,-0.0405073,-0.999111,0
4113,0,0,0,0,762,183,5058,1202,6260,-0.0104093,-0.0153586,-0.999828,0
5937,0,0,0,0,1091,267,7295,1803,9098,-0.018016,-0.00422926,-0.999829,0
6282,0,0,0,0,1127,279,7688,1768,9456,-0.0193926,0.0117104,-0.999743,0
6067,0,0,0,0,1149,284,7500,2037,9537,-0.0280975,0.0287558,-0.999191,0
6251,0,0,0,0,1180,290,7721,2139,9860,-0.0380616,0.0436518,-0.998322,0
6200,0,0,0,0,1206,300,7706,2710,10416,-0.0400745,0.0492045,-0.997985,0
6153,0,0,0,0,1245,324,7722,2696,10418,-0.0374612,0.0308767,-0.998821,0
6169,0,0,0,0,1334,317,7820,2467,10287,-0.0272273,0.0012479,-0.999628,0
6137,0,0,0,0,1324,323,7784,2163,9947,-0.021286,-0.0322092,-0.999254,0
7117,0,0,0,0,1345,331,8793,2074,10867,0.000287068,-0.0432538,-0.999064,0
6963,0,0,0,0,1378,363,8704,2674,11378,0.0198073,-0.0523282,-0.998434,0
6211,0,0,0,0,1363,328,7902,2934,10836,0.0273166,-0.0610502,-0.997761,0
