Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6882,0,0,0,0,1084,296,8262,347,8609,-0.00142624,0.0438847,-0.999036,0
6052,0,0,0,0,1121,274,7447,1039,8486,0.00718059,0.0349385,-0.999364,0
6842,0,0,0,0,1105,274,8221,1793,10014,0.00873116,0.0334751,-0.999402,0
6032,0,0,0,0,1206,372,7610,2321,9931,0.00789164,0.0331372,-0.999419,0
5909,0,0,0,0,1221,429,7559,2173,9732,0.0061958,0.0332455,-0.999428,0
6338,0,0,0,0,1080,290,7708,1869,9577,0.00431502,0.0344999,-0.999395,0
6172,0,0,0,0,1088,271,7531,1790,9321,0.00497698,0.0359017,-0.999343,0
6699,0,0,0,0,1076,283,8058,1777,9835,0.00569358,0.0366839,-0.999311,0
6131,0,0,0,0,1115,275,7521,2265,9786,0.0059704,0.0381932,-0.999252,0
5944,0,0,0,0,1075,271,7290,1383,8673,0.00600989,0.040624,-0.999156,0
4162,0,0,0,0,812,240,5214,1052,6266,0.00631818,0.0440473,-0.99901,0
6283,0,0,0,0,1076,273,7632,1337,8969,0.00578675,0.0477439,-0.998843,0
7087,0,0,0,0,1211,376,8674,1500,10174,0.00815626,0.0535197,-0.998534,0
6033,0,0,0,0,1175,285,7493,1398,8891,0.0135149,0.0591643,-0.998156,0
4164,0,0,0,0,776,191,5131,1106,6237,0.0119565,0.0576932,-0.998263,0
6156,0,0,0,0,1079,278,7513,1386,8899,0.0118149,0.0636509,-0.997902,0
6069,0,0,0,0,1099,274,7442,1608,9050,0.00925678,0.0650236,-0.997841,0
6706,0,0,0,0,1187,292,8185,1630,9815,0.0115503,0.0670279,-0.997684,0
6057,0,0,0,0,1155,286,7498,1782,9280,0.0136933,0.0667254,-0.997677,0
6205,0,0,0,0,1197,306,7708,1945,9653,0.0150711,0.0690022,-0.997503,0
3671,0,0,0,0,568,141,4380,1189,5569,0.014739,0.0666237,-0.997669,0
2982,0,0,0,0,532,134,3648,1135,4783,0.0131555,0.0712051,-0.997375,0
6028,0,0,0,0,1073,267,7368,2460,9828,0.0100185,0.0834205,-0.996464,0
6232,0,0,0,0,1081,270,7583,2348,9931,0.0116501,0.0831313,-0.996471,0
6447,0,0,0,0,1175,283,7905,2587,10492,0.0157139,0.0844518,-0.996303,0
6277,0,0,0,0,1144,273,7694,2236,9930,0.0169879,0.0770051,-0.996886,0
4535,0,0,0,0,769,194,5498,1859,7357,0.0164804,0.0778305,-0.99683,0
6366,0,0,0,0,1113,279,7758,2516,10274,0.0132726,0.0859455,-0.996211,0
6167,0,0,0,0,1153,413,7733,1924,9657,0.0124645,0.0930975,-0.995579,0
4088,0,0,0,0,726,179,4993,1329,6322,0.0127561,0.090559,-0.995809,0
5829,0,0,0,0,1018,258,7105,1650,8755,0.0140492,0.0957608,-0.995305,0
5835,0,0,0,0,1013,254,7102,1632,8734,0.0145472,0.102456,-0.994631,0
5770,0,0,0,0,974,239,6983,1550,8533,0.0167062,0.0959006,-0.995251,0
5639,0,0,0,0,917,225,6781,1400,8181,0.0164658,0.0992553,-0.994926,0
5618,0,0,0,0,885,220,6723,1517,8240,0.0106517,0.108862,-0.994,0
5380,0,0,0,0,869,213,6462,1648,8110,0.00889454,0.0965221,-0.995291,0
5819,0,0,0,0,803,206,6828,1888,8716,0.00224295,0.101626,-0.994821,0
5385,0,0,0,0,799,234,6418,2060,8478,-0.000977845,0.095946,-0.995386,0
5384,0,0,0,0,749,192,6325,2235,8560,0.0044353,0.0896548,-0.995963,0
5459,0,0,0,0,729,187,6375,2389,8764,0.0126451,0.0857273,-0.996239,0
5268,0,0,0,0,698,179,6145,2473,8618,0.017422,0.0811194,-0.996552,0
5642,0,0,0,0,697,182,6521,2624,9145,0.0167911,0.0805338,-0.99661,0
5358,0,0,0,0,721,186,6265,2809,9074,0.0149359,0.0808985,-0.99661,0
5520,0,0,0,0,813,192,6525,2752,9277,0.0208896,0.0779297,-0.99674,0
6020,0,0,0,0,791,223,7034,1829,8863,0.0231335,0.0884821,-0.995809,0
3756,0,0,0,0,495,128,4379,1701,6080,0.0238976,0.0743503,-0.996946,0
5264,0,0,0,0,743,184,6191,2471,8662,0.02149,0.0772605,-0.996779,0
5381,0,0,0,0,671,175,6227,2111,8338,0.0210929,0.0755159,-0.996922,0
5402,0,0,0,0,726,176,6304,1983,8287,0.0158767,0.0785783,-0.996781,0
5269,0,0,0,0,831,219,6319,2242,8561,0.0106424,0.0882772,-0.996039,0
5342,0,0,0,0,536,173,6051,1652,7703,0.0105618,0.0925915,-0.995648,0
6063,0,0,0,0,560,137,6760,1638,8398,0.0132682,0.0969525,-0.9952,0
5416,0,0,0,0,521,127,6064,1314,7378,0.0172634,0.0918735,-0.995621,0
5418,0,0,0,0,447,123,5988,1276,7264,0.022612,0.0788989,-0.996626,0
5312,0,0,0,0,607,190,6109,1401,7510,0.0228966,0.0565878,-0.998135,0
5269,0,0,0,0,451,122,5842,1075,6917,0.0263456,0.0698954,-0.997206,0
7154,0,0,0,0,595,149,7898,1216,9114,0.0299843,0.0558283,-0.99799,0
6087,0,0,0,0,662,170,6919,1235,8154,0.0200922,0.0909556,-0.995652,0
5715,0,0,0,0,685,171,6571,678,7249,0.0322669,0.0451158,-0.998461,0
6345,0,0,0,0,1174,324,7843,894,8737,-0.0102278,0.119299,-0.992806,0
2367,0,0,0,0,327,85,2779,217,2996,-0.0139617,0.137131,-0.990455,0
5787,0,0,0,0,818,215,6820,641,7461,0.0449765,-0.0743127,-0.99622,0
5811,0,0,0,0,862,221,6894,1134,8028,0.0404939,-0.0256933,-0.99885,0
5933,0,0,0,0,871,230,7034,1147,8181,0.038793,-0.0196467,-0.999054,0
5998,0,0,0,0,887,232,7117,1239,8356,0.0276327,-0.00106434,-0.999617,0
6258,0,0,0,0,909,238,7405,1356,8761,0.0232038,0.00265012,-0.999727,0
6076,0,0,0,0,911,241,7228,1396,8624,0.0194131,0.0186369,-0.999638,0
6135,0,0,0,0,1015,246,7396,1635,9031,0.0253033,0.0256648,-0.99935,0
5995,0,0,0,0,1095,280,7370,1713,9083,0.0424852,0.037047,-0.99841,0
6891,0,0,0,0,1024,287,8202,1802,10004,0.0540828,0.112517,-0.992177,0
5992,0,0,0,0,998,207,7197,1220,8417,0.0610434,0.115641,-0.991414,0
2944,0,0,0,0,488,125,3557,781,4338,0.0497847,0.113014,-0.992346,0
5924,0,0,0,0,1191,291,7406,1793,9199,0.0617157,0.159811,-0.985216,0
6031,0,0,0,0,1191,297,7519,1934,9453,0.0565676,0.203093,-0.977524,0
6345,0,0,0,0,1357,317,8019,1753,9772,0.0316979,0.300772,-0.953169,0
