Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6256,0,0,0,0,1055,267,7578,1405,8983,0.0139256,-0.118539,-0.992851,0
5959,0,0,0,0,1045,247,7251,3451,10702,-0.00387876,0.0111973,-0.99993,0
6078,0,0,0,0,1054,265,7397,4138,11535,-0.00183727,0.0217017,-0.999763,0
5326,0,0,0,0,953,223,6502,4154,10656,-0.000145049,0.0251683,-0.999684,0
5993,0,0,0,0,1063,250,7306,4575,11881,-0.00114597,0.0261865,-0.999656,0
6085,0,0,0,0,1049,249,7383,4499,11882,-0.00248839,0.0262996,-0.999651,0
6186,0,0,0,0,1045,249,7480,4691,12171,-0.00279997,0.0251721,-0.999679,0
6000,0,0,0,0,1065,252,7317,4939,12256,-0.0020456,0.0243754,-0.999701,0
5414,0,0,0,0,960,224,6598,4181,10779,-0.00287312,0.0238446,-0.999712,0
6016,0,0,0,0,1053,250,7319,4652,11971,-0.00292495,0.0252004,-0.999678,0
6078,0,0,0,0,1079,251,7408,4580,11988,-0.00357544,0.0292301,-0.999566,0
6253,0,0,0,0,1062,250,7565,4723,12288,-0.00123459,0.030415,-0.999537,0
6908,0,0,0,0,1084,253,8245,4432,12677,0.000592929,0.0302006,-0.999544,0
6126,0,0,0,0,1091,269,7486,3449,10935,0.00021408,0.0280377,-0.999607,0
4650,0,0,0,0,728,172,5550,3007,8557,-0.001041,0.0259044,-0.999664,0
6020,0,0,0,0,1057,247,7324,4520,11844,-0.000970769,0.0242145,-0.999706,0
6289,0,0,0,0,1072,263,7624,4701,12325,-0.00148761,0.0231518,-0.999731,0
4236,0,0,0,0,753,174,5163,3679,8842,-0.001563,0.0237367,-0.999717,0
2607,0,0,0,0,475,108,3190,2006,5196,-0.0015991,0.0243542,-0.999702,0
6681,0,0,0,0,1081,255,8017,4662,12679,-0.00172942,0.0229287,-0.999736,0
6208,0,0,0,0,1059,252,7519,4667,12186,-0.00106553,0.0229538,-0.999736,0
4191,0,0,0,0,742,173,5106,3318,8424,0.000307402,0.0229875,-0.999736,0
6064,0,0,0,0,1083,252,7399,4761,12160,0.000459456,0.022367,-0.99975,0
6067,0,0,0,0,1091,254,7412,4808,12220,4.82421e-05,0.0238654,-0.999715,0
6061,0,0,0,0,1071,257,7389,4928,12317,-0.00187721,0.0248328,-0.99969,0
6077,0,0,0,0,1073,256,7406,4601,12007,-0.00221199,0.0248118,-0.99969,0
4273,0,0,0,0,741,175,5189,3428,8617,-0.00125502,0.0255501,-0.999673,0
6013,0,0,0,0,1061,277,7351,4929,12280,-0.00204946,0.0264899,-0.999647,0
6101,0,0,0,0,1092,255,7448,5018,12466,-0.00463478,0.0264834,-0.999639,0
4188,0,0,0,0,742,204,5134,3431,8565,-0.00313771,0.0263285,-0.999648,0
6146,0,0,0,0,1317,317,7780,5128,12908,-0.00477721,0.0275889,-0.999608,0
6202,0,0,0,0,1123,283,7608,5085,12693,-0.00313098,0.0271112,-0.999628,0
6273,0,0,0,0,966,236,7475,4398,11873,-0.0027494,0.0270718,-0.99963,0
5549,0,0,0,0,993,232,6774,4405,11179,-0.00326066,0.0279729,-0.999603,0
4958,0,0,0,0,879,206,6043,4204,10247,-0.00278591,0.0290597,-0.999574,0
6056,0,0,0,0,1084,252,7392,4901,12293,-0.00155828,0.0291021,-0.999575,0
6008,0,0,0,0,1092,256,7356,4930,12286,-0.00064282,0.0282024,-0.999602,0
5721,0,0,0,0,1033,239,6993,4352,11345,-0.00143105,0.0275251,-0.99962,0
6050,0,0,0,0,1120,300,7470,4912,12382,0.000165019,0.0254716,-0.999675,0
5613,0,0,0,0,1002,233,6848,4587,11435,-0.00246861,0.0260906,-0.999656,0
4955,0,0,0,0,882,206,6043,4219,10262,-0.0036344,0.0272356,-0.999623,0
6057,0,0,0,0,1073,254,7384,5053,12437,-0.0058318,0.0303658,-0.999522,0
6024,0,0,0,0,1111,269,7404,4881,12285,-0.00492258,0.0308099,-0.999513,0
6064,0,0,0,0,1067,283,7414,5078,12492,-0.00334454,0.0303557,-0.999534,0
6020,0,0,0,0,1171,288,7479,4962,12441,-0.00272108,0.0274972,-0.999618,0
6099,0,0,0,0,1070,250,7419,5288,12707,-0.0032207,0.0258069,-0.999662,0
6245,0,0,0,0,1105,287,7637,4577,12214,-0.00351919,0.0245416,-0.999692,0
4663,0,0,0,0,753,201,5617,3584,9201,0.000628483,0.0248061,-0.999692,0
5596,0,0,0,0,988,232,6816,4720,11536,0.00724916,0.0252467,-0.999655,0
5522,0,0,0,0,1020,237,6779,4377,11156,0.00650448,0.0258754,-0.999644,0
6029,0,0,0,0,1112,394,7535,5200,12735,0.0012658,0.0258293,-0.999666,0
6100,0,0,0,0,1118,267,7485,5161,12646,-0.00338911,0.0275263,-0.999615,0
6740,0,0,0,0,1151,265,8156,5874,14030,-0.00457065,0.0277014,-0.999606,0
6001,0,0,0,0,1107,260,7368,5317,12685,-0.00381511,0.0302305,-0.999536,0
5975,0,0,0,0,1119,294,7388,4908,12296,-0.00202768,0.0314613,-0.999503,0
5231,0,0,0,0,1061,238,6530,4639,11169,-0.00328952,0.0323308,-0.999472,0
5927,0,0,0,0,1105,269,7301,5170,12471,-0.00447408,0.0347111,-0.999388,0
6062,0,0,0,0,1126,262,7450,5072,12522,-0.00481885,0.0362377,-0.999332,0
4300,0,0,0,0,774,212,5286,3531,8817,-0.00480486,0.0387158,-0.999239,0
6267,0,0,0,0,1114,307,7688,4996,12684,-0.00457072,0.04048,-0.99917,0
6055,0,0,0,0,1104,269,7428,4396,11824,-0.00504983,0.046716,-0.998895,0
5450,0,0,0,0,1019,234,6703,4099,10802,-0.00510778,0.0442449,-0.999008,0
6546,0,0,0,0,1106,267,7919,4502,12421,-0.00377943,0.0446998,-0.998993,0
6040,0,0,0,0,1147,259,7446,4372,11818,-0.00396585,0.0434261,-0.999049,0
4375,0,0,0,0,749,177,5301,2924,8225,-0.0045833,0.0400324,-0.999188,0
6093,0,0,0,0,1136,261,7490,4940,12430,-0.00421887,0.0355801,-0.999358,0
6027,0,0,0,0,1086,256,7369,4733,12102,-0.00291867,0.0329881,-0.999451,0
6154,0,0,0,0,1102,257,7513,4507,12020,-0.00397501,0.0326339,-0.999459,0
6101,0,0,0,0,1081,263,7445,4848,12293,-0.00269309,0.0314041,-0.999503,0
5958,0,0,0,0,1092,293,7343,5006,12349,-0.00277598,0.0311276,-0.999512,0
