Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5230,0,0,0,0,93,50,5373,1368,6741,-0.0894245,-0.0710979,-0.993453,0
5094,0,0,0,0,86,36,5216,2741,7957,-0.0460364,-0.15207,-0.987297,0
5433,0,0,0,0,84,33,5550,2535,8085,-0.0507642,-0.175129,-0.983236,0
5029,0,0,0,0,97,43,5169,2455,7624,-0.0318324,-0.174505,-0.984142,0
5393,0,0,0,0,83,33,5509,2567,8076,-0.0443944,-0.174374,-0.983678,0
5149,0,0,0,0,125,30,5304,211,5515,-0.0845456,-0.110341,-0.990291,0
4976,0,0,0,0,84,29,5089,2421,7510,-0.0503486,-0.174406,-0.983386,0
5265,0,0,0,0,108,36,5409,2410,7819,-0.0491242,-0.17863,-0.982689,0
5040,0,0,0,0,86,32,5158,2483,7641,-0.0425187,-0.175981,-0.983475,0
5145,0,0,0,0,83,30,5258,2400,7658,-0.0476703,-0.174056,-0.983581,0
5990,0,0,0,0,82,44,6116,2383,8499,-0.0456444,-0.161984,-0.985737,0
5187,0,0,0,0,84,31,5302,2503,7805,-0.0353224,-0.185351,-0.982037,0
5100,0,0,0,0,86,29,5215,220,5435,-0.0553587,-0.0797418,-0.995277,0
5107,0,0,0,0,84,31,5222,2640,7862,-0.0455488,-0.177515,-0.983064,0
5226,0,0,0,0,88,34,5348,2612,7960,-0.0475257,-0.182922,-0.981978,0
6198,0,0,0,0,85,30,6313,220,6533,0.059211,-0.254066,-0.965373,0
5105,0,0,0,0,87,30,5222,396,5618,0.0731888,-0.227037,-0.971132,0
5432,0,0,0,0,85,32,5549,351,5900,0.0941043,-0.250847,-0.963442,0
5003,0,0,0,0,88,27,5118,414,5532,0.0986954,-0.334121,-0.937349,0
5007,0,0,0,0,87,27,5121,791,5912,0.0544195,-0.29307,-0.954541,0
4987,0,0,0,0,87,28,5102,602,5704,0.0408417,-0.369555,-0.928311,0
4910,0,0,0,0,88,26,5024,1188,6212,0.0220592,-0.318637,-0.94762,0
5061,0,0,0,0,87,29,5177,785,5962,0.0138207,-0.305245,-0.952174,0
5151,0,0,0,0,89,30,5270,727,5997,0.013193,-0.279494,-0.960057,0
5035,0,0,0,0,83,29,5147,436,5583,0.0121374,-0.318223,-0.947938,0
5836,0,0,0,0,89,31,5956,793,6749,-0.00492946,-0.306933,-0.951718,0
5075,0,0,0,0,85,29,5189,624,5813,-0.00518508,-0.282984,-0.959111,0
5152,0,0,0,0,85,31,5268,471,5739,-0.00380774,-0.321732,-0.946823,0
4993,0,0,0,0,90,28,5111,832,5943,-0.00139976,-0.297894,-0.954598,0
4911,0,0,0,0,87,28,5026,556,5582,-0.00427173,-0.281504,-0.959551,0
5679,0,0,0,0,99,31,5809,446,6255,0.0022301,-0.309485,-0.950902,0
4931,0,0,0,0,84,26,5041,680,5721,-0.00981879,-0.300397,-0.953763,0
5315,0,0,0,0,86,29,5430,662,6092,-0.00846191,-0.273757,-0.961762,0
4965,0,0,0,0,110,31,5106,377,5483,0.00459414,-0.285822,-0.958272,0
4970,0,0,0,0,87,27,5084,500,5584,0.0139362,-0.318017,-0.947983,0
5111,0,0,0,0,125,41,5277,818,6095,0.00285665,-0.308102,-0.951349,0
4897,0,0,0,0,88,26,5011,694,5705,0.000452178,-0.286872,-0.957969,0
3788,0,0,0,0,58,20,3866,340,4206,0.0110587,-0.281266,-0.959566,0
2629,0,0,0,0,63,16,2708,242,2950,0.00914339,-0.314659,-0.949161,0
5200,0,0,0,0,83,28,5311,697,6008,-0.00413471,-0.316694,-0.948519,0
5101,0,0,0,0,99,32,5232,881,6113,-0.00919995,-0.307154,-0.951615,0
2579,0,0,0,0,44,14,2637,354,2991,-0.0171462,-0.301827,-0.953209,0
5046,0,0,0,0,83,30,5159,788,5947,-0.00744639,-0.281169,-0.959629,0
5047,0,0,0,0,87,28,5162,499,5661,0.00114222,-0.34727,-0.937765,0
4973,0,0,0,0,84,31,5088,1076,6164,-0.00283362,-0.303717,-0.952758,0
5203,0,0,0,0,85,29,5317,633,5950,-0.00127348,-0.278928,-0.960311,0
5964,0,0,0,0,99,33,6096,534,6630,0.00946402,-0.289848,-0.957026,0
4904,0,0,0,0,84,27,5015,470,5485,0.00561983,-0.315461,-0.948922,0
4928,0,0,0,0,74,22,5024,462,5486,-0.00123879,-0.315949,-0.948776,0
3448,0,0,0,0,58,21,3527,493,4020,-1.23256e-05,-0.309357,-0.950946,0
5685,0,0,0,0,85,31,5801,648,6449,-0.00144625,-0.294558,-0.955632,0
4946,0,0,0,0,84,27,5057,575,5632,-0.003257,-0.294469,-0.955656,0
5220,0,0,0,0,85,36,5341,576,5917,0.00449638,-0.296232,-0.955105,0
4984,0,0,0,0,87,28,5099,520,5619,0.00286335,-0.285552,-0.958359,0
4971,0,0,0,0,83,26,5080,463,5543,0.00171621,-0.331292,-0.943527,0
5431,0,0,0,0,100,33,5564,927,6491,-0.00288991,-0.302631,-0.953103,0
4911,0,0,0,0,86,26,5023,591,5614,0.00373476,-0.28261,-0.959228,0
5587,0,0,0,0,87,33,5707,446,6153,0.00139785,-0.315287,-0.948995,0
4984,0,0,0,0,82,26,5092,732,5824,-0.00304705,-0.305409,-0.952216,0
