Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5842,0,0,0,0,667,169,6678,1356,8034,-0.0575221,-0.0747485,-0.995542,0
6149,0,0,0,0,646,172,6967,1312,8279,-0.0400745,-0.0334068,-0.998638,0
5966,0,0,0,0,644,158,6768,1338,8106,-0.0131642,0.00921161,-0.999871,0
5737,0,0,0,0,663,160,6560,1258,7818,-0.00395222,0.0233539,-0.99972,0
5990,0,0,0,0,640,160,6790,1413,8203,-0.00244521,0.0242673,-0.999703,0
5711,0,0,0,0,638,182,6531,1307,7838,-0.00369124,0.0247316,-0.999687,0
5911,0,0,0,0,646,160,6717,1297,8014,-0.00407601,0.0244952,-0.999692,0
6556,0,0,0,0,721,176,7453,1599,9052,-0.0040298,0.0242155,-0.999699,0
6106,0,0,0,0,689,180,6975,1367,8342,-0.00463057,0.0248196,-0.999681,0
5947,0,0,0,0,619,152,6718,1305,8023,-0.00436127,0.0229126,-0.999728,0
6589,0,0,0,0,645,152,7386,1297,8683,-0.00509094,0.0247278,-0.999681,0
6305,0,0,0,0,692,183,7180,1359,8539,-0.00384391,0.0252498,-0.999674,0
6525,0,0,0,0,649,154,7328,1362,8690,-0.00347764,0.0262215,-0.99965,0
5694,0,0,0,0,622,152,6468,1337,7805,-0.00322736,0.0273557,-0.999621,0
6551,0,0,0,0,703,172,7426,1472,8898,-0.00308541,0.0249235,-0.999685,0
7306,0,0,0,0,730,197,8233,1557,9790,-0.00317669,0.0203365,-0.999788,0
6306,0,0,0,0,460,114,6880,945,7825,-0.00252496,0.0232223,-0.999728,0
4401,0,0,0,0,505,133,5039,946,5985,-0.00389949,0.0236672,-0.999712,0
6452,0,0,0,0,680,168,7300,1419,8719,-0.00486634,0.028277,-0.999588,0
6130,0,0,0,0,446,112,6688,962,7650,-0.00853871,0.0314266,-0.999469,0
2557,0,0,0,0,271,66,2894,539,3433,-0.0104675,0.0324977,-0.999417,0
2846,0,0,0,0,310,73,3229,642,3871,-0.00995143,0.0329278,-0.999408,0
7094,0,0,0,0,669,214,7977,1372,9349,-0.0107053,0.0333836,-0.999385,0
6475,0,0,0,0,683,167,7325,1340,8665,-0.0123357,0.0321725,-0.999406,0
7673,0,0,0,0,514,113,8300,837,9137,-0.0114368,0.0316687,-0.999433,0
4342,0,0,0,0,471,111,4924,871,5795,-0.0109653,0.0318367,-0.999433,0
6878,0,0,0,0,698,170,7746,1423,9169,-0.0123727,0.0324749,-0.999396,0
6524,0,0,0,0,647,161,7332,1318,8650,-0.00975952,0.0382437,-0.999221,0
6372,0,0,0,0,620,167,7159,1173,8332,-0.00948671,0.0412868,-0.999102,0
6564,0,0,0,0,648,159,7371,1092,8463,-0.00802601,0.0448816,-0.99896,0
6210,0,0,0,0,565,142,6917,1008,7925,-0.00703374,0.0435097,-0.999029,0
5623,0,0,0,0,557,140,6320,915,7235,-0.00688025,0.0418305,-0.999101,0
6561,0,0,0,0,628,158,7347,1073,8420,-0.00510169,0.0423784,-0.999089,0
