Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4871,0,300,399,3423,63,220,9276,1791,11067,-0.0238148,0.0667746,-0.997484,0
4710,0,301,377,3231,48,217,8884,1780,10664,-0.0302894,0.06904,-0.997154,0
4796,0,299,376,3234,38,220,8963,1749,10712,-0.0114691,0.0549748,-0.998422,0
4785,0,298,377,3264,40,216,8980,1764,10744,-0.0153965,0.0584974,-0.998169,0
4880,0,329,381,3211,39,237,9077,1859,10936,-0.0172478,0.0641169,-0.997793,0
4894,0,300,379,3303,38,221,9135,1846,10981,-0.023535,0.0694288,-0.997309,0
4789,0,299,379,3176,38,213,8894,1806,10700,-0.0250832,0.0697583,-0.997248,0
4799,0,300,406,3885,56,293,9739,1827,11566,-0.0228488,0.0723048,-0.997121,0
4752,0,384,380,3316,38,236,9106,1818,10924,-0.0265342,0.0726457,-0.997005,0
5416,0,299,380,3383,39,263,9780,1780,11560,-0.0160171,0.0573078,-0.998228,0
4682,0,342,423,3209,38,217,8911,1826,10737,-0.0291213,0.0704258,-0.997092,0
4782,0,329,375,3295,38,215,9034,1801,10835,-0.0202317,0.0566889,-0.998187,0
4718,0,296,372,3255,37,213,8891,1779,10670,-0.0288739,0.0636116,-0.997557,0
4749,0,310,376,3323,37,217,9012,1780,10792,-0.0198365,0.0682977,-0.997468,0
4840,0,298,385,3332,39,228,9122,1815,10937,-0.0290053,0.0618465,-0.997664,0
4662,0,298,376,3266,39,216,8857,1783,10640,-0.022255,0.0802733,-0.996524,0
4410,0,207,259,2239,25,151,7291,1209,8500,-0.014788,0.0554276,-0.998353,0
3903,0,306,310,2685,31,178,7413,1498,8911,-0.0274353,0.0709644,-0.997101,0
4696,0,317,382,3225,37,220,8877,1777,10654,-0.0179424,0.0596533,-0.998058,0
4777,0,295,374,3243,38,215,8942,1742,10684,-0.0275247,0.0691483,-0.997227,0
5350,0,403,497,3276,37,215,9778,1772,11550,-0.0247942,0.0581098,-0.998002,0
4620,0,294,429,3179,37,214,8773,1771,10544,-0.0219816,0.0689357,-0.997379,0
3289,0,204,213,1691,20,112,5529,942,6471,-0.0132772,0.0591816,-0.998159,0
2056,0,128,162,1391,17,93,3847,751,4598,-0.0128213,0.0506581,-0.998634,0
4804,0,295,374,3267,37,222,8999,1783,10782,-0.0254488,0.0698346,-0.997234,0
4736,0,298,373,3278,39,218,8942,1819,10761,-0.0250523,0.0730004,-0.997017,0
4790,0,299,377,3320,38,218,9042,1784,10826,-0.00595408,0.0590902,-0.998235,0
4863,0,298,373,3298,41,217,9090,1750,10840,-0.0238698,0.0682075,-0.997385,0
4735,0,309,406,3247,50,217,8964,1854,10818,-0.0160229,0.060308,-0.998051,0
4799,0,297,378,3173,38,216,8901,1766,10667,-0.0190235,0.0638187,-0.99778,0
4743,0,297,372,3333,37,219,9001,1747,10748,-0.0193405,0.0571248,-0.998179,0
5402,0,334,440,3487,37,211,9911,1746,11657,-0.0239884,0.075256,-0.996875,0
4783,0,339,406,3184,39,218,8969,1803,10772,-0.0252084,0.0722194,-0.99707,0
3268,0,206,266,2363,26,150,6279,1272,7551,-0.0248788,0.0637893,-0.997653,0
5076,0,298,376,3294,37,219,9300,1766,11066,-0.00829335,0.041464,-0.999105,0
4278,0,207,261,2231,26,146,7149,1138,8287,-0.0173455,0.0496813,-0.998615,0
2030,0,127,160,1398,16,90,3821,749,4570,-0.0279764,0.0642732,-0.99754,0
3243,0,204,255,2273,25,167,6167,1221,7388,-0.0175545,0.0507369,-0.998557,0
4676,0,295,396,3242,49,217,8875,1774,10649,-0.0304736,0.0627998,-0.997561,0
4738,0,321,375,3158,48,255,8895,1832,10727,-0.028414,0.0707481,-0.997089,0
4773,0,300,377,3273,39,218,8980,1791,10771,-0.0182993,0.0554947,-0.998291,0
4985,0,299,383,3189,36,207,9099,1746,10845,-0.0239885,0.0628448,-0.997735,0
4589,0,298,375,3572,38,220,9092,1802,10894,-0.0265438,0.0719353,-0.997056,0
4830,0,297,382,3194,37,212,8952,1746,10698,-0.0187244,0.0585328,-0.99811,0
4875,0,320,382,3342,45,295,9259,1886,11145,-0.0275158,0.0676918,-0.997327,0
4919,0,296,385,3674,52,220,9546,1820,11366,-0.0199573,0.0595177,-0.998028,0
4918,0,362,378,3205,40,216,9119,1878,10997,-0.0250556,0.0715705,-0.997121,0
4910,0,325,392,3594,38,220,9479,1770,11249,-0.0273665,0.0714473,-0.997069,0
3393,0,207,258,2234,25,167,6284,1275,7559,-0.0172626,0.0545197,-0.998363,0
4997,0,418,512,3359,38,219,9543,1803,11346,-0.0207551,0.0778299,-0.996751,0
4890,0,308,451,3305,38,225,9217,1829,11046,-0.025777,0.0619374,-0.997747,0
2469,0,178,209,1743,17,104,4720,750,5470,-0.024238,0.0631539,-0.997709,0
2921,0,180,226,1996,22,131,5476,1045,6521,-0.02827,0.0698133,-0.99716,0
4783,0,299,376,3326,38,217,9039,1745,10784,-0.0238835,0.0652922,-0.997581,0
4749,0,298,394,3270,39,216,8966,1798,10764,-0.0272419,0.0679898,-0.997314,0
4964,0,300,457,3416,44,220,9401,1889,11290,-0.0256563,0.0612537,-0.997792,0
3857,0,207,259,2472,20,117,6932,923,7855,-0.0268858,0.0582032,-0.997943,0
2500,0,158,198,1674,19,111,4660,931,5591,-0.0285137,0.0655689,-0.997441,0
4883,0,313,409,3224,38,217,9084,1855,10939,-0.0188316,0.0695604,-0.9974,0
4872,0,309,408,3526,39,222,9376,1781,11157,-0.0253951,0.0698741,-0.997233,0
4792,0,382,386,3345,39,220,9164,1839,11003,-0.0271811,0.0645647,-0.997543,0
4614,0,300,420,3265,37,216,8852,1809,10661,-0.0221868,0.065831,-0.997584,0
4732,0,307,432,3300,44,218,9033,2043,11076,-0.0288521,0.0708321,-0.997071,0
4908,0,323,378,3546,37,219,9411,1744,11155,-0.0241235,0.069226,-0.997309,0
4894,0,298,376,3343,38,218,9167,1809,10976,-0.0246621,0.0679469,-0.997384,0
4794,0,299,398,3358,38,320,9207,2248,11455,-0.0234123,0.0764587,-0.996798,0
4955,0,299,379,3612,38,220,9503,1746,11249,-0.0158302,0.0667977,-0.997641,0
5440,0,296,511,3295,26,151,9719,1259,10978,-0.0252123,0.0666724,-0.997456,0
4256,0,269,336,2928,35,192,8016,1575,9591,-0.0221132,0.0620438,-0.997828,0
