Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6374,0,203,313,2178,76,158,9302,1830,11132,0.069751,0.0626319,-0.995596,0
6000,0,214,260,2022,51,147,8694,1802,10496,0.0471652,0.0642065,-0.996822,0
6111,0,202,260,1991,55,149,8768,1541,10309,0.0481938,0.0771896,-0.995851,0
4079,0,140,177,1438,51,104,5989,1219,7208,0.0422451,0.0799613,-0.995902,0
6290,0,202,259,2086,48,151,9036,1748,10784,0.0456159,0.0734135,-0.996258,0
5913,0,202,281,2001,47,149,8593,1767,10360,0.0625268,0.0545489,-0.996552,0
6178,0,205,262,2040,53,149,8887,1778,10665,0.0535396,0.065848,-0.996392,0
4060,0,140,178,1436,36,103,5953,1211,7164,0.0405626,0.0809665,-0.995891,0
6356,0,203,261,2010,48,148,9026,1741,10767,0.0575466,0.0587322,-0.996614,0
5874,0,202,260,1979,47,148,8510,1784,10294,0.0557685,0.064474,-0.99636,0
6369,0,204,271,2066,53,150,9113,1837,10950,0.0352757,0.0827301,-0.995948,0
5970,0,141,180,1380,35,101,7807,1221,9028,0.0543951,0.0645873,-0.996428,0
2516,0,87,112,873,20,64,3672,755,4427,0.0515882,0.0629763,-0.996681,0
2767,0,96,122,967,23,71,4046,840,4886,0.0554226,0.0581891,-0.996766,0
7328,0,306,411,2185,51,154,10435,1792,12227,0.0538617,0.0650914,-0.996425,0
5916,0,270,268,2051,51,152,8708,1784,10492,0.0504822,0.0697132,-0.996289,0
6059,0,205,265,2046,58,151,8784,1745,10529,0.0543278,0.0650465,-0.996402,0
5843,0,141,182,1450,36,101,7753,1277,9030,0.0365129,0.081457,-0.996008,0
3773,0,150,167,1290,34,93,5507,1127,6634,0.0462224,0.068776,-0.996561,0
7615,0,354,442,3237,87,249,11984,2549,14533,0.0576842,0.0465823,-0.997248,0
6161,0,203,263,1993,52,148,8820,1785,10605,0.0405386,0.0841695,-0.995627,0
6009,0,202,258,1988,49,149,8655,1760,10415,0.0487644,0.068545,-0.996456,0
5891,0,208,257,2024,47,148,8575,1765,10340,0.0552447,0.0684323,-0.996125,0
6728,0,236,290,2277,57,179,9767,1967,11734,0.0477853,0.076093,-0.995955,0
6724,0,230,339,2251,60,189,9793,2019,11812,0.0481159,0.0712083,-0.9963,0
4403,0,152,192,1520,39,109,6415,1304,7719,0.0501628,0.0612772,-0.99686,0
6777,0,229,294,2268,57,166,9791,2005,11796,0.0469093,0.0726469,-0.996254,0
6595,0,247,288,2261,57,164,9612,2025,11637,0.0547365,0.0624303,-0.996547,0
5957,0,203,287,2029,48,151,8675,1761,10436,0.0470422,0.0804075,-0.995651,0
6630,0,228,303,2310,79,167,9717,1985,11702,0.0466823,0.0668128,-0.996673,0
