Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5500,0,333,450,3680,85,240,10288,1602,11890,-0.00911585,-0.00434266,-0.999949,0
5390,0,335,419,3632,70,239,10085,1643,11728,-0.00905469,-0.00461614,-0.999948,0
5176,0,336,423,4098,78,243,10354,1622,11976,-0.00858819,-0.00234863,-0.99996,0
5397,0,335,421,3583,77,237,10050,1613,11663,-0.00677944,-0.00123642,-0.999977,0
5239,0,336,434,3608,78,247,9942,1605,11547,-0.00898858,-0.00305205,-0.999955,0
5784,0,373,469,4076,84,269,11055,1782,12837,-0.00888042,-0.00207002,-0.999958,0
5877,0,373,494,4022,70,273,11109,1822,12931,-0.00887472,-0.00322554,-0.999956,0
5842,0,372,469,4184,48,187,11102,1219,12321,-0.0100892,-0.0050247,-0.999936,0
5196,0,335,419,3533,63,245,9791,1698,11489,-0.0105592,-0.00538439,-0.99993,0
6106,0,405,470,3938,82,261,11262,1732,12994,-0.0092529,-0.00496715,-0.999945,0
6004,0,373,516,4094,67,271,11325,1436,12761,-0.0105333,-0.00547598,-0.99993,0
4240,0,259,326,2878,51,186,7940,1245,9185,-0.00879902,-0.00516158,-0.999948,0
5273,0,335,427,4192,61,246,10534,1607,12141,-0.00971559,-0.00790677,-0.999922,0
6216,0,405,474,4102,69,274,11540,1767,13307,-0.00834423,-0.00177627,-0.999964,0
5826,0,373,467,3958,104,238,10966,1818,12784,-0.00833772,-0.00321952,-0.99996,0
5845,0,374,474,4019,67,269,11048,1829,12877,-0.00810804,0.0019579,-0.999965,0
5835,0,373,467,4075,106,274,11130,1791,12921,-0.00888665,-0.00240074,-0.999958,0
5772,0,375,473,4053,84,271,11028,1770,12798,-0.00877032,-0.00104648,-0.999961,0
5796,0,372,477,3965,68,269,10947,1861,12808,-0.00806573,0.000739566,-0.999967,0
5763,0,384,496,3987,86,268,10984,1786,12770,-0.00716758,-0.00368241,-0.999967,0
5803,0,366,456,3934,72,264,10895,1803,12698,-0.00707912,-0.00667689,-0.999953,0
5829,0,370,461,3898,73,263,10894,1777,12671,-0.0111075,-0.024021,-0.99965,0
5956,0,367,464,3915,74,264,11040,1806,12846,-0.0126666,-0.0438235,-0.998959,0
5795,0,367,452,3864,65,259,10802,1789,12591,-0.0141356,-0.0556581,-0.99835,0
5869,0,366,482,3817,86,260,10880,1840,12720,-0.0242168,-0.0994123,-0.994752,0
5348,0,285,318,2532,39,140,8662,952,9614,-0.0188911,-0.0880231,-0.995939,0
2531,0,156,194,1478,24,92,4475,647,5122,-0.0119412,-0.0788254,-0.996817,0
4244,0,274,320,2699,45,183,7765,1238,9003,-0.0242886,-0.0623056,-0.997762,0
6644,0,379,481,3986,64,273,11827,1770,13597,-0.0309266,-0.0498861,-0.998276,0
2831,0,167,209,1727,24,117,5075,760,5835,-0.0336169,-0.0436559,-0.998481,0
6374,0,399,581,4243,50,288,11935,1766,13701,-0.0464919,-0.0161225,-0.998789,0
6306,0,424,515,4368,68,295,11976,1818,13794,-0.0582734,-0.00636136,-0.99828,0
6279,0,422,536,4355,54,272,11918,1726,13644,-0.0600762,-0.024343,-0.997897,0
6135,0,451,601,4793,80,351,12411,1842,14253,-0.0491043,-0.0533673,-0.997367,0
4280,0,307,386,3228,42,220,8463,1230,9693,-0.0398089,-0.0728104,-0.996551,0
6246,0,457,575,4897,74,331,12580,1763,14343,-0.0378112,-0.126032,-0.991305,0
6200,0,484,603,4965,62,336,12650,1799,14449,-0.0237878,-0.137306,-0.990243,0
4307,0,316,395,3372,55,224,8669,1253,9922,-0.0308171,-0.206986,-0.977858,0
6183,0,440,579,4744,78,312,12336,1796,14132,0.0128028,-0.221374,-0.975105,0
6026,0,408,497,4414,72,289,11706,1363,13069,0.0391527,-0.292168,-0.955565,0
3985,0,246,317,2588,46,174,7356,1252,8608,0.0166858,-0.411543,-0.911238,0
5464,0,304,376,2911,79,216,9350,1816,11166,-0.00414644,-0.540688,-0.841214,0
5447,0,312,363,2515,54,188,8879,1829,10708,-0.0330412,-0.663417,-0.74752,0
5274,0,282,375,3004,51,209,9195,1804,10999,-0.069231,-0.683211,-0.726932,0
5327,0,305,362,3059,66,209,9328,-1000,-1000,-1,-1,-1,0
5289,0,287,370,2876,51,214,9087,-1000,-1000,-1,-1,-1,0
5301,0,283,367,2964,55,209,9179,-1000,-1000,-1,-1,-1,0
5295,0,286,381,3029,65,209,9265,-1000,-1000,-1,-1,-1,0
5470,0,280,357,2946,73,202,9328,-1000,-1000,-1,-1,-1,0
5923,0,263,359,2749,66,211,9571,-1000,-1000,-1,-1,-1,0
5530,0,248,316,2658,67,187,9006,-1000,-1000,-1,-1,-1,0
5600,0,206,266,2245,76,156,8549,-1000,-1000,-1,-1,-1,0
3827,0,98,130,1016,36,71,5178,939,6117,-0.107341,0.651065,-0.751394,0
1965,0,64,82,673,27,47,2858,653,3511,-0.0982565,0.329333,-0.939088,0
