Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6203,0,549,608,4216,74,274,11924,1859,13783,-0.0205498,0.0750426,-0.996969,0
6151,0,433,661,4438,46,272,12001,1502,13503,-0.019459,0.0770848,-0.996834,0
4134,0,262,326,2874,31,190,7817,1203,9020,-0.0166517,0.0713583,-0.997312,0
6374,0,379,508,4208,49,276,11794,1745,13539,-0.0170161,0.0631272,-0.99786,0
6081,0,389,492,4040,45,280,11327,1741,13068,-0.0163883,0.0652405,-0.997735,0
4134,0,260,320,2775,41,204,7734,1291,9025,-0.0159534,0.0588039,-0.998142,0
6051,0,397,494,4083,52,270,11347,1758,13105,-0.0138352,0.0625723,-0.997944,0
6046,0,375,466,4036,61,267,11251,1889,13140,-0.0124255,0.0635966,-0.997898,0
5996,0,389,465,4729,50,190,11819,1204,13023,-0.012674,0.0648155,-0.997817,0
4092,0,336,353,2749,57,183,7770,1254,9024,-0.0162189,0.0667653,-0.997637,0
6085,0,594,663,4454,65,268,12129,1733,13862,-0.014309,0.0639255,-0.997852,0
6228,0,378,493,4347,119,334,11899,1900,13799,-0.0152394,0.082738,-0.996455,0
6202,0,430,478,3959,64,266,11399,1758,13157,-0.0166589,0.0846341,-0.996273,0
4093,0,261,324,2771,62,185,7696,1205,8901,-0.0168748,0.0847116,-0.996262,0
6059,0,380,475,4083,70,293,11360,1769,13129,-0.0181865,0.0937139,-0.995433,0
6485,0,380,547,4237,63,275,11987,1223,13210,-0.025207,0.103596,-0.9943,0
4118,0,264,326,2789,44,216,7757,1260,9017,-0.0283876,0.0995701,-0.994626,0
5921,0,439,489,4354,56,285,11544,1780,13324,-0.0321895,0.116509,-0.992668,0
5961,0,412,488,4520,46,197,11624,1202,12826,-0.0288331,0.112617,-0.99322,0
4099,0,263,325,2827,40,202,7756,1206,8962,-0.0350574,0.11742,-0.992463,0
6061,0,418,597,4085,88,297,11546,1746,13292,-0.0431134,0.135889,-0.989785,0
6174,0,309,314,2781,42,181,9801,1228,11029,-0.0483002,0.143097,-0.988529,0
3768,0,197,248,2058,37,138,6446,943,7389,-0.0503768,0.149544,-0.987471,0
6902,0,422,488,3987,74,271,12144,1767,13911,-0.0542928,0.172977,-0.983428,0
6311,0,375,471,3864,45,187,11253,1205,12458,-0.0590403,0.179943,-0.981904,0
6149,0,376,468,4170,53,270,11486,1809,13295,-0.0503952,0.194951,-0.979517,0
4535,0,260,322,2902,45,185,8249,1209,9458,-0.0574922,0.198718,-0.978369,0
6948,0,423,523,4377,53,263,12587,1789,14376,-0.0578968,0.215046,-0.974886,0
6107,0,389,457,3961,48,258,11220,1809,13029,-0.0522323,0.243868,-0.968401,0
4256,0,243,311,2754,51,174,7789,1221,9010,-0.0500491,0.244827,-0.968274,0
5867,0,453,439,3726,73,264,10822,1777,12599,-0.0463721,0.281079,-0.958563,0
5982,0,338,421,3713,74,243,10771,1811,12582,-0.0520337,0.308714,-0.949731,0
4258,0,224,281,2423,45,163,7394,1205,8599,-0.0483938,0.33695,-0.940278,0
5187,0,290,378,2966,57,200,9078,1594,10672,-0.0499646,0.386039,-0.921128,0
5621,0,302,379,3216,62,241,9821,1772,11593,-0.0623458,0.422452,-0.904238,0
5351,0,288,364,3115,62,210,9390,1794,11184,-0.0784714,0.444752,-0.89221,0
