Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6662,0,352,455,3652,99,251,11471,1753,13224,-0.0126569,0.046017,-0.99886,0
6010,0,357,430,3607,57,246,10707,1788,12495,-0.0130251,0.0461959,-0.998847,0
4509,0,245,295,2433,41,168,7691,1208,8899,-0.012706,0.0446157,-0.998923,0
6082,0,466,424,3498,55,237,10762,1745,12507,-0.0144844,0.0471279,-0.998784,0
5947,0,356,420,3580,62,240,10605,1720,12325,-0.0141263,0.044998,-0.998887,0
6029,0,356,423,3656,61,245,10770,1769,12539,-0.014477,0.0449869,-0.998882,0
5865,0,354,419,3632,64,239,10573,1793,12366,-0.0151803,0.04696,-0.998782,0
6219,0,358,428,3607,50,243,10905,1788,12693,-0.0165615,0.0515284,-0.998534,0
5987,0,357,421,3734,56,246,10801,1831,12632,-0.0134611,0.0516632,-0.998574,0
5968,0,351,419,3533,58,240,10569,1745,12314,-0.0112429,0.0495811,-0.998707,0
6029,0,354,427,3415,36,168,10429,1211,11640,-0.01252,0.0458281,-0.998871,0
6086,0,352,419,3541,56,238,10692,1744,12436,-0.0118371,0.0407844,-0.999098,0
5942,0,356,427,3574,62,240,10601,1801,12402,-0.0131479,0.0450541,-0.998898,0
5962,0,384,428,3803,55,249,10881,1757,12638,-0.0141104,0.0423544,-0.999003,0
5948,0,358,415,3651,91,209,10672,1231,11903,-0.0151762,0.0443335,-0.998902,0
4143,0,255,299,2516,47,166,7426,1209,8635,-0.0137719,0.0442262,-0.998927,0
5905,0,357,424,3589,67,241,10583,1746,12329,-0.0148491,0.0425134,-0.998986,0
5962,0,355,438,3528,57,244,10584,1777,12361,-0.0127774,0.0430546,-0.998991,0
5997,0,359,424,3625,61,244,10710,1765,12475,-0.0122045,0.0436392,-0.998973,0
6037,0,387,437,3612,61,241,10775,1760,12535,-0.0143249,0.0470764,-0.998788,0
6099,0,360,426,3632,55,243,10815,1748,12563,-0.0130762,0.0436579,-0.998961,0
6050,0,358,424,3657,61,247,10797,1776,12573,-0.0160642,0.0483324,-0.998702,0
5412,0,324,387,3314,52,223,9712,1633,11345,-0.0148293,0.0444083,-0.998903,0
6204,0,357,391,3355,81,225,10613,1568,12181,-0.0133517,0.0423838,-0.999012,0
3901,0,231,273,2340,47,156,6948,1122,8070,-0.0146426,0.0423965,-0.998993,0
5964,0,358,451,3655,74,247,10749,1802,12551,-0.0164747,0.0436986,-0.998909,0
6028,0,387,430,3782,74,257,10958,1795,12753,-0.0147214,0.040245,-0.999082,0
6003,0,359,424,3719,63,246,10814,1769,12583,-0.0152959,0.0418155,-0.999008,0
6173,0,371,426,3703,84,253,11010,1750,12760,-0.0145546,0.0418538,-0.999018,0
5526,0,333,383,3343,66,221,9872,1570,11442,-0.0144269,0.0425336,-0.998991,0
