Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5198,3796,88,486,0,867,255,10690,1760,12450,-0.0228589,0.0376383,-0.99903,0
6181,3762,34,434,0,851,298,11560,3238,14798,0.0195508,0.00104218,-0.999808,0
3506,2409,23,284,0,574,161,6957,2596,9553,0.021272,0.000981576,-0.999773,0
4076,2407,27,306,0,539,171,7526,2243,9769,0.022001,0.000947015,-0.999757,0
6269,3469,34,555,0,832,268,11427,3607,15034,0.0223892,-0.000258221,-0.999749,0
3644,2472,23,364,0,566,182,7251,2599,9850,0.0217552,-0.000254458,-0.999763,0
3512,2415,23,327,0,562,182,7021,2540,9561,0.0227144,0.0023674,-0.999739,0
3513,2384,23,288,0,563,158,6929,2551,9480,0.021647,0.000713339,-0.999766,0
5084,3447,34,405,0,915,306,10191,4692,14883,0.0221454,0.00879804,-0.999716,0
2713,1843,18,221,0,431,120,5346,1944,7290,0.02018,0.0104663,-0.999742,0
4258,2826,26,334,0,664,188,8296,3048,11344,0.0200329,0.00771998,-0.999769,0
5233,3611,44,490,0,841,309,10528,3790,14318,0.0209404,0.00893781,-0.999741,0
5364,3523,36,456,0,919,263,10561,3550,14111,0.0177641,0.0112562,-0.999779,0
5694,3530,32,461,0,813,233,10763,3715,14478,0.0205059,0.0112682,-0.999726,0
3652,2480,24,305,0,579,160,7200,2518,9718,0.0189859,0.0117682,-0.99975,0
4803,3278,34,429,0,840,215,9599,3399,12998,0.0156764,0.00934047,-0.999834,0
4835,3208,31,411,0,760,252,9497,3008,12505,0.0209909,0.0121348,-0.999706,0
5344,3619,34,408,0,909,235,10549,2856,13405,0.0198413,0.0109228,-0.999743,0
5411,3531,36,410,0,810,239,10437,3684,14121,0.0209895,0.0113428,-0.999715,0
3689,1835,19,215,0,461,120,6339,2041,8380,0.0202677,0.0103928,-0.999741,0
1872,1120,12,135,0,256,71,3466,1114,4580,0.021657,0.00848806,-0.99973,0
