Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4961,3425,96,416,0,759,212,9869,392,10261,-0.0320434,0.104569,-0.994001,0
4710,3326,35,384,0,757,213,9425,544,9969,-0.0387941,0.0417072,-0.998376,0
4777,3279,34,384,0,780,233,9487,1497,10984,-0.0387674,0.0711765,-0.99671,0
4807,3227,33,345,0,733,209,9354,361,9715,-0.0429044,0.0415781,-0.998214,0
4699,3397,34,387,0,755,213,9485,1492,10977,-0.0326683,0.0755862,-0.996604,0
4735,3201,33,397,0,753,209,9328,290,9618,-0.0323081,0.0393012,-0.998705,0
4761,3265,34,385,0,773,220,9438,1478,10916,-0.032507,0.0734734,-0.996767,0
4686,3201,33,386,0,782,264,9352,330,9682,-0.033738,0.0278807,-0.999042,0
5195,3424,35,415,0,771,221,10061,1757,11818,-0.0337271,0.0737698,-0.996705,0
4785,3307,33,390,0,755,211,9481,345,9826,-0.044125,0.0308179,-0.998551,0
5162,3298,33,386,0,774,214,9867,1478,11345,-0.039328,0.0717195,-0.996649,0
4856,3276,33,380,0,748,234,9527,306,9833,-0.0398839,0.0539076,-0.997749,0
4764,3319,32,384,0,756,209,9464,242,9706,-0.0178108,0.0563515,-0.998252,0
4854,3346,36,390,0,598,147,9371,240,9611,-0.0442959,0.0202049,-0.998814,0
3194,2282,27,283,0,526,147,6459,1070,7529,-0.0396961,0.0682035,-0.996882,0
3253,2277,23,266,0,556,146,6521,176,6697,-0.0631014,0.0250243,-0.997693,0
4714,3299,33,411,0,796,219,9472,1506,10978,-0.0316054,0.0716163,-0.996932,0
4671,3339,35,388,0,761,211,9405,320,9725,-0.0411741,0.0431501,-0.99822,0
4631,3342,35,386,0,749,210,9353,1477,10830,-0.0370656,0.0708876,-0.996795,0
4679,3241,33,383,0,755,209,9300,296,9596,-0.0560498,0.0203903,-0.99822,0
4613,3289,34,382,0,744,210,9272,1457,10729,-0.0261364,0.0759932,-0.996766,0
3202,1839,18,200,0,396,110,5765,193,5958,-0.0158066,0.0552875,-0.998345,0
2025,1399,15,163,0,323,89,4014,129,4143,-0.016451,0.0528144,-0.998469,0
4719,3235,33,383,0,749,230,9349,272,9621,-0.0443245,0.0195682,-0.998825,0
4872,3276,34,433,0,777,234,9626,1482,11108,-0.0331158,0.0735948,-0.996738,0
4712,3181,33,406,0,761,210,9303,318,9621,-0.0316162,0.0401275,-0.998694,0
4706,3291,33,379,0,749,210,9368,1504,10872,-0.0272254,0.0736212,-0.996915,0
4673,3257,33,393,0,758,211,9325,324,9649,-0.022424,0.0505058,-0.998472,0
4641,3191,39,378,0,761,214,9224,1372,10596,-0.0333229,0.0773845,-0.996444,0
5250,3321,34,440,0,753,214,10012,325,10337,-0.0329609,0.0392919,-0.998684,0
4677,3268,33,377,0,761,210,9326,1465,10791,-0.0281662,0.0746035,-0.996815,0
4670,3313,33,381,0,794,208,9399,311,9710,-0.0222132,0.0509748,-0.998453,0
4869,3693,42,511,0,854,244,10213,1582,11795,-0.0263512,0.0741744,-0.996897,0
6259,3667,35,418,0,773,245,11397,371,11768,-0.0182283,0.0519212,-0.998485,0
4495,2295,23,266,0,523,144,7746,171,7917,-0.0215795,0.0416112,-0.998901,0
2098,1419,15,163,0,339,92,4126,621,4747,-0.0316026,0.076778,-0.996547,0
3303,1926,21,226,0,461,148,6085,201,6286,-0.0415605,0.0343189,-0.998547,0
4801,3325,32,396,0,1024,317,9895,1753,11648,-0.0310375,0.0725181,-0.996884,0
4783,3253,34,383,0,776,209,9438,315,9753,-0.0442815,0.0189194,-0.99884,0
4774,3301,34,388,0,757,235,9489,1496,10985,-0.0306089,0.0769557,-0.996565,0
4959,3347,33,384,0,754,211,9688,330,10018,-0.0263273,0.0434015,-0.998711,0
4684,3264,33,388,0,754,237,9360,1480,10840,-0.0290791,0.0753469,-0.996733,0
4692,3261,33,381,0,765,209,9341,300,9641,-0.0168239,0.0637501,-0.997824,0
4809,3366,33,385,0,804,215,9612,308,9920,-0.0240637,0.0372282,-0.999017,0
4864,3760,34,404,0,784,228,10074,1499,11573,-0.0264723,0.0766814,-0.996704,0
4827,3213,34,383,0,817,212,9486,408,9894,-0.0140391,0.0589573,-0.998162,0
4745,3245,34,388,0,756,212,9380,345,9725,-0.0127018,0.0506755,-0.998634,0
4693,3270,33,399,0,784,213,9392,227,9619,-0.0213892,0.0432078,-0.998837,0
5122,3268,33,383,0,754,235,9795,1484,11279,-0.0293012,0.0758784,-0.996686,0
4750,3325,31,378,0,767,209,9460,350,9810,-0.0395194,0.0456667,-0.998174,0
4342,2287,23,262,0,566,148,7628,920,8548,-0.0290188,0.0737891,-0.996851,0
2010,1436,15,164,0,351,91,4067,144,4211,-0.0283936,0.0497882,-0.998356,0
4665,3359,34,421,0,753,212,9444,1501,10945,-0.0321192,0.0700781,-0.997024,0
6054,3332,35,388,0,781,211,10801,337,11138,-0.0441531,0.0221521,-0.998779,0
5690,3645,39,498,0,900,219,10991,1644,12635,-0.0340323,0.0649135,-0.99731,0
3673,2271,21,266,0,400,110,6741,141,6882,-0.0564503,0.0382187,-0.997673,0
2018,1408,15,163,0,323,91,4018,635,4653,-0.038696,0.0641353,-0.997191,0
4779,3279,33,382,0,752,207,9432,280,9712,-0.0603159,0.0366232,-0.997508,0
4783,3264,34,388,0,777,215,9461,1441,10902,-0.030446,0.0704695,-0.997049,0
4885,3360,34,387,0,763,212,9641,321,9962,-0.0228729,0.052723,-0.998347,0
5302,3684,33,388,0,782,212,10401,241,10642,-0.0412444,0.0363737,-0.998487,0
5205,3280,32,383,0,750,210,9860,1486,11346,-0.0330201,0.0720976,-0.996851,0
5341,3708,39,432,0,850,235,10605,363,10968,-0.032335,0.0396369,-0.998691,0
5320,3800,33,426,0,753,215,10547,1493,12040,-0.0273767,0.0757416,-0.996752,0
4698,3326,35,381,0,842,218,9500,343,9843,-0.0142428,0.0610446,-0.998033,0
5634,3757,37,433,0,879,240,10980,373,11353,-0.045403,0.0117124,-0.9989,0
5320,3737,38,481,0,840,242,10658,1633,12291,-0.0382645,0.0724594,-0.996637,0
4712,3316,33,384,0,783,212,9440,384,9824,-0.0443193,0.0253465,-0.998696,0
5441,3822,40,463,0,849,240,10855,1646,12501,-0.0350561,0.0752639,-0.996547,0
5512,3682,46,460,0,849,237,10786,335,11121,-0.0423571,0.0408915,-0.998266,0
4775,3286,33,382,0,808,218,9502,1468,10970,-0.0266624,0.0737159,-0.996923,0
4875,3266,33,385,0,759,213,9531,306,9837,-0.0204792,0.0529709,-0.998386,0
5629,3762,39,474,0,939,243,11086,252,11338,-0.0239492,0.0393838,-0.998937,0
5296,3591,36,385,0,804,218,10330,1502,11832,-0.024658,0.0703771,-0.997216,0
4630,3305,35,437,0,822,217,9446,311,9757,-0.0227001,0.0490311,-0.99854,0
4821,3235,35,387,0,771,211,9460,201,9661,-0.0395289,0.0443582,-0.998233,0
4767,3251,35,384,0,755,213,9405,1480,10885,-0.0263394,0.0700777,-0.997194,0
4682,3267,35,388,0,808,216,9396,333,9729,-0.0277103,0.0513914,-0.998294,0
4728,3378,34,386,0,762,233,9521,208,9729,-0.0228671,0.0567214,-0.998128,0
4820,3363,34,386,0,757,211,9571,283,9854,-0.042779,0.0256029,-0.998756,0
4690,3369,33,442,0,760,215,9509,1421,10930,-0.0312176,0.0653833,-0.997372,0
4808,3406,34,392,0,782,239,9661,323,9984,-0.029199,0.0466549,-0.998484,0
4743,3282,34,432,0,778,215,9484,1517,11001,-0.0301845,0.0680836,-0.997223,0
4763,3357,34,384,0,753,209,9500,301,9801,-0.0448487,0.0188498,-0.998816,0
5024,3546,33,399,0,751,235,9988,1424,11412,-0.0376037,0.0713406,-0.996743,0
5313,3443,33,380,0,750,208,10127,362,10489,-0.0428896,0.0400227,-0.998278,0
3370,2288,24,268,0,641,152,6743,1055,7798,-0.0307907,0.0691236,-0.997133,0
4780,3639,36,388,0,753,208,9804,337,10141,-0.0254618,0.0431103,-0.998746,0
5261,3404,32,391,0,767,239,10094,1475,11569,-0.0283119,0.0709907,-0.997075,0
5273,3445,35,421,0,757,238,10169,299,10468,-0.0332182,0.0396055,-0.998663,0
4635,3296,33,410,0,763,215,9352,1489,10841,-0.0251701,0.0718368,-0.997099,0
4693,3310,33,391,0,766,212,9405,308,9713,-0.0441342,0.0186223,-0.998852,0
4963,3914,35,477,0,807,249,10445,1576,12021,-0.0385118,0.0664296,-0.997047,0
4750,3598,34,450,0,814,221,9867,268,10135,-0.0495464,0.0307751,-0.998298,0
5046,3857,24,281,0,592,158,9958,1059,11017,-0.0357878,0.0613574,-0.997474,0
2562,1919,18,218,0,434,120,5271,143,5414,-0.0474607,0.046737,-0.997779,0
5626,3789,34,426,0,845,253,10973,1479,12452,-0.0323862,0.0668135,-0.99724,0
4858,3441,33,425,0,803,224,9784,280,10064,-0.0298631,0.0425869,-0.998646,0
5424,3924,33,409,0,812,273,10875,1469,12344,-0.024031,0.067895,-0.997403,0
4923,3615,36,410,0,797,221,10002,334,10336,-0.0263236,0.041479,-0.998793,0
4770,3478,36,422,0,797,230,9733,1361,11094,-0.0300816,0.0695915,-0.997122,0
4937,3684,36,484,0,840,230,10211,334,10545,-0.0406481,0.0390618,-0.99841,0
4870,3806,34,416,0,871,234,10231,1350,11581,-0.0285069,0.0676605,-0.997301,0
4869,3585,34,492,0,830,228,10038,333,10371,-0.0223528,0.0314596,-0.999255,0
3259,2449,25,278,0,559,156,6726,983,7709,-0.0283317,0.0722015,-0.996988,0
5279,3881,34,425,0,917,240,10776,351,11127,-0.0204287,0.0513376,-0.998472,0
4807,3466,33,429,0,802,227,9764,231,9995,-0.0454717,0.00943244,-0.998921,0
5448,3858,34,403,0,899,250,10892,1407,12299,-0.0305393,0.0732664,-0.996845,0
4740,3533,34,417,0,817,224,9765,311,10076,-0.0131122,0.0601914,-0.9981,0
