Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5972,2145,84,280,0,601,147,9229,1830,11059,0.00368533,-0.0473,-0.998874,0
5909,2662,30,268,0,587,147,9603,1903,11506,-0.00569464,-0.00468719,-0.999973,0
6017,2026,27,263,0,582,145,9060,2197,11257,-0.0129838,0.0161351,-0.999786,0
5895,2144,28,267,0,581,180,9095,1805,10900,-0.0111915,0.0198775,-0.99974,0
6207,2051,30,274,0,579,146,9287,1800,11087,-0.011564,0.0239333,-0.999647,0
5924,2007,29,262,0,585,146,8953,1835,10788,-0.0114131,0.0215882,-0.999702,0
6017,2092,33,273,0,634,152,9201,1910,11111,-0.0112836,0.0239978,-0.999648,0
5935,2042,28,270,0,601,147,9023,1868,10891,-0.0114459,0.023588,-0.999656,0
6171,2064,28,262,0,583,147,9255,1912,11167,-0.0106459,0.0217627,-0.999707,0
5995,2548,33,273,0,582,152,9583,1530,11113,-0.0133709,0.025063,-0.999597,0
6882,2211,29,264,0,590,149,10125,1865,11990,-0.0133629,0.0239393,-0.999624,0
4123,1256,15,154,0,314,78,5940,930,6870,-0.0133386,0.0263848,-0.999563,0
2102,723,11,92,0,210,52,3190,662,3852,-0.0133191,0.0253218,-0.999591,0
5951,2051,28,279,0,617,152,9078,1815,10893,-0.0125403,0.0265677,-0.999568,0
5983,2081,28,265,0,591,165,9113,1956,11069,-0.0118353,0.0265351,-0.999578,0
5997,2072,28,267,0,590,147,9101,1755,10856,-0.0131344,0.025239,-0.999595,0
4098,1415,20,183,0,408,102,6226,1267,7493,-0.0133491,0.0224675,-0.999658,0
5376,1842,25,258,0,529,133,8163,1677,9840,-0.0118684,0.0230185,-0.999665,0
6026,2034,28,263,0,606,152,9109,1905,11014,-0.0107238,0.0244238,-0.999644,0
5984,2030,35,278,0,583,146,9056,1877,10933,-0.0119195,0.0235254,-0.999652,0
6133,2032,27,262,0,607,148,9209,1836,11045,-0.0121414,0.0243842,-0.999629,0
5916,1999,30,267,0,604,147,8963,1796,10759,-0.0135143,0.0255539,-0.999582,0
5997,2053,29,262,0,583,145,9069,1754,10823,-0.0104363,0.0260431,-0.999606,0
5331,1857,25,271,0,525,132,8141,1604,9745,-0.00991395,0.0250654,-0.999637,0
5915,2131,27,265,0,590,147,9075,1812,10887,-0.0108048,0.0256311,-0.999613,0
5891,2011,29,260,0,595,145,8931,1785,10716,-0.0118245,0.026153,-0.999588,0
6235,2052,28,267,0,583,145,9310,1918,11228,-0.0115705,0.0247327,-0.999627,0
5834,2165,36,362,0,691,169,9257,1556,10813,-0.0130514,0.0266404,-0.99956,0
5966,2030,29,265,0,586,147,9023,1849,10872,-0.0127441,0.0256658,-0.999589,0
6199,2191,36,303,0,620,152,9501,1555,11056,-0.0121531,0.0250495,-0.999613,0
5446,1866,24,239,0,557,135,8267,1686,9953,-0.012013,0.0254039,-0.999605,0
6006,2029,29,264,0,629,152,9109,1796,10905,-0.013146,0.0260829,-0.999574,0
5879,2059,29,275,0,596,148,8986,1878,10864,-0.013854,0.0271948,-0.999534,0
5953,2068,41,263,0,583,146,9054,1769,10823,-0.0123581,0.0238467,-0.999639,0
6064,2144,29,301,0,624,151,9313,1766,11079,-0.0129101,0.0256725,-0.999587,0
4091,1413,30,183,0,408,101,6226,1306,7532,-0.012664,0.0291819,-0.999494,0
6121,2036,30,263,0,628,151,9229,1865,11094,-0.0103809,0.0269563,-0.999583,0
6583,2073,31,268,0,587,147,9689,1636,11325,-0.0106236,0.0252468,-0.999625,0
4112,1414,24,189,0,404,100,6243,1284,7527,-0.0118847,0.0253384,-0.999608,0
5888,2051,28,266,0,606,150,8989,1901,10890,-0.0116031,0.024371,-0.999635,0
5877,2057,29,268,0,733,209,9173,2053,11226,-0.0109974,0.022321,-0.99969,0
6124,2029,28,263,0,587,145,9176,1885,11061,-0.0121451,0.0236228,-0.999647,0
5913,2089,30,268,0,582,151,9033,1893,10926,-0.012563,0.0254696,-0.999597,0
5920,2073,37,262,0,582,147,9021,1815,10836,-0.00957064,0.0229825,-0.99969,0
5861,2116,29,263,0,591,145,9005,1874,10879,-0.0110243,0.0240588,-0.99965,0
5819,2080,28,264,0,640,153,8984,1880,10864,-0.0108297,0.023708,-0.999661,0
3095,1095,23,138,0,310,77,4738,931,5669,-0.012073,0.0245597,-0.999625,0
6407,2087,28,284,0,713,202,9721,1757,11478,-0.0130773,0.0237364,-0.999633,0
6089,2015,28,262,0,584,161,9139,1830,10969,-0.0121281,0.0228603,-0.999665,0
6059,2028,43,263,0,577,145,9115,1769,10884,-0.0121874,0.0230679,-0.99966,0
6800,2126,29,333,0,585,150,10023,1411,11434,-0.0107564,0.0231067,-0.999675,0
4095,1444,20,181,0,404,105,6249,1243,7492,-0.0126214,0.0263825,-0.999572,0
6142,2620,31,274,0,580,148,9795,1762,11557,-0.0119282,0.0249608,-0.999617,0
5979,2079,29,268,0,584,147,9086,1920,11006,-0.00892327,0.0197609,-0.999765,0
5868,2118,37,413,0,818,201,9455,1574,11029,-0.00983104,0.0233884,-0.999678,0
4068,1413,20,198,0,408,102,6209,1281,7490,-0.0115111,0.0252311,-0.999616,0
6024,2021,28,265,0,585,145,9068,1921,10989,-0.00923314,0.0212141,-0.999732,0
5979,2503,31,303,0,607,167,9590,1552,11142,-0.00990971,0.0224543,-0.999699,0
5381,1820,41,255,0,524,152,8173,1589,9762,-0.011132,0.023295,-0.999666,0
5372,1803,25,238,0,523,131,8092,1866,9958,-0.0105572,0.0259733,-0.999607,0
5340,1859,40,239,0,735,208,8421,1888,10309,-0.0122537,0.0241548,-0.999633,0
5945,2016,29,267,0,581,146,8984,1915,10899,-0.0125823,0.0239464,-0.999634,0
5938,2055,35,305,0,605,149,9087,1880,10967,-0.0115227,0.0262435,-0.999589,0
5892,2123,28,266,0,594,148,9051,1944,10995,-0.0101046,0.022655,-0.999692,0
5998,2054,27,267,0,600,150,9096,1895,10991,-0.00824385,0.0231615,-0.999698,0
5944,2019,29,271,0,599,148,9010,1863,10873,-0.0105153,0.0219706,-0.999703,0
5957,2036,44,264,0,584,147,9032,1903,10935,-0.0120358,0.0229144,-0.999665,0
5992,2338,38,365,0,773,167,9673,1935,11608,-0.0112323,0.021782,-0.9997,0
6001,2025,28,265,0,609,150,9078,1763,10841,-0.012195,0.0218303,-0.999687,0
5866,2203,58,412,0,801,166,9506,1982,11488,-0.0117538,0.0233102,-0.999659,0
5927,2615,38,271,0,627,153,9631,1909,11540,-0.0114626,0.0229227,-0.999672,0
5321,1831,26,256,0,531,133,8098,1686,9784,-0.0118653,0.0238851,-0.999644,0
6173,2407,30,270,0,587,147,9614,1858,11472,-0.0133382,0.0221461,-0.999666,0
6055,2059,47,267,0,587,145,9160,1817,10977,-0.00987314,0.0211564,-0.999727,0
6106,2033,45,267,0,588,167,9206,1818,11024,-0.00912685,0.0237432,-0.999676,0
4076,1374,20,187,0,423,107,6187,1203,7390,-0.0107846,0.0224592,-0.99969,0
6030,2025,29,266,0,583,146,9079,1821,10900,-0.0111022,0.0234696,-0.999663,0
5860,2032,29,262,0,599,145,8927,1850,10777,-0.0107467,0.023083,-0.999676,0
5972,2071,28,265,0,581,155,9072,2170,11242,-0.00873703,0.0230276,-0.999697,0
5935,2006,46,263,0,583,145,8978,1768,10746,-0.0115505,0.0231278,-0.999666,0
6306,2592,30,270,0,583,147,9928,1856,11784,-0.0125095,0.0256613,-0.999592,0
5991,2033,39,266,0,589,148,9066,1804,10870,-0.0130424,0.0251216,-0.999599,0
