Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5990,4099,92,495,0,1057,265,11998,1427,13425,0.0207094,0.167835,-0.985598,0
3139,2124,16,229,0,438,116,6062,1217,7279,0.0054038,0.0415993,-0.99912,0
2390,1655,14,193,0,427,113,4792,1222,6014,0.000780847,0.0274739,-0.999622,0
5642,3672,34,430,0,1007,249,11034,2443,13477,-0.000995944,0.0268053,-0.99964,0
5288,3712,28,414,0,992,245,10679,2349,13028,-0.001398,0.0257645,-0.999667,0
3793,2653,21,303,0,685,182,7637,1810,9447,-0.00118858,0.0248498,-0.99969,0
5843,4180,35,503,0,1061,272,11894,2890,14784,-0.000781396,0.0237194,-0.999718,0
4284,2927,34,339,0,709,187,8480,1785,10265,-0.00139367,0.0229606,-0.999735,0
6039,4127,33,507,0,1160,272,12138,2679,14817,-0.00224597,0.0217806,-0.99976,0
4019,2838,22,327,0,809,188,8203,1715,9918,-0.00315622,0.0211484,-0.999771,0
5893,4006,32,476,0,1026,266,11699,2557,14256,-0.00454865,0.0205196,-0.999779,0
5859,4160,46,478,0,1023,267,11833,2497,14330,-0.00548917,0.020407,-0.999777,0
4099,2772,21,326,0,749,188,8155,1780,9935,-0.00608021,0.0207615,-0.999766,0
5938,4046,31,497,0,1026,280,11818,2485,14303,-0.0060271,0.0212002,-0.999757,0
5222,3670,28,430,0,942,256,10548,2348,12896,-0.00624535,0.0215168,-0.999749,0
6146,4039,31,480,0,1047,269,12012,2134,14146,-0.00502066,0.0221269,-0.999742,0
4034,2808,22,349,0,767,188,8168,1815,9983,-0.00342503,0.0228045,-0.999734,0
5846,4105,33,497,0,1027,267,11775,2685,14460,-0.00315084,0.0243611,-0.999698,0
5897,4070,37,493,0,1032,272,11801,2559,14360,-0.00245181,0.0250729,-0.999683,0
3935,2823,22,338,0,714,186,8018,1886,9904,-0.00227691,0.0249233,-0.999687,0
5845,4013,31,472,0,1065,268,11694,2626,14320,-0.00175146,0.0245189,-0.999698,0
5789,4029,32,501,0,985,185,11521,1856,13377,-0.000362905,0.0220303,-0.999757,0
5313,3532,28,419,0,912,244,10448,2343,12791,-0.00148777,0.0169818,-0.999855,0
5896,4091,33,495,0,1056,265,11836,2267,14103,-0.00514889,0.00219445,-0.999984,0
6035,4073,28,453,0,770,188,11547,1314,12861,-0.0109423,-0.0182191,-0.999774,0
3167,2085,17,247,0,547,139,6202,1102,7304,-0.013364,-0.0211626,-0.999687,0
5997,4123,32,464,0,1035,283,11934,1820,13754,-0.0167584,-0.0546216,-0.998367,0
3760,2066,18,244,0,539,139,6766,973,7739,-0.0107402,-0.0367455,-0.999267,0
2179,1598,13,186,0,366,99,4441,622,5063,-0.0104093,-0.0153586,-0.999828,0
4208,2783,35,323,0,762,195,8306,1269,9575,-0.018016,-0.00422926,-0.999829,0
5534,3635,29,428,0,924,242,10792,1613,12405,-0.0193926,0.0117104,-0.999743,0
5457,3714,28,446,0,950,251,10846,1829,12675,-0.0319727,0.0303597,-0.999027,0
5479,3820,28,449,0,989,254,11019,1885,12904,-0.0380616,0.0436518,-0.998322,0
6184,4315,31,520,0,1128,294,12472,2477,14949,-0.0462725,0.0499422,-0.99768,0
4216,3115,22,368,0,787,209,8717,1884,10601,-0.0374612,0.0308767,-0.998821,0
6067,4683,32,550,0,1169,310,12811,2428,15239,-0.0272273,0.0012479,-0.999628,0
4291,3296,25,406,0,824,235,9077,1464,10541,-0.0213901,-0.0251342,-0.999455,0
5503,4346,30,518,0,1112,302,11811,2349,14160,0.00348947,-0.0517378,-0.998655,0
6327,5005,37,605,0,1294,333,13601,2504,16105,0.0240681,-0.0618755,-0.997794,0
4280,3629,26,409,0,861,221,9426,2028,11454,0.0273166,-0.0610502,-0.997761,0
3943,3132,22,356,0,774,198,8425,1889,10314,0.0330487,-0.0481137,-0.998295,0
6057,4344,49,493,0,1132,287,12362,2309,14671,0.043181,-0.0844212,-0.995494,0
5695,3817,30,446,0,980,258,11226,1825,13051,0.0470016,-0.0917518,-0.994672,0
3788,2039,23,287,0,580,149,6866,1146,8012,0.0256173,-0.0953042,-0.995118,0
5311,2568,46,334,0,690,202,9151,1322,10473,-0.000348289,-0.130317,-0.991472,0
5327,2926,29,362,0,792,214,9650,1253,10903,0.00312182,-0.134036,-0.990971,0
5318,3028,30,365,0,791,205,9737,1808,11545,-0.00969677,-0.146538,-0.989158,0
5215,2865,30,356,0,764,206,9436,2551,11987,-0.00825671,-0.112168,-0.993655,0
5563,2988,28,364,0,823,219,9985,2701,12686,-0.00708444,-0.151416,-0.988445,0
4791,2818,26,329,0,705,199,8868,2464,11332,-0.00900777,-0.130431,-0.991416,0
4986,2830,26,326,0,702,182,9052,2400,11452,-0.0116158,-0.135318,-0.990734,0
3756,2014,20,271,0,554,134,6749,1749,8498,-0.0142366,-0.139202,-0.990162,0
5621,2669,27,324,0,768,196,9605,2644,12249,-0.00471566,-0.182009,-0.983286,0
5891,2136,29,267,0,559,151,9033,2859,11892,0.0539649,-0.360065,-0.931365,0
2966,1064,14,128,0,270,72,4514,1404,5918,0.0414971,-0.274886,-0.960581,0
1881,583,9,73,0,153,40,2739,946,3685,0.020241,-0.168734,-0.985454,0
2640,1117,13,156,0,304,78,4308,1380,5688,0.024694,-0.165112,-0.985966,0
6110,3617,30,436,0,929,268,11390,3060,14450,0.0134019,-0.236966,-0.971426,0
6201,3793,30,341,0,689,176,11230,1954,13184,-0.000743556,-0.258485,-0.966015,0
3318,2185,16,250,0,549,142,6460,1461,7921,-0.0268818,-0.275377,-0.96096,0
6284,4212,31,478,0,1060,268,12333,2708,15041,-0.0395252,-0.336098,-0.940998,0
6427,4307,30,519,0,1155,290,12728,2312,15040,-0.0425857,-0.466233,-0.883636,0
4472,3169,21,375,0,820,212,9069,1337,10406,-0.0515367,-0.566478,-0.822464,0
6602,4801,31,609,0,1205,286,13534,-1000,-1000,-1,-1,-1,0
6399,3790,43,532,0,846,194,11804,1818,13622,-0.00489505,-0.366899,-0.930248,0
3239,1484,18,184,0,410,103,5438,1716,7154,-0.00993801,-0.439448,-0.898213,0
6307,3370,33,421,0,908,239,11278,-1000,-1000,-1,-1,-1,0
6360,2754,19,313,0,905,221,10572,1158,11730,0.00704716,-0.428313,-0.903603,0
3319,2433,15,281,0,587,157,6792,695,7487,-0.0801691,-0.656479,-0.750072,0
4011,3682,18,395,0,789,207,9102,-1000,-1000,-1,-1,-1,0
3833,3112,17,370,0,774,207,8313,904,9217,-0.0516184,-0.430794,-0.900973,0
3794,2912,17,357,0,744,197,8021,1123,9144,-0.0984271,-0.606396,-0.789048,0
5933,4018,37,496,0,1049,277,11810,-1000,-1000,-1,-1,-1,0
6051,3426,32,411,0,936,236,11092,3340,14432,-0.0577123,-0.386874,-0.920325,0
5351,2938,42,353,0,803,200,9687,1644,11331,-0.0421894,-0.430366,-0.901668,0
5165,2568,28,340,0,710,180,8991,1232,10223,-0.0181124,-0.466036,-0.88458,0
5576,2871,29,356,0,747,197,9776,919,10695,-0.0414743,-0.432503,-0.900678,0
5574,3069,29,368,0,832,205,10077,1474,11551,-0.0408704,-0.519177,-0.853689,0
5739,2604,28,311,0,708,178,9568,1540,11108,-0.0175292,-0.633719,-0.773365,0
5669,2384,28,273,0,579,151,9084,-1000,-1000,-1,-1,-1,0
5093,1782,24,230,0,484,129,7742,2269,10011,0.0115208,-0.351092,-0.93627,0
6015,2023,28,264,0,530,142,9002,2265,11267,0.0171999,-0.485305,-0.874176,0
6081,3515,28,420,0,880,235,11159,1936,13095,0.0128844,-0.632734,-0.774262,0
6264,4129,21,320,0,680,185,11599,-1000,-1000,-1,-1,-1,0
4331,2751,21,331,0,710,185,8329,3361,11690,-0.0134861,-0.274872,-0.961386,0
6304,3583,26,422,0,1015,238,11588,2927,14515,-0.03442,-0.517284,-0.855121,0
6195,3090,29,375,0,894,218,10801,-1000,-1000,-1,-1,-1,0
5466,2001,53,262,0,583,154,8519,2158,10677,-0.0701906,-0.378099,-0.923101,0
6117,2433,33,331,0,712,183,9809,3463,13272,-0.0280025,-0.454764,-0.890172,0
6450,3687,31,434,0,747,169,11518,1667,13185,-0.0316268,-0.61818,-0.7854,0
4039,2585,18,309,0,673,178,7802,-1000,-1000,-1,-1,-1,0
6394,4488,28,542,0,1141,305,12898,2281,15179,-0.0189704,-0.518845,-0.854658,0
6127,4872,28,473,0,885,234,12619,1085,13704,-0.0538271,-0.686753,-0.724895,0
5971,3550,19,378,0,786,201,10905,-1000,-1000,-1,-1,-1,0
3064,1807,16,216,0,474,124,5701,985,6686,0.0276414,-0.26118,-0.964894,0
6013,2984,30,382,0,846,207,10462,1327,11789,0.0295857,-0.38061,-0.924262,0
6033,2954,30,364,0,868,258,10507,854,11361,0.0634011,-0.506406,-0.859961,0
5879,2751,29,341,0,752,193,9945,878,10823,0.0387858,-0.599931,-0.799111,0
5772,2859,32,354,0,806,210,10033,-1000,-1000,-1,-1,-1,0
5734,2920,31,377,0,817,219,10098,1736,11834,-0.0914369,-0.19046,-0.977427,0
5648,2531,20,240,0,514,149,9102,1150,10252,-0.0528447,-0.276385,-0.959593,0
3029,1558,15,189,0,406,106,5303,923,6226,-0.00715107,-0.240096,-0.970723,0
5695,2967,29,394,0,749,201,10035,2162,12197,-0.0101278,-0.175517,-0.984424,0
5731,2905,28,351,0,749,199,9963,2185,12148,-0.0268756,-0.0897388,-0.995603,0
5090,2628,26,318,0,702,181,8945,2344,11289,-0.039469,-0.0151272,-0.999106,0
5643,2947,29,380,0,759,202,9960,2617,12577,-0.0426669,0.0281341,-0.998693,0
5716,3020,29,366,0,783,207,10121,2695,12816,-0.0283921,0.0505333,-0.998319,0
3978,2150,19,262,0,554,146,7109,1837,8946,-0.0170546,0.0629284,-0.997872,0
6028,3198,28,380,0,857,217,10708,2488,13196,-0.0103488,0.0458954,-0.998892,0
6030,3271,30,386,0,839,222,10778,2637,13415,-0.0112992,0.016738,-0.999796,0
5919,3289,31,389,0,824,218,10670,2774,13444,-0.0184157,-0.0139093,-0.999734,0
4151,2798,22,302,0,557,155,7985,2050,10035,-0.0208423,-0.03958,-0.998999,0
5969,3095,29,391,0,813,213,10510,3081,13591,-0.0324965,-0.0293349,-0.999041,0
5917,2518,20,246,0,531,158,9390,1935,11325,-0.036044,-0.00622792,-0.999331,0
5930,3009,29,363,0,912,214,10457,2039,12496,-0.0230829,-0.00997431,-0.999684,0
3050,1708,16,190,0,424,108,5496,1556,7052,-0.0215196,-0.0196014,-0.999576,0
6085,3000,37,380,0,794,204,10500,2876,13376,-0.0195725,-0.0112584,-0.999745,0
4717,2063,20,243,0,544,143,7730,2017,9747,-0.0191972,-0.00816908,-0.999783,0
4127,1933,20,294,0,551,139,7064,1998,9062,-0.0203557,-0.0106712,-0.999736,0
3993,1946,19,236,0,513,134,6841,1912,8753,-0.0228958,-0.00976808,-0.99969,0
5962,3132,31,440,0,840,211,10616,2712,13328,-0.0224118,-0.0087668,-0.99971,0
5684,2842,29,342,0,724,193,9814,2649,12463,-0.0210297,-0.00696627,-0.999755,0
5166,2483,24,301,0,661,171,8806,2317,11123,-0.0205031,-0.00575874,-0.999773,0
5735,2767,29,372,0,720,192,9815,2627,12442,-0.0199915,-0.00556096,-0.999785,0
5820,2922,28,335,0,780,192,10077,2529,12606,-0.0193042,-0.00542767,-0.999799,0
6909,2780,19,237,0,499,147,10591,1830,12421,-0.0190324,-0.00584254,-0.999802,0
3007,1458,18,183,0,390,101,5157,1354,6511,-0.0191939,-0.0066496,-0.999793,0
