Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6048,3761,77,481,0,940,276,11583,1380,12963,0.0120117,-0.114244,-0.99338,0
5988,3576,33,421,0,959,243,11220,2706,13926,-9.17539e-05,0.00727158,-0.999974,0
4166,2487,22,296,0,652,168,7791,2815,10606,-0.00100863,0.020881,-0.999781,0
6003,3587,46,426,0,935,241,11238,3989,15227,-0.00250801,0.0243514,-0.999701,0
4159,2484,25,293,0,643,167,7771,3202,10973,-0.0027594,0.024482,-0.999696,0
6012,3673,32,427,0,967,245,11356,4739,16095,-0.00218775,0.0235791,-0.99972,0
4216,2537,22,293,0,686,171,7925,3243,11168,-0.00290967,0.0237754,-0.999713,0
5928,3672,34,426,0,964,286,11310,4599,15909,-0.00292068,0.0251789,-0.999679,0
4162,2552,22,298,0,664,169,7867,3124,10991,-0.00378024,0.0287943,-0.999578,0
5957,3737,32,437,0,969,263,11395,4752,16147,-0.000478289,0.0308925,-0.999523,0
5379,3180,29,377,0,838,215,10018,3932,13950,0.000592929,0.0302006,-0.999544,0
3929,2335,22,275,0,602,155,7318,2763,10081,0.00021408,0.0280377,-0.999607,0
6165,3603,31,429,0,953,239,11420,4323,15743,-0.000948073,0.0256011,-0.999672,0
6114,3461,23,296,0,657,166,10717,3106,13823,-0.000895676,0.0239224,-0.999713,0
3843,2358,21,276,0,612,157,7267,2943,10210,-0.0014629,0.0234566,-0.999724,0
6052,3672,31,428,0,1031,252,11466,4888,16354,-0.00142956,0.0233936,-0.999725,0
4108,2622,23,299,0,653,168,7873,3167,11040,-0.00154602,0.0235002,-0.999723,0
4820,3135,46,383,0,785,203,9372,3791,13163,-0.00172942,0.0229287,-0.999736,0
5988,3686,32,427,0,962,246,11341,4268,15609,-0.00106553,0.0229538,-0.999736,0
3152,1916,27,225,0,506,129,5955,2678,8633,0.000307402,0.0229875,-0.999736,0
6014,3692,31,427,0,951,244,11359,5118,16477,0.000459456,0.022367,-0.99975,0
6092,3707,33,432,0,1007,249,11520,3644,15164,9.68285e-05,0.0234384,-0.999725,0
3247,1950,16,226,0,504,128,6071,2640,8711,-0.00172987,0.0255318,-0.999673,0
6278,3630,31,455,0,959,247,11600,5187,16787,-0.00221199,0.0248118,-0.99969,0
4140,2817,28,335,0,744,175,8239,3400,11639,-0.00125502,0.0255501,-0.999673,0
5360,3337,31,385,0,855,223,10191,4353,14544,-0.00204946,0.0264899,-0.999647,0
5945,3732,33,477,0,978,250,11415,4952,16367,-0.00463478,0.0264834,-0.999639,0
4148,2801,24,299,0,662,186,8120,3344,11464,-0.00313771,0.0263285,-0.999648,0
5407,3324,29,383,0,856,220,10219,4375,14594,-0.00477721,0.0275889,-0.999608,0
4322,2414,21,279,0,632,161,7829,3198,11027,-0.00313098,0.0271112,-0.999628,0
6010,4167,33,437,0,969,276,11892,4968,16860,-0.00263703,0.0271205,-0.999629,0
4119,2596,22,299,0,799,195,8030,3249,11279,-0.00326066,0.0279729,-0.999603,0
4895,3312,50,456,0,812,205,9730,4126,13856,-0.00273582,0.0290981,-0.999573,0
5961,3646,30,426,0,975,174,11212,3334,14546,-0.00155828,0.0291021,-0.999575,0
3432,1978,20,245,0,618,134,6427,2575,9002,-0.000927718,0.0282951,-0.9996,0
6021,3731,31,449,0,1406,354,11992,4898,16890,-0.000883949,0.0272567,-0.999628,0
4184,2754,26,350,0,685,225,8224,3367,11591,0.000199838,0.0258418,-0.999666,0
6655,3865,32,475,0,1104,255,12386,4508,16894,-0.00259758,0.0260015,-0.999658,0
4283,1972,17,238,0,532,190,7232,2540,9772,-0.0036344,0.0272356,-0.999623,0
3004,2195,16,218,0,496,124,6053,2536,8589,-0.0058318,0.0303658,-0.999522,0
6014,4165,44,441,0,965,277,11906,4284,16190,-0.00492258,0.0308099,-0.999513,0
3867,2459,20,279,0,639,160,7424,3233,10657,-0.00334454,0.0303557,-0.999534,0
5455,3116,26,355,0,833,207,9992,4127,14119,-0.00272108,0.0274972,-0.999618,0
5024,3010,26,351,0,783,200,9394,3865,13259,-0.0032207,0.0258069,-0.999662,0
4648,2926,25,326,0,723,185,8833,3831,12664,-0.00351919,0.0245416,-0.999692,0
6104,3752,31,446,0,998,250,11581,4393,15974,0.000628483,0.0248061,-0.999692,0
4218,2630,22,310,0,677,175,8032,3523,11555,0.00502023,0.0256954,-0.999657,0
6206,3853,31,444,0,1012,256,11802,4828,16630,0.00650448,0.0258754,-0.999644,0
4250,2607,22,302,0,707,187,8075,3290,11365,0.00101688,0.026301,-0.999654,0
6115,3895,30,489,0,999,259,11787,5303,17090,-0.00338911,0.0275263,-0.999615,0
4145,2731,22,306,0,686,176,8066,3761,11827,-0.0047946,0.0278309,-0.999601,0
5987,3870,30,446,0,1045,260,11638,4221,15859,-0.00394738,0.0301839,-0.999537,0
4216,2721,23,314,0,707,185,8166,3753,11919,-0.00249563,0.0313862,-0.999504,0
5402,3517,27,404,0,899,230,10479,4639,15118,-0.00328952,0.0323308,-0.999472,0
5446,3480,28,412,0,909,231,10506,4597,15103,-0.00447408,0.0347111,-0.999388,0
3859,2491,32,283,0,635,164,7464,3223,10687,-0.00481885,0.0362377,-0.999332,0
6076,3902,30,447,0,998,265,11718,4491,16209,-0.0048515,0.0394985,-0.999208,0
6039,3841,31,445,0,1009,258,11623,5040,16663,-0.00478348,0.0429691,-0.999065,0
4169,2707,22,319,0,690,176,8083,3454,11537,-0.0047061,0.0443209,-0.999006,0
6067,3778,32,438,0,1000,253,11568,4546,16114,-0.00510778,0.0442449,-0.999008,0
6051,3758,31,440,0,972,249,11501,4484,15985,-0.00400748,0.0464925,-0.998911,0
6035,3765,31,437,0,1012,254,11534,3400,14934,-0.00396585,0.0434261,-0.999049,0
3172,1966,16,227,0,510,146,6037,2327,8364,-0.0045833,0.0400324,-0.999188,0
6026,3738,32,437,0,969,246,11448,4550,15998,-0.00419231,0.0357127,-0.999353,0
6063,3762,34,436,0,951,171,11417,3289,14706,-0.00291867,0.0329881,-0.999451,0
3158,1971,18,230,0,525,136,6038,2546,8584,-0.00397501,0.0326339,-0.999459,0
6131,3843,34,438,0,983,250,11679,4854,16533,-0.00269309,0.0314041,-0.999503,0
5121,2638,26,326,0,512,132,8755,2658,11413,-0.00277598,0.0311276,-0.999512,0
3542,2259,19,261,0,631,149,6861,2894,9755,-0.00321342,0.0321829,-0.999477,0
6118,3714,40,437,0,971,252,11532,4188,15720,-0.0044886,0.0320898,-0.999475,0
5096,3037,24,355,0,792,202,9506,4079,13585,-0.00489776,0.0322249,-0.999469,0
4863,3083,27,355,0,814,208,9350,3957,13307,-0.003823,0.0331526,-0.999443,0
6371,3714,32,436,0,972,248,11773,4123,15896,-0.000172207,0.0321779,-0.999482,0
3793,2687,25,378,0,625,163,7671,3054,10725,-0.000924707,0.0328626,-0.999459,0
5968,3719,32,436,0,964,256,11375,4340,15715,-0.00115623,0.0336885,-0.999432,0
4625,2620,23,304,0,671,170,8413,3166,11579,-0.00171626,0.0313864,-0.999506,0
4237,2675,23,323,0,683,197,8138,3267,11405,-0.00317185,0.0310647,-0.999512,0
5713,3417,29,395,0,938,244,10736,3780,14516,-0.00459608,0.0315589,-0.999491,0
4048,2395,20,281,0,671,164,7579,3650,11229,-0.00340443,0.0320702,-0.99948,0
2982,1848,16,226,0,480,124,5676,2288,7964,-0.00337059,0.0325348,-0.999465,0
6026,3679,31,434,0,968,247,11385,4531,15916,-0.000564813,0.035152,-0.999382,0
6026,3730,31,436,0,968,250,11441,3776,15217,-0.00454204,0.0436558,-0.999036,0
4129,2667,25,316,0,661,170,7968,2922,10890,-0.00340719,0.0484145,-0.998821,0
5411,3330,28,387,0,844,225,10225,3189,13414,-0.00554086,0.056386,-0.998394,0
5939,3624,31,438,0,955,244,11231,2826,14057,-0.00427811,0.0733875,-0.997295,0
6064,3558,32,442,0,912,166,11174,1662,12836,-0.00200513,0.0877113,-0.996144,0
5263,3084,28,369,0,795,226,9765,1740,11505,0.00195898,0.113294,-0.99356,0
5839,3350,27,396,0,872,224,10708,1686,12394,0.00517059,0.120181,-0.992739,0
5862,3365,30,395,0,880,223,10755,2053,12808,0.00140619,0.13751,-0.9905,0
5834,3230,31,399,0,895,224,10613,2450,13063,-0.000919088,0.13203,-0.991245,0
4002,2199,48,271,0,587,154,7261,1941,9202,-0.0128714,0.123453,-0.992267,0
5816,2840,32,350,0,810,204,10052,2625,12677,-0.0327845,0.137797,-0.989918,0
5828,2441,48,338,0,707,187,9549,2459,12008,-0.0499841,0.163936,-0.985204,0
5757,2301,31,293,0,654,165,9201,2291,11492,-0.0392376,0.180539,-0.982785,0
5634,2140,30,297,0,631,183,8915,2115,11030,-0.0177548,0.179928,-0.98352,0
5939,2050,29,274,0,588,151,9031,2189,11220,-0.00316093,0.168727,-0.985658,0
5752,1912,31,285,0,572,155,8707,2405,11112,-0.0189452,0.204108,-0.978765,0
5661,1791,29,239,0,537,135,8392,2522,10914,-0.0181835,0.214036,-0.976657,0
5645,1757,28,233,0,510,131,8304,2547,10851,-0.0123211,0.205815,-0.978513,0
5567,1635,28,218,0,471,121,8040,2168,10208,-0.0118486,0.164892,-0.986241,0
5575,1426,27,198,0,420,109,7755,2743,10498,-0.0204818,0.185905,-0.982354,0
5600,1228,27,174,0,372,95,7496,2783,10279,-0.010719,0.180476,-0.983521,0
5610,1095,28,159,0,330,85,7307,2623,9930,0.00369531,0.182712,-0.983159,0
5387,983,27,153,0,317,85,6952,2569,9521,0.0161905,0.131287,-0.991212,0
5339,957,27,138,0,270,72,6803,2417,9220,0.0185871,0.171847,-0.984948,0
5301,929,26,134,0,273,74,6737,2223,8960,0.0133902,0.137161,-0.990458,0
5383,946,31,183,0,273,77,6893,2088,8981,-0.0091122,0.178086,-0.983973,0
5405,1000,26,142,0,278,78,6929,2011,8940,-0.0121995,0.161273,-0.986834,0
5888,1059,27,158,0,306,85,7523,2219,9742,-0.0183216,0.15845,-0.987197,0
5965,1283,28,174,0,338,93,7881,2065,9946,-0.0229293,0.166495,-0.985776,0
5821,1412,27,188,0,366,104,7918,1802,9720,-0.0309074,0.178849,-0.983391,0
5806,1422,28,201,0,445,117,8019,1666,9685,-0.0508861,0.20654,-0.977114,0
5874,1590,29,226,0,462,124,8305,1439,9744,-0.077606,0.29405,-0.952634,0
6026,1766,26,244,0,510,137,8709,678,9387,-0.111033,0.382477,-0.917269,0
4171,1366,19,186,0,389,102,6233,492,6725,-0.126648,0.421962,-0.897724,0
6002,2255,27,297,0,622,164,9367,521,9888,-0.135049,0.440139,-0.887716,0
6289,2609,27,332,0,695,184,10136,444,10580,-0.148784,0.399993,-0.904361,0
6336,2881,29,366,0,817,231,10660,606,11266,-0.142217,0.37231,-0.917147,0
4231,2412,20,295,0,595,156,7709,446,8155,-0.157246,0.414587,-0.896321,0
6409,3922,29,454,0,1011,259,12084,718,12802,-0.147473,0.451953,-0.879767,0
6421,4003,30,465,0,1022,275,12216,823,13039,-0.151881,0.502441,-0.851167,0
5872,3558,44,409,0,905,249,11037,852,11889,-0.133224,0.546616,-0.826718,0
7778,3816,32,475,0,881,161,13143,720,13863,-0.083082,0.605394,-0.791577,0
4451,2168,19,254,0,578,145,7615,879,8494,-0.0587093,0.637535,-0.768181,0
6706,2645,26,317,0,723,178,10595,-1000,-1000,-1,-1,-1,0
5817,1969,26,249,0,619,145,8825,1354,10179,-0.0268496,0.0857025,-0.995959,0
5724,1647,26,218,0,563,172,8350,5881,14231,-0.0308771,0.206396,-0.977981,0
5585,1566,26,201,0,464,113,7955,4967,12922,-0.0307455,0.217602,-0.975553,0
5573,1423,26,191,0,435,107,7755,3302,11057,-0.0314958,0.276128,-0.960605,0
5025,1282,26,170,0,383,94,6980,3306,10286,-0.0393967,0.275123,-0.960602,0
5676,1471,27,191,0,426,105,7896,3290,11186,-0.0455779,0.340213,-0.939243,0
5815,1526,30,200,0,473,114,8158,2696,10854,-0.0401675,0.335987,-0.94101,0
3933,1023,17,134,0,333,76,5516,1973,7489,-0.027911,0.319769,-0.947084,0
5620,1520,23,200,0,429,110,7902,2596,10498,-0.00723013,0.340011,-0.940394,0
5796,1568,24,204,0,444,114,8150,2628,10778,0.000169761,0.324811,-0.945779,0
5671,1688,24,219,0,470,122,8194,2602,10796,-0.00721625,0.309397,-0.950906,0
6568,1908,23,256,0,541,140,9436,2632,12068,-0.0212545,0.344964,-0.938375,0
4728,1560,17,196,0,419,109,7029,1768,8797,-0.0219363,0.376177,-0.926288,0
5896,2468,24,324,0,683,181,9576,2501,12077,-0.00535641,0.424998,-0.905179,0
6072,3024,26,362,0,786,206,10476,2482,12958,-0.0081314,0.493288,-0.869828,0
4332,2437,20,282,0,618,161,7850,2059,9909,6.11611e-05,0.463903,-0.885886,0
4246,2735,20,308,0,687,175,8171,2125,10296,-0.00259974,0.451138,-0.89245,0
7148,3501,31,438,0,919,236,12273,2574,14847,0.0123324,0.504976,-0.863046,0
4135,2067,21,247,0,586,143,7199,1595,8794,0.00884328,0.542409,-0.840068,0
5851,2785,35,335,0,786,206,9998,2377,12375,-0.00815862,0.634151,-0.773167,0
5995,2141,31,314,0,618,154,9253,1958,11211,-0.00524736,0.651534,-0.758601,0
5858,1956,29,288,0,566,167,8864,-1000,-1000,-1,-1,-1,0
5262,1677,26,249,0,484,126,7824,2612,10436,0.0187306,0.157371,-0.987362,0
6512,1770,27,237,0,508,131,9185,3130,12315,0.0308553,0.241415,-0.969932,0
3933,1064,19,171,0,315,80,5582,1801,7383,0.0209044,0.220207,-0.975229,0
5641,1368,27,184,0,393,100,7713,2738,10451,0.0121051,0.252349,-0.967561,0
5554,1047,28,152,0,329,82,7192,2796,9988,0.0154132,0.215255,-0.976436,0
5441,917,27,137,0,291,74,6887,2850,9737,0.0115242,0.236069,-0.971668,0
5344,931,27,131,0,269,69,6771,2505,9276,0.0076525,0.194409,-0.980891,0
5340,850,26,128,0,267,69,6680,2497,9177,0.00518023,0.274605,-0.961543,0
5456,1033,31,147,0,284,76,7027,2546,9573,0.00840851,0.25139,-0.967849,0
5492,1078,25,170,0,312,86,7163,2457,9620,0.00547947,0.240498,-0.970634,0
5671,1187,26,175,0,341,94,7494,2280,9774,0.00759274,0.209768,-0.977722,0
5792,1385,27,215,0,382,105,7906,2154,10060,0.000535895,0.216936,-0.976186,0
5772,1600,27,215,0,423,117,8154,1922,10076,0.000831346,0.201074,-0.979576,0
5803,1716,26,235,0,503,135,8418,1515,9933,-0.0167011,0.290004,-0.95688,0
5995,2226,30,299,0,519,142,9211,915,10126,-0.0450141,0.501053,-0.864245,0
4184,1498,18,193,0,394,106,6393,389,6782,-0.069261,0.623489,-0.778759,0
5871,2475,28,367,0,685,178,9604,464,10068,-0.0833968,0.65477,-0.751213,0
6070,3295,34,395,0,699,191,10684,409,11093,-0.085324,0.610973,-0.78704,0
6263,2921,29,369,0,760,201,10543,-1000,-1000,-1,-1,-1,0
6629,3494,29,416,0,858,228,11654,3493,15147,0.00928163,0.0891511,-0.995975,0
3331,2043,15,239,0,529,147,6304,788,7092,-0.00541059,0.160336,-0.987047,0
5508,3548,23,395,0,861,224,10559,1249,11808,0.000850004,0.251678,-0.96781,0
6503,5069,57,609,0,920,211,13369,1123,14492,0.0290889,0.308839,-0.950669,0
4774,3329,19,373,0,810,209,9514,1056,10570,0.0363733,0.341957,-0.939011,0
6581,4449,28,558,0,1182,308,13106,1646,14752,0.0470778,0.42597,-0.903512,0
4402,2880,19,346,0,747,189,8583,1119,9702,0.0512432,0.442428,-0.895339,0
6827,3918,29,472,0,1028,257,12531,2015,14546,0.050245,0.495206,-0.867321,0
4291,2291,18,267,0,607,152,7626,1437,9063,0.0340422,0.489264,-0.871471,0
6927,2625,31,356,0,861,199,10999,2288,13287,-0.0207224,0.519987,-0.853923,0
5982,2020,28,262,0,620,150,9062,1825,10887,-0.0677748,0.604614,-0.79363,0
3993,1244,20,166,0,397,92,5912,-1000,-1000,-1,-1,-1,0
5909,1631,30,220,0,532,167,8489,3999,12488,-0.0481622,0.190126,-0.980578,0
5799,1499,30,200,0,467,111,8106,3896,12002,-0.0697769,0.262758,-0.962335,0
6266,1612,29,233,0,506,116,8762,3362,12124,-0.0959013,0.332389,-0.938254,0
5883,1673,27,219,0,489,121,8412,2135,10547,-0.0978647,0.306684,-0.946767,0
5247,1531,24,196,0,443,111,7552,2258,9810,-0.0953022,0.354764,-0.930086,0
6609,1919,25,222,0,566,140,9481,1974,11455,-0.0980928,0.355673,-0.929449,0
5124,1544,22,200,0,434,126,7450,1954,9404,-0.11178,0.410897,-0.904803,0
6486,1857,22,234,0,502,133,9234,2162,11396,-0.105625,0.413492,-0.904361,0
5250,1780,25,256,0,518,151,7980,2136,10116,-0.105506,0.374726,-0.921113,0
5188,1972,20,250,0,559,144,8133,2093,10226,-0.0993826,0.330243,-0.938649,0
4093,1707,15,197,0,417,109,6538,1511,8049,-0.0913067,0.285861,-0.953911,0
6919,2953,29,365,0,721,196,11183,2764,13947,-0.100221,0.263067,-0.959558,0
6174,3074,26,365,0,875,221,10735,1969,12704,-0.117996,0.279543,-0.952855,0
3570,1923,15,220,0,476,123,6327,1459,7786,-0.110246,0.28024,-0.953578,0
6450,4331,29,481,0,1545,373,13209,3058,16267,-0.109357,0.312505,-0.943601,0
4624,3298,20,395,0,824,216,9377,2545,11922,-0.125786,0.324891,-0.93735,0
4445,2868,22,350,0,737,189,8611,1840,10451,-0.157019,0.382936,-0.910332,0
6241,3700,56,425,0,943,237,11602,2897,14499,-0.203629,0.462778,-0.86277,0
4702,2323,24,276,0,626,153,8104,1622,9726,-0.224516,0.509442,-0.8307,0
5471,2225,28,336,0,632,165,8857,1654,10511,-0.27674,0.582637,-0.764166,0
5718,1549,20,150,0,321,86,7844,-1000,-1000,-1,-1,-1,0
3240,1077,16,153,0,312,80,4878,1634,6512,-0.0850459,0.219822,-0.971826,0
5969,1782,28,238,0,567,138,8722,2597,11319,-0.101985,0.265746,-0.958634,0
6188,1590,28,215,0,470,124,8615,1703,10318,-0.0999618,0.233141,-0.967292,0
3862,914,24,126,0,314,70,5310,1631,6941,-0.0897506,0.201514,-0.975365,0
5574,1207,43,169,0,361,91,7445,2371,9816,-0.0849301,0.186117,-0.97885,0
5932,1079,29,157,0,356,87,7640,2437,10077,-0.110618,0.216565,-0.969981,0
5545,1078,28,150,0,314,81,7196,2537,9733,-0.0978731,0.193875,-0.976132,0
5572,1096,27,175,0,333,86,7289,2425,9714,-0.136165,0.215407,-0.966985,0
5528,1236,28,172,0,356,112,7432,2268,9700,-0.150421,0.214838,-0.964996,0
5716,1493,29,210,0,403,111,7962,2255,10217,-0.170212,0.245761,-0.954269,0
5754,1785,30,270,0,484,129,8452,2211,10663,-0.164196,0.241198,-0.956485,0
5917,1959,29,252,0,510,142,8809,1650,10459,-0.189078,0.323776,-0.927048,0
3948,1532,19,193,0,392,107,6191,767,6958,-0.193792,0.327002,-0.92494,0
5999,2536,31,324,0,759,181,9830,668,10498,-0.285341,0.500405,-0.81742,0
5991,2822,30,347,0,716,193,10099,616,10715,-0.301399,0.533379,-0.790358,0
6017,3206,28,393,0,827,240,10711,-1000,-1000,-1,-1,-1,0
